pattern_id,sources,market_type,prop_stat,team,player,expert,n,hit_rate,roi,net_units,oos_n,oos_hit_rate,oos_roi,stability_score,edge_score
action|betql__mkt:total,action|betql,total,,,,,144,0.5625,0.0757,10.90,30,0.6000,0.1375,0.880,0.880
action|betql__mkt:spread,action|betql,spread,,,,,257,0.5336,0.0184,4.73,30,0.5667,0.0818,0.819,0.771
action|covers__mkt:player_prop__stat:PTS__player:p_george__expert:sandyplashkes,action|covers,player_prop,PTS,,p_george,sandyplashkes,24,1.0000,1.0000,24.00,0,0.0000,0.0000,0.500,0.659
action|covers__mkt:player_prop__stat:PTS__player:p_george__expert:ev_model_rating_star,action|covers,player_prop,PTS,,p_george,ev_model_rating_star,24,1.0000,1.0000,24.00,0,0.0000,0.0000,0.500,0.659
action|covers__mkt:player_prop__stat:PTS__player:p_george__expert:jason_logan_senior,action|covers,player_prop,PTS,,p_george,jason_logan_senior,24,1.0000,1.0000,24.00,0,0.0000,0.0000,0.500,0.659
action|betql__mkt:player_prop__stat:AST__player:cam_spencer__expert:deadprespicks,action|betql,player_prop,AST,,cam_spencer,deadprespicks,20,1.0000,0.8130,16.26,0,0.0000,0.0000,0.500,0.654
action|betql__mkt:player_prop__stat:AST__player:cam_spencer__expert:betql_model,action|betql,player_prop,AST,,cam_spencer,betql_model,20,1.0000,0.8130,16.26,0,0.0000,0.0000,0.500,0.654
action|betql__mkt:player_prop__stat:PTS__player:deaaron_fox__expert:sandyplashkes,action|betql,player_prop,PTS,,deaaron_fox,sandyplashkes,13,1.0000,0.9091,11.82,0,0.0000,0.0000,0.500,0.644
action|betql__mkt:player_prop__stat:PTS__player:deaaron_fox__expert:betql_model,action|betql,player_prop,PTS,,deaaron_fox,betql_model,13,1.0000,0.9091,11.82,0,0.0000,0.0000,0.500,0.644
action|betql__mkt:total__expert:brian_bitler,action|betql,total,,,,brian_bitler,12,1.0000,0.9091,10.91,0,0.0000,0.0000,0.500,0.642
action|betql__mkt:total__expert:action,action|betql,total,,,,action,61,0.6066,0.1580,9.64,23,0.4783,-0.0870,0.451,0.215
action|betql__mkt:total__expert:betql,action|betql,total,,,,betql,61,0.6066,0.1580,9.64,23,0.4783,-0.0870,0.451,0.215
