sport,pattern_id,pattern_name,market_type,source_combo,tier,n,wins,losses,pushes,win_rate,units,roi,confidence_bucket
MLB,C,C,moneyline,action|covers|sportsline,C,2,0,2,0,0.0,-2.1,-1.05,very_low
MLB,D,D,moneyline,action|covers,D,3,0,3,0,0.0,-3.43,-1.1433,very_low
MLB,D,D,spread,action|covers,D,2,1,1,0,0.5,-0.2,-0.0985,very_low
MLB,D,D,total,action|covers,D,3,3,0,0,1.0,2.87,0.9557,very_low
MLB,E,E,moneyline,action,E,6,3,3,0,0.5,0.81,0.1343,very_low
MLB,E,E,moneyline,covers,E,3,1,2,0,0.3333,-1.35,-0.4493,very_low
MLB,E,E,spread,action,E,3,0,3,0,0.0,-2.34,-0.78,very_low
MLB,E,E,total,action,E,4,2,2,0,0.5,-0.14,-0.0348,very_low
MLB,E,E,total,covers,E,3,1,2,0,0.3333,-1.03,-0.343,very_low
MLB,E,E,total,oddstrader,E,2,0,2,0,0.0,-2.08,-1.04,very_low
NBA,A,A,spread,action|betql|bettingpros_experts|oddstrader|vegasinsider,A,1,0,1,0,0.0,-1.05,-1.05,very_low
NBA,A,A,spread,action|betql|covers|sportsline|vegasinsider,A,1,0,1,0,0.0,-1.05,-1.05,very_low
NBA,A,A,spread,action|betql|oddstrader|sportsline|vegasinsider,A,1,1,0,0,1.0,0.95,0.955,very_low
NBA,B,B,spread,action|betql|sportsline|vegasinsider,B,2,2,0,0,1.0,1.91,0.955,very_low
NBA,B,B,spread,action|bettingpros_5star|sportsline|vegasinsider,B,2,0,2,0,0.0,-2.1,-1.05,very_low
NBA,B,B,spread,action|oddstrader|sportsline|vegasinsider,B,1,0,1,0,0.0,-1.05,-1.05,very_low
NBA,C,C,moneyline,dimers|sportsline|vegasinsider,C,2,0,2,0,0.0,-2.4,-1.2,very_low
NBA,C,C,player_prop,action|dimers|vegasinsider,C,3,3,0,0,1.0,2.68,0.8943,very_low
NBA,C,C,player_prop,covers|dimers|sportsline,C,3,0,3,0,0.0,-2.87,-0.9567,very_low
NBA,C,C,spread,action|betql|vegasinsider,C,9,7,2,0,0.7778,4.54,0.5048,very_low
NBA,C,C,spread,action|covers|vegasinsider,C,3,1,2,0,0.3333,-1.15,-0.3837,very_low
NBA,C,C,spread,action|oddstrader|vegasinsider,C,3,1,2,0,0.3333,-0.39,-0.13,very_low
NBA,C,C,spread,action|sportsline|vegasinsider,C,3,3,0,0,1.0,2.88,0.9603,very_low
NBA,C,C,total,action|betql|sportsline,C,1,0,1,0,0.0,-1.05,-1.05,very_low
NBA,D,D,moneyline,action|covers,D,1,1,0,0,1.0,0.6,0.596,very_low
NBA,D,D,moneyline,action|vegasinsider,D,4,2,2,0,0.5,0.77,0.1933,very_low
NBA,D,D,moneyline,dimers|oddstrader,D,1,1,0,0,1.0,0.62,0.616,very_low
NBA,D,D,player_prop,action|betql,D,1,0,1,0,0.0,-0.85,-0.85,very_low
NBA,D,D,player_prop,action|bettingpros_props,D,17,11,6,0,0.6471,4.33,0.255,very_low
NBA,D,D,player_prop,action|covers,D,1,0,1,0,0.0,-1.08,-1.08,very_low
NBA,D,D,player_prop,action|oddstrader,D,2,0,2,0,0.0,-2.01,-1.005,very_low
NBA,D,D,player_prop,action|sportsline,D,1,0,1,0,0.0,-1.13,-1.13,very_low
NBA,D,D,player_prop,betql|oddstrader,D,1,0,1,0,0.0,-1.0,-1.0,very_low
NBA,D,D,player_prop,bettingpros_props|covers,D,12,8,4,0,0.6667,3.48,0.2901,very_low
NBA,D,D,player_prop,bettingpros_props|dimers,D,1,0,1,0,0.0,-0.96,-0.96,very_low
NBA,D,D,player_prop,bettingpros_props|oddstrader,D,29,3,26,0,0.1034,-24.56,-0.8471,low
NBA,D,D,player_prop,bettingpros_props|sportsline,D,6,6,0,0,1.0,5.63,0.938,very_low
NBA,D,D,player_prop,covers|dimers,D,1,0,1,0,0.0,-1.01,-1.01,very_low
NBA,D,D,player_prop,covers|sportsline,D,2,2,0,0,1.0,2.15,1.076,very_low
NBA,D,D,player_prop,covers|vegasinsider,D,2,0,2,0,0.0,-1.71,-0.855,very_low
NBA,D,D,player_prop,oddstrader|sportsline,D,1,1,0,0,1.0,0.88,0.875,very_low
NBA,D,D,spread,action|covers,D,1,0,1,0,0.0,-1.04,-1.04,very_low
NBA,D,D,spread,action|oddstrader,D,1,1,0,0,1.0,0.95,0.955,very_low
NBA,D,D,spread,action|sportsline,D,1,0,1,0,0.0,-1.05,-1.05,very_low
NBA,D,D,spread,action|vegasinsider,D,19,7,12,0,0.3684,-6.04,-0.3179,very_low
NBA,D,D,spread,betql|dimers,D,2,0,2,0,0.0,-2.66,-1.33,very_low
NBA,D,D,spread,betql|oddstrader,D,3,2,1,0,0.6667,0.95,0.3173,very_low
NBA,D,D,spread,sportsline|vegasinsider,D,2,2,0,0,1.0,1.91,0.955,very_low
NBA,D,D,total,action|betql,D,3,2,1,0,0.6667,0.79,0.2633,very_low
NBA,D,D,total,action|bettingpros_5star,D,1,0,1,0,0.0,-1.02,-1.02,very_low
NBA,D,D,total,action|vegasinsider,D,1,1,0,0,1.0,0.95,0.955,very_low
NBA,D,D,total,betql|sportsline,D,1,0,1,0,0.0,-1.07,-1.07,very_low
NBA,D,D,total,oddstrader|sportsline,D,1,0,1,0,0.0,-1.05,-1.05,very_low
NBA,E,E,moneyline,action,E,8,5,3,0,0.625,0.96,0.1195,very_low
NBA,E,E,moneyline,covers,E,3,2,1,0,0.6667,0.83,0.2783,very_low
NBA,E,E,moneyline,dimers,E,4,1,3,0,0.25,-3.1,-0.775,very_low
NBA,E,E,player_prop,action,E,63,30,33,0,0.4762,-3.89,-0.0618,medium
NBA,E,E,player_prop,betql,E,6,4,2,0,0.6667,2.69,0.4485,very_low
NBA,E,E,player_prop,bettingpros_props,E,433,210,222,1,0.485,-32.01,-0.0739,high
NBA,E,E,player_prop,covers,E,62,28,34,0,0.4516,-8.4,-0.1355,medium
NBA,E,E,player_prop,dimers,E,3,2,1,0,0.6667,1.18,0.3917,very_low
NBA,E,E,player_prop,oddstrader,E,152,65,87,0,0.4276,-34.93,-0.2298,high
NBA,E,E,player_prop,sportsline,E,14,4,10,0,0.2857,-7.46,-0.5331,very_low
NBA,E,E,player_prop,vegasinsider,E,5,2,3,0,0.4,-1.16,-0.233,very_low
NBA,E,E,spread,action,E,10,6,4,0,0.6,1.67,0.1673,very_low
NBA,E,E,spread,betql,E,2,1,1,0,0.5,-0.07,-0.035,very_low
NBA,E,E,spread,covers,E,1,1,0,0,1.0,0.95,0.955,very_low
NBA,E,E,spread,oddstrader,E,13,6,7,0,0.4615,-1.52,-0.1168,very_low
NBA,E,E,spread,vegasinsider,E,1,1,0,0,1.0,0.95,0.955,very_low
NBA,E,E,total,action,E,9,4,5,0,0.4444,-1.25,-0.1383,very_low
NBA,E,E,total,covers,E,2,1,1,0,0.5,-0.1,-0.0475,very_low
NBA,E,E,total,oddstrader,E,2,1,1,0,0.5,-0.07,-0.0335,very_low
NBA,E,E,total,vegasinsider,E,2,2,0,0,1.0,1.91,0.955,very_low
NBA,expert_alex_selesnick_sportsline_player_prop_points_under,Alex Selesnick [sportsline] player_prop,player_prop,sportsline,B,2,1,1,0,0.5,-0.18,-0.089,very_low
NBA,expert_betql_model_betql_player_prop_assists_under,BetQL Model [betql] player_prop,player_prop,betql,B,10,6,4,0,0.6,1.68,0.1682,very_low
NBA,expert_betql_model_betql_player_prop_points_over,BetQL Model [betql] player_prop,player_prop,betql,B,2,0,2,0,0.0,-2.0,-1.0,very_low
NBA,expert_betql_model_betql_player_prop_points_under,BetQL Model [betql] player_prop,player_prop,action|betql,A,2,2,0,0,1.0,1.96,0.9775,very_low
NBA,expert_betql_model_betql_player_prop_points_under,BetQL Model [betql] player_prop,player_prop,betql,A,42,19,23,0,0.4524,-6.92,-0.1647,low
NBA,expert_betql_model_betql_player_prop_points_under,BetQL Model [betql] player_prop,player_prop,betql|bettingpros_props,A,4,1,2,1,0.25,-1.12,-0.279,very_low
NBA,expert_betql_model_betql_player_prop_rebounds_over,BetQL Model [betql] player_prop,player_prop,betql,B,4,1,3,0,0.25,-1.75,-0.4387,very_low
NBA,expert_betql_model_betql_player_prop_rebounds_over,BetQL Model [betql] player_prop,player_prop,betql|oddstrader,B,3,3,0,0,1.0,2.79,0.9283,very_low
NBA,expert_betql_model_betql_player_prop_rebounds_over,BetQL Model [betql] player_prop,player_prop,betql|sportsline,B,1,1,0,0,1.0,1.09,1.092,very_low
NBA,expert_betql_model_betql_player_prop_rebounds_under,BetQL Model [betql] player_prop,player_prop,betql,A,13,7,6,0,0.5385,0.56,0.0433,very_low
NBA,expert_betql_model_betql_player_prop_rebounds_under,BetQL Model [betql] player_prop,player_prop,betql|covers,A,2,1,1,0,0.5,0.01,0.0055,very_low
NBA,expert_betql_model_betql_player_prop_threes_under,BetQL Model [betql] player_prop,player_prop,betql,A,9,5,4,0,0.5556,0.6,0.0666,very_low
NBA,expert_cam_is_money_action_player_prop_points_over,Cam Is Money [action] player_prop,player_prop,action,B,14,8,6,0,0.5714,1.27,0.0909,very_low
NBA,expert_cam_is_money_action_player_prop_points_over,Cam Is Money [action] player_prop,player_prop,action|betql|vegasinsider,B,1,1,0,0,1.0,0.97,0.971,very_low
NBA,expert_cam_is_money_action_player_prop_points_over,Cam Is Money [action] player_prop,player_prop,action|bettingpros_props,B,6,3,3,0,0.5,-0.1,-0.0168,very_low
NBA,expert_cam_is_money_action_player_prop_points_over,Cam Is Money [action] player_prop,player_prop,action|covers,B,2,2,0,0,1.0,1.95,0.973,very_low
NBA,expert_ev_model_rating_star_covers_player_prop_assists_under,EV Model Rating Star [covers] player_prop,player_prop,action|covers,B,1,1,0,0,1.0,0.85,0.852,very_low
NBA,expert_ev_model_rating_star_covers_player_prop_assists_under,EV Model Rating Star [covers] player_prop,player_prop,covers,B,6,4,2,0,0.6667,1.43,0.2387,very_low
NBA,expert_ev_model_rating_star_covers_player_prop_points_under,EV Model Rating Star [covers] player_prop,player_prop,betql|covers,A,7,5,2,0,0.7143,2.79,0.3993,very_low
NBA,expert_ev_model_rating_star_covers_player_prop_points_under,EV Model Rating Star [covers] player_prop,player_prop,bettingpros_props|covers,A,8,8,0,0,1.0,7.1,0.8874,very_low
NBA,expert_ev_model_rating_star_covers_player_prop_points_under,EV Model Rating Star [covers] player_prop,player_prop,covers,A,18,10,8,0,0.5556,-0.33,-0.0182,very_low
NBA,expert_ev_model_rating_star_covers_player_prop_points_under,EV Model Rating Star [covers] player_prop,player_prop,covers|dimers,A,3,3,0,0,1.0,3.47,1.1573,very_low
NBA,expert_mike_barner_sportsline_player_prop_points_over,Mike Barner [sportsline] player_prop,player_prop,action|bettingpros_props|sportsline,A,1,0,1,0,0.0,-0.86,-0.86,very_low
NBA,expert_mike_barner_sportsline_player_prop_points_over,Mike Barner [sportsline] player_prop,player_prop,action|sportsline,A,2,2,0,0,1.0,1.9,0.951,very_low
NBA,expert_mike_barner_sportsline_player_prop_points_over,Mike Barner [sportsline] player_prop,player_prop,bettingpros_props|sportsline,A,12,12,0,0,1.0,11.59,0.9657,very_low
NBA,expert_mike_barner_sportsline_player_prop_points_over,Mike Barner [sportsline] player_prop,player_prop,covers|sportsline,A,7,4,2,1,0.5714,1.82,0.2597,very_low
NBA,expert_mike_barner_sportsline_player_prop_points_over,Mike Barner [sportsline] player_prop,player_prop,sportsline,A,10,3,7,0,0.3,-5.03,-0.5029,very_low
NBA,expert_mike_barner_sportsline_player_prop_points_over,Mike Barner [sportsline] player_prop,player_prop,sportsline|vegasinsider,A,1,1,0,0,1.0,0.89,0.888,very_low
NBA,expert_mike_barner_sportsline_player_prop_reb_ast_over,Mike Barner [sportsline] player_prop,player_prop,action|sportsline,B,5,1,4,0,0.2,-2.23,-0.4468,very_low
NBA,expert_oddstrader_ai_oddstrader_player_prop_points_under,OddsTrader AI [oddstrader] player_prop,player_prop,betql|covers|oddstrader,A,2,0,2,0,0.0,-2.08,-1.04,very_low
NBA,expert_oddstrader_ai_oddstrader_player_prop_points_under,OddsTrader AI [oddstrader] player_prop,player_prop,betql|oddstrader,A,11,7,4,0,0.6364,2.4,0.2182,very_low
NBA,expert_oddstrader_ai_oddstrader_player_prop_points_under,OddsTrader AI [oddstrader] player_prop,player_prop,oddstrader,A,18,12,6,0,0.6667,4.42,0.2456,very_low
NBA,expert_oddstrader_ai_oddstrader_player_prop_pts_ast_under,OddsTrader AI [oddstrader] player_prop,player_prop,oddstrader,A,26,17,9,0,0.6538,5.9,0.227,low
NBA,expert_oddstrader_ai_oddstrader_player_prop_pts_reb_ast_under,OddsTrader AI [oddstrader] player_prop,player_prop,oddstrader,B,28,16,12,0,0.5714,1.69,0.0605,low
NBA,expert_oddstrader_ai_oddstrader_player_prop_pts_reb_ast_under,OddsTrader AI [oddstrader] player_prop,player_prop,oddstrader|sportsline,B,4,4,0,0,1.0,3.68,0.919,very_low
NBA,expert_oddstrader_ai_oddstrader_player_prop_pts_reb_under,OddsTrader AI [oddstrader] player_prop,player_prop,oddstrader,A,29,22,7,0,0.7586,12.99,0.4479,low
NBA,expert_oddstrader_ai_oddstrader_player_prop_reb_ast_over,OddsTrader AI [oddstrader] player_prop,player_prop,action|oddstrader,B,1,0,1,0,0.0,-1.11,-1.11,very_low
NBA,expert_oddstrader_ai_oddstrader_player_prop_reb_ast_over,OddsTrader AI [oddstrader] player_prop,player_prop,bettingpros_props|oddstrader,B,1,0,1,0,0.0,-1.09,-1.09,very_low
NBA,expert_oddstrader_ai_oddstrader_player_prop_reb_ast_over,OddsTrader AI [oddstrader] player_prop,player_prop,oddstrader,B,36,20,16,0,0.5556,-1.44,-0.0399,low
NBA,expert_oddstrader_ai_oddstrader_player_prop_reb_ast_under,OddsTrader AI [oddstrader] player_prop,player_prop,oddstrader,A,21,12,9,0,0.5714,2.43,0.1157,low
NBA,expert_oddstrader_ai_oddstrader_player_prop_rebounds_under,OddsTrader AI [oddstrader] player_prop,player_prop,oddstrader,A,16,9,7,0,0.5625,1.36,0.0852,very_low
NBA,expert_prop_bet_guy_sportsline_player_prop_pts_reb_ast_under,Prop Bet Guy [sportsline] player_prop,player_prop,sportsline,B,2,1,1,0,0.5,-0.16,-0.0805,very_low
NBA,expert_prop_bet_guy_sportsline_player_prop_rebounds_over,Prop Bet Guy [sportsline] player_prop,player_prop,action|covers|sportsline,B,1,1,0,0,1.0,1.13,1.126,very_low
NBA,expert_prop_bet_guy_sportsline_player_prop_rebounds_over,Prop Bet Guy [sportsline] player_prop,player_prop,action|sportsline,B,1,1,0,0,1.0,0.91,0.908,very_low
NBA,expert_prop_bet_guy_sportsline_player_prop_rebounds_over,Prop Bet Guy [sportsline] player_prop,player_prop,covers|sportsline,B,1,1,0,0,1.0,1.06,1.062,very_low
NBA,expert_prop_bet_guy_sportsline_player_prop_rebounds_over,Prop Bet Guy [sportsline] player_prop,player_prop,sportsline,B,4,0,4,0,0.0,-4.65,-1.1625,very_low
