sport,source_combo,source,market_type,n,wins,losses,pushes,win_rate,units,roi,avg_odds,confidence_bucket
MLB,action,action,moneyline,12,6,6,0,0.5,1.61,0.1343,107.5,very_low
MLB,action,action,spread,6,0,6,0,0.0,-4.68,-0.78,108.3,very_low
MLB,action,action,total,8,4,4,0,0.5,-0.28,-0.0348,-57.0,very_low
MLB,action|covers,action,moneyline,3,0,3,0,0.0,-3.43,-1.1433,-133.7,very_low
MLB,action|covers,action,spread,2,1,1,0,0.5,-0.2,-0.0985,-122.5,very_low
MLB,action|covers,action,total,3,3,0,0,1.0,2.87,0.9557,-43.3,very_low
MLB,action|covers,action|covers,moneyline,3,0,3,0,0.0,-3.43,-1.1433,-133.7,very_low
MLB,action|covers,action|covers,spread,2,1,1,0,0.5,-0.2,-0.0985,-122.5,very_low
MLB,action|covers,action|covers,total,3,3,0,0,1.0,2.87,0.9557,-43.3,very_low
MLB,action|covers,covers,moneyline,3,0,3,0,0.0,-3.43,-1.1433,-133.7,very_low
MLB,action|covers,covers,spread,2,1,1,0,0.5,-0.2,-0.0985,-122.5,very_low
MLB,action|covers,covers,total,3,3,0,0,1.0,2.87,0.9557,-43.3,very_low
MLB,action|covers|sportsline,action,moneyline,2,0,2,0,0.0,-2.1,-1.05,-110.0,very_low
MLB,action|covers|sportsline,action|covers|sportsline,moneyline,2,0,2,0,0.0,-2.1,-1.05,-110.0,very_low
MLB,action|covers|sportsline,covers,moneyline,2,0,2,0,0.0,-2.1,-1.05,-110.0,very_low
MLB,action|covers|sportsline,sportsline,moneyline,2,0,2,0,0.0,-2.1,-1.05,-110.0,very_low
MLB,covers,covers,moneyline,6,2,4,0,0.3333,-2.7,-0.4493,-128.0,very_low
MLB,covers,covers,total,6,2,4,0,0.3333,-2.06,-0.343,-35.3,very_low
MLB,oddstrader,oddstrader,total,4,0,4,0,0.0,-4.16,-1.04,-108.5,very_low
NBA,action,action,moneyline,16,10,6,0,0.625,1.91,0.1195,-94.2,very_low
NBA,action,action,player_prop,154,76,78,0,0.4935,-5.24,-0.034,-37.5,high
NBA,action,action,spread,20,12,8,0,0.6,3.35,0.1673,-87.3,low
NBA,action,action,total,18,8,10,0,0.4444,-2.49,-0.1383,-61.3,very_low
NBA,action|betql,action,player_prop,3,2,1,0,0.6667,1.1,0.3683,42.0,very_low
NBA,action|betql,action,total,3,2,1,0,0.6667,0.79,0.2633,-115.0,very_low
NBA,action|betql,action|betql,player_prop,3,2,1,0,0.6667,1.1,0.3683,42.0,very_low
NBA,action|betql,action|betql,total,3,2,1,0,0.6667,0.79,0.2633,-115.0,very_low
NBA,action|betql,betql,player_prop,3,2,1,0,0.6667,1.1,0.3683,42.0,very_low
