avg_odds,bets_with_units,by_market,display_pair,expert_a,expert_b,losses,n,net_units,odds_count,odds_sum,pushes,roi,split_count,total_stake,units_missing_count,wilson_lower,win_pct,wins
,0,"{""player_prop"": {""losses"": 39, ""n"": 85, ""pushes"": 0, ""split_count"": 1, ""wilson_lower"": 0.4358, ""win_pct"": 0.5411764705882353, ""wins"": 46}}",BetQL Model [betql] + EV Model Rating Star [covers],BetQL Model [betql],EV Model Rating Star [covers],39,85,0.0,0,0.0,0,,1,0.0,85,0.4358,0.5411764705882353,46
,0,"{""player_prop"": {""losses"": 28, ""n"": 50, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.3116, ""win_pct"": 0.44, ""wins"": 22}}",BetQL Model [betql] + OddsTrader AI [oddstrader],BetQL Model [betql],OddsTrader AI [oddstrader],28,50,0.0,0,0.0,0,,0,0.0,50,0.3116,0.44,22
,0,"{""player_prop"": {""losses"": 13, ""n"": 27, ""pushes"": 0, ""split_count"": 1, ""wilson_lower"": 0.3399, ""win_pct"": 0.5185185185185185, ""wins"": 14}}",BetQL Model [betql] + The Degenerates [action],BetQL Model [betql],The Degenerates [action],13,27,0.0,0,0.0,0,,1,0.0,27,0.3399,0.5185185185185185,14
,0,"{""player_prop"": {""losses"": 14, ""n"": 26, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.2876, ""win_pct"": 0.46153846153846156, ""wins"": 12}}",EV Model Rating Star [covers] + OddsTrader AI [oddstrader],EV Model Rating Star [covers],OddsTrader AI [oddstrader],14,26,0.0,0,0.0,0,,0,0.0,26,0.2876,0.46153846153846156,12
,0,"{""player_prop"": {""losses"": 10, ""n"": 20, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.2993, ""win_pct"": 0.5, ""wins"": 10}}",BetQL Model [betql] + Dimers AI Model [dimers],BetQL Model [betql],Dimers AI Model [dimers],10,20,0.0,0,0.0,0,,0,0.0,20,0.2993,0.5,10
,0,"{""player_prop"": {""losses"": 8, ""n"": 19, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.3628, ""win_pct"": 0.5789473684210527, ""wins"": 11}}",BetQL Model [betql] + Kyle Murray [action],BetQL Model [betql],Kyle Murray [action],8,19,0.0,0,0.0,0,,0,0.0,19,0.3628,0.5789473684210527,11
,0,"{""player_prop"": {""losses"": 11, ""n"": 18, ""pushes"": 0, ""split_count"": 1, ""wilson_lower"": 0.203, ""win_pct"": 0.3888888888888889, ""wins"": 7}}",nukethebooks [juicereel_nukethebooks] + sXeBets [juicereel_sxebets],nukethebooks [juicereel_nukethebooks],sXeBets [juicereel_sxebets],11,18,0.0,0,0.0,0,,1,0.0,18,0.203,0.3888888888888889,7
,0,"{""player_prop"": {""losses"": 7, ""n"": 16, ""pushes"": 0, ""split_count"": 2, ""wilson_lower"": 0.3318, ""win_pct"": 0.5625, ""wins"": 9}}",BetQL Model [betql] + Kyle Murray [action],BetQL Model [betql],Kyle Murray [action],7,16,0.0,0,0.0,0,,2,0.0,16,0.3318,0.5625,9
,0,"{""player_prop"": {""losses"": 8, ""n"": 15, ""pushes"": 0, ""split_count"": 1, ""wilson_lower"": 0.2481, ""win_pct"": 0.4666666666666667, ""wins"": 7}}",BetQL Model [betql] + Joe Dellera [action],BetQL Model [betql],Joe Dellera [action],8,15,0.0,0,0.0,0,,1,0.0,15,0.2481,0.4666666666666667,7
,0,"{""player_prop"": {""losses"": 10, ""n"": 13, ""pushes"": 0, ""split_count"": 0, ""wilson_lower"": 0.0818, ""win_pct"": 0.23076923076923078, ""wins"": 3}}",Buckets Podcast [action] + Joe Dellera [action],Buckets Podcast [action],Joe Dellera [action],10,13,0.0,0,0.0,0,,0,0.0,13,0.0818,0.23076923076923078,3
