atomic_stat,avg_odds,bets_with_units,display_group,experts,group_size,losses,market_type,n,net_units,odds_count,odds_sum,pushes,roi,split_count,total_stake,units_missing_count,wilson_lower,win_pct,wins
points,,0,BetQL Model[betql] + EV Model Rating Star[covers],"[""BetQL Model[betql]"", ""EV Model Rating Star[covers]""]",2,22,player_prop,50,0.0,0,0.0,0,,0,0.0,50,0.4231,0.56,28
points,,0,BetQL Model[betql] + OddsTrader AI[oddstrader],"[""BetQL Model[betql]"", ""OddsTrader AI[oddstrader]""]",2,19,player_prop,38,0.0,0,0.0,0,,0,0.0,38,0.3485,0.5,19
points,,0,BetQL Model[betql] + The Degenerates[action],"[""BetQL Model[betql]"", ""The Degenerates[action]""]",2,17,player_prop,34,0.0,0,0.0,0,,1,0.0,34,0.3407,0.5,17
points,,0,BetQL Model[betql] + Kyle Murray[action],"[""BetQL Model[betql]"", ""Kyle Murray[action]""]",2,14,player_prop,30,0.0,0,0.0,0,,1,0.0,30,0.3614,0.5333333333333333,16
assists,,0,BetQL Model[betql] + EV Model Rating Star[covers],"[""BetQL Model[betql]"", ""EV Model Rating Star[covers]""]",2,11,player_prop,26,0.0,0,0.0,0,,1,0.0,26,0.3895,0.5769230769230769,15
points,,0,chefpadro74[bettingpros_experts] + parkerpaduck[bettingpros_experts],"[""chefpadro74[bettingpros_experts]"", ""parkerpaduck[bettingpros_experts]""]",2,9,player_prop,22,0.0,0,0.0,0,,8,0.0,22,0.3873,0.5909090909090909,13
points,,0,EV Model Rating Star[covers] + OddsTrader AI[oddstrader],"[""EV Model Rating Star[covers]"", ""OddsTrader AI[oddstrader]""]",2,9,player_prop,19,0.0,0,0.0,0,,0,0.0,19,0.3171,0.5263157894736842,10
points,,0,KD850[bettingpros_experts] + chefpadro74[bettingpros_experts],"[""KD850[bettingpros_experts]"", ""chefpadro74[bettingpros_experts]""]",2,6,player_prop,18,0.0,0,0.0,0,,8,0.0,18,0.4375,0.6666666666666666,12
rebounds,,0,BetQL Model[betql] + EV Model Rating Star[covers],"[""BetQL Model[betql]"", ""EV Model Rating Star[covers]""]",2,8,player_prop,16,0.0,0,0.0,0,,1,0.0,16,0.28,0.5,8
points,,0,BetQL Model[betql] + Joe Dellera[action],"[""BetQL Model[betql]"", ""Joe Dellera[action]""]",2,7,player_prop,16,0.0,0,0.0,0,,1,0.0,16,0.3318,0.5625,9
points,,0,BetQL Model[betql] + Cam Is Money[action],"[""BetQL Model[betql]"", ""Cam Is Money[action]""]",2,4,player_prop,14,0.0,0,0.0,0,,1,0.0,14,0.4535,0.7142857142857143,10
points,,0,BetQL Model[betql] + Buckets Podcast[action],"[""BetQL Model[betql]"", ""Buckets Podcast[action]""]",2,6,player_prop,13,0.0,0,0.0,0,,0,0.0,13,0.2914,0.5384615384615384,7
points,,0,BetQL Model[betql] + Sandy Plashkes[action],"[""BetQL Model[betql]"", ""Sandy Plashkes[action]""]",2,6,player_prop,12,0.0,0,0.0,0,,3,0.0,12,0.2538,0.5,6
points,,0,1979jbusy[bettingpros_experts] + chefpadro74[bettingpros_experts],"[""1979jbusy[bettingpros_experts]"", ""chefpadro74[bettingpros_experts]""]",2,2,player_prop,11,0.0,0,0.0,0,,1,0.0,11,0.523,0.8181818181818182,9
rebounds,,0,BetQL Model[betql] + Dimers AI Model[dimers],"[""BetQL Model[betql]"", ""Dimers AI Model[dimers]""]",2,5,player_prop,11,0.0,0,0.0,0,,0,0.0,11,0.2801,0.5454545454545454,6
rebounds,,0,KD850[bettingpros_experts] + chefpadro74[bettingpros_experts],"[""KD850[bettingpros_experts]"", ""chefpadro74[bettingpros_experts]""]",2,2,player_prop,11,0.0,0,0.0,0,,3,0.0,11,0.523,0.8181818181818182,9
points,,0,Propmaster71[bettingpros_experts] + chefpadro74[bettingpros_experts],"[""Propmaster71[bettingpros_experts]"", ""chefpadro74[bettingpros_experts]""]",2,6,player_prop,11,0.0,0,0.0,0,,4,0.0,11,0.2127,0.45454545454545453,5
rebounds,,0,Propmaster71[bettingpros_experts] + chefpadro74[bettingpros_experts],"[""Propmaster71[bettingpros_experts]"", ""chefpadro74[bettingpros_experts]""]",2,2,player_prop,11,0.0,0,0.0,0,,2,0.0,11,0.523,0.8181818181818182,9
points,,0,nukethebooks[juicereel_nukethebooks] + sXeBets[juicereel_sxebets],"[""nukethebooks[juicereel_nukethebooks]"", ""sXeBets[juicereel_sxebets]""]",2,7,player_prop,11,0.0,0,0.0,0,,1,0.0,11,0.1517,0.36363636363636365,4
points,,0,BetQL Model[betql] + Jim Turvey[action],"[""BetQL Model[betql]"", ""Jim Turvey[action]""]",2,5,player_prop,10,0.0,0,0.0,0,,1,0.0,10,0.2366,0.5,5
points,,0,Buckets Podcast[action] + Joe Dellera[action],"[""Buckets Podcast[action]"", ""Joe Dellera[action]""]",2,7,player_prop,10,0.0,0,0.0,0,,0,0.0,10,0.1078,0.3,3
assists,,0,BetQL Model[betql] + OddsTrader AI[oddstrader],"[""BetQL Model[betql]"", ""OddsTrader AI[oddstrader]""]",2,7,player_prop,9,0.0,0,0.0,0,,0,0.0,9,0.0632,0.2222222222222222,2
points,,0,BetQL Model[betql] + Ryan Minion[action],"[""BetQL Model[betql]"", ""Ryan Minion[action]""]",2,4,player_prop,9,0.0,0,0.0,0,,0,0.0,9,0.2666,0.5555555555555556,5
assists,,0,KD850[bettingpros_experts] + parkerpaduck[bettingpros_experts],"[""KD850[bettingpros_experts]"", ""parkerpaduck[bettingpros_experts]""]",2,1,player_prop,9,0.0,0,0.0,0,,0,0.0,9,0.565,0.8888888888888888,8
points,,0,KD850[bettingpros_experts] + parkerpaduck[bettingpros_experts],"[""KD850[bettingpros_experts]"", ""parkerpaduck[bettingpros_experts]""]",2,1,player_prop,9,0.0,0,0.0,0,,3,0.0,9,0.565,0.8888888888888888,8
points,,0,BetQL Model[betql] + Brian Condon[action],"[""BetQL Model[betql]"", ""Brian Condon[action]""]",2,5,player_prop,8,0.0,0,0.0,0,,0,0.0,8,0.1368,0.375,3
points,,0,BetQL Model[betql] + Bryan Fonseca[action],"[""BetQL Model[betql]"", ""Bryan Fonseca[action]""]",2,5,player_prop,8,0.0,0,0.0,0,,0,0.0,8,0.1368,0.375,3
rebounds,,0,Dimers AI Model[dimers] + EV Model Rating Star[covers],"[""Dimers AI Model[dimers]"", ""EV Model Rating Star[covers]""]",2,1,player_prop,8,0.0,0,0.0,0,,0,0.0,8,0.5291,0.875,7
points,,0,Fizzy78[bettingpros_experts] + chefpadro74[bettingpros_experts],"[""Fizzy78[bettingpros_experts]"", ""chefpadro74[bettingpros_experts]""]",2,1,player_prop,8,0.0,0,0.0,0,,3,0.0,8,0.5291,0.875,7
rebounds,,0,chefpadro74[bettingpros_experts] + parkerpaduck[bettingpros_experts],"[""chefpadro74[bettingpros_experts]"", ""parkerpaduck[bettingpros_experts]""]",2,3,player_prop,8,0.0,0,0.0,0,,3,0.0,8,0.3057,0.625,5
rebounds,,0,BetQL Model[betql] + OddsTrader AI[oddstrader],"[""BetQL Model[betql]"", ""OddsTrader AI[oddstrader]""]",2,2,player_prop,7,0.0,0,0.0,0,,0,0.0,7,0.3589,0.7142857142857143,5
points,,0,Bryan Fonseca[action] + Buckets Podcast[action],"[""Bryan Fonseca[action]"", ""Buckets Podcast[action]""]",2,2,player_prop,7,0.0,0,0.0,0,,0,0.0,7,0.3589,0.7142857142857143,5
points,,0,EV Model Rating Star[covers] + sXeBets[juicereel_sxebets],"[""EV Model Rating Star[covers]"", ""sXeBets[juicereel_sxebets]""]",2,1,player_prop,7,0.0,0,0.0,0,,0,0.0,7,0.4869,0.8571428571428571,6
points,,0,Joe Dellera[action] + The Degenerates[action],"[""Joe Dellera[action]"", ""The Degenerates[action]""]",2,6,player_prop,7,0.0,0,0.0,0,,0,0.0,7,0.0257,0.14285714285714285,1
