atomic_stat,avg_odds,bets_with_units,direction,display_group,experts,group_size,losses,market_type,n,net_units,odds_count,odds_sum,pushes,roi,split_count,total_stake,units_missing_count,wilson_lower,win_pct,wins
points,,0,OVER,chefpadro74[bettingpros_experts] + parkerpaduck[bettingpros_experts],"[""chefpadro74[bettingpros_experts]"", ""parkerpaduck[bettingpros_experts]""]",2,9,player_prop,22,0.0,0,0.0,0,,8,0.0,22,0.3873,0.5909090909090909,13
points,,0,OVER,KD850[bettingpros_experts] + chefpadro74[bettingpros_experts],"[""KD850[bettingpros_experts]"", ""chefpadro74[bettingpros_experts]""]",2,5,player_prop,15,0.0,0,0.0,0,,7,0.0,15,0.4171,0.6666666666666666,10
points,,0,OVER,1979jbusy[bettingpros_experts] + chefpadro74[bettingpros_experts],"[""1979jbusy[bettingpros_experts]"", ""chefpadro74[bettingpros_experts]""]",2,2,player_prop,11,0.0,0,0.0,0,,1,0.0,11,0.523,0.8181818181818182,9
points,,0,OVER,Propmaster71[bettingpros_experts] + chefpadro74[bettingpros_experts],"[""Propmaster71[bettingpros_experts]"", ""chefpadro74[bettingpros_experts]""]",2,6,player_prop,11,0.0,0,0.0,0,,4,0.0,11,0.2127,0.45454545454545453,5
rebounds,,0,OVER,Propmaster71[bettingpros_experts] + chefpadro74[bettingpros_experts],"[""Propmaster71[bettingpros_experts]"", ""chefpadro74[bettingpros_experts]""]",2,2,player_prop,11,0.0,0,0.0,0,,2,0.0,11,0.523,0.8181818181818182,9
rebounds,,0,OVER,KD850[bettingpros_experts] + chefpadro74[bettingpros_experts],"[""KD850[bettingpros_experts]"", ""chefpadro74[bettingpros_experts]""]",2,1,player_prop,10,0.0,0,0.0,0,,3,0.0,10,0.5958,0.9,9
assists,,0,OVER,KD850[bettingpros_experts] + parkerpaduck[bettingpros_experts],"[""KD850[bettingpros_experts]"", ""parkerpaduck[bettingpros_experts]""]",2,1,player_prop,9,0.0,0,0.0,0,,0,0.0,9,0.565,0.8888888888888888,8
points,,0,OVER,KD850[bettingpros_experts] + parkerpaduck[bettingpros_experts],"[""KD850[bettingpros_experts]"", ""parkerpaduck[bettingpros_experts]""]",2,1,player_prop,9,0.0,0,0.0,0,,3,0.0,9,0.565,0.8888888888888888,8
points,,0,OVER,Fizzy78[bettingpros_experts] + chefpadro74[bettingpros_experts],"[""Fizzy78[bettingpros_experts]"", ""chefpadro74[bettingpros_experts]""]",2,1,player_prop,8,0.0,0,0.0,0,,3,0.0,8,0.5291,0.875,7
rebounds,,0,OVER,chefpadro74[bettingpros_experts] + parkerpaduck[bettingpros_experts],"[""chefpadro74[bettingpros_experts]"", ""parkerpaduck[bettingpros_experts]""]",2,3,player_prop,8,0.0,0,0.0,0,,3,0.0,8,0.3057,0.625,5
points,,0,OVER,chefpadro74[bettingpros_experts] + craig.r.trujillo[bettingpros_experts],"[""chefpadro74[bettingpros_experts]"", ""craig.r.trujillo[bettingpros_experts]""]",2,3,player_prop,7,0.0,0,0.0,0,,5,0.0,7,0.2505,0.5714285714285714,4
points,,0,OVER,akelder15[bettingpros_experts] + chefpadro74[bettingpros_experts],"[""akelder15[bettingpros_experts]"", ""chefpadro74[bettingpros_experts]""]",2,2,player_prop,6,0.0,0,0.0,0,,3,0.0,6,0.3,0.6666666666666666,4
points,,0,OVER,KD850[bettingpros_experts] + craig.r.trujillo[bettingpros_experts],"[""KD850[bettingpros_experts]"", ""craig.r.trujillo[bettingpros_experts]""]",2,1,player_prop,5,0.0,0,0.0,0,,1,0.0,5,0.3755,0.8,4
points,,0,OVER,chefpadro74[bettingpros_experts] + jjead76[bettingpros_experts],"[""chefpadro74[bettingpros_experts]"", ""jjead76[bettingpros_experts]""]",2,1,player_prop,5,0.0,0,0.0,0,,0,0.0,5,0.3755,0.8,4
points,,0,OVER,1979jbusy[bettingpros_experts] + KD850[bettingpros_experts],"[""1979jbusy[bettingpros_experts]"", ""KD850[bettingpros_experts]""]",2,1,player_prop,4,0.0,0,0.0,0,,1,0.0,4,0.3006,0.75,3
points,,0,OVER,Fizzy78[bettingpros_experts] + parkerpaduck[bettingpros_experts],"[""Fizzy78[bettingpros_experts]"", ""parkerpaduck[bettingpros_experts]""]",2,2,player_prop,4,0.0,0,0.0,0,,0,0.0,4,0.15,0.5,2
points,,0,OVER,TyRo24[bettingpros_experts] + chefpadro74[bettingpros_experts],"[""TyRo24[bettingpros_experts]"", ""chefpadro74[bettingpros_experts]""]",2,1,player_prop,4,0.0,0,0.0,0,,1,0.0,4,0.3006,0.75,3
rebounds,,0,OVER,chefpadro74[bettingpros_experts] + craig.r.trujillo[bettingpros_experts],"[""chefpadro74[bettingpros_experts]"", ""craig.r.trujillo[bettingpros_experts]""]",2,1,player_prop,4,0.0,0,0.0,0,,0,0.0,4,0.3006,0.75,3
points,,0,OVER,chefpadro74[bettingpros_experts] + gordyscott88[bettingpros_experts],"[""chefpadro74[bettingpros_experts]"", ""gordyscott88[bettingpros_experts]""]",2,3,player_prop,4,0.0,0,0.0,0,,1,0.0,4,0.0456,0.25,1
points,,0,OVER,chefpadro74[bettingpros_experts] + nomadicmitch[bettingpros_experts],"[""chefpadro74[bettingpros_experts]"", ""nomadicmitch[bettingpros_experts]""]",2,1,player_prop,4,0.0,0,0.0,0,,0,0.0,4,0.3006,0.75,3
assists,,0,OVER,chefpadro74[bettingpros_experts] + parkerpaduck[bettingpros_experts],"[""chefpadro74[bettingpros_experts]"", ""parkerpaduck[bettingpros_experts]""]",2,1,player_prop,4,0.0,0,0.0,0,,0,0.0,4,0.3006,0.75,3
points,,0,OVER,1979jbusy[bettingpros_experts] + bettor73790[bettingpros_experts],"[""1979jbusy[bettingpros_experts]"", ""bettor73790[bettingpros_experts]""]",2,1,player_prop,3,0.0,0,0.0,0,,0,0.0,3,0.2077,0.6666666666666666,2
pts_reb_ast,,0,OVER,1979jbusy[bettingpros_experts] + bettor73790[bettingpros_experts],"[""1979jbusy[bettingpros_experts]"", ""bettor73790[bettingpros_experts]""]",2,1,player_prop,3,0.0,0,0.0,0,,1,0.0,3,0.2077,0.6666666666666666,2
rebounds,,0,OVER,1979jbusy[bettingpros_experts] + chefpadro74[bettingpros_experts],"[""1979jbusy[bettingpros_experts]"", ""chefpadro74[bettingpros_experts]""]",2,0,player_prop,3,0.0,0,0.0,0,,0,0.0,3,0.4385,1.0,3
assists,,0,OVER,Fizzy78[bettingpros_experts] + parkerpaduck[bettingpros_experts],"[""Fizzy78[bettingpros_experts]"", ""parkerpaduck[bettingpros_experts]""]",2,1,player_prop,3,0.0,0,0.0,0,,0,0.0,3,0.2077,0.6666666666666666,2
points,,0,OVER,KD850[bettingpros_experts] + Propmaster71[bettingpros_experts],"[""KD850[bettingpros_experts]"", ""Propmaster71[bettingpros_experts]""]",2,2,player_prop,3,0.0,0,0.0,0,,0,0.0,3,0.0615,0.3333333333333333,1
