atomic_stat,avg_odds,bets_with_units,display_group,experts,group_size,losses,market_type,n,net_units,odds_count,odds_sum,pushes,roi,split_count,total_stake,units_missing_count,wilson_lower,win_pct,wins
points,,0,chefpadro74[bettingpros_experts] + parkerpaduck[bettingpros_experts],"[""chefpadro74[bettingpros_experts]"", ""parkerpaduck[bettingpros_experts]""]",2,9,player_prop,22,0.0,0,0.0,0,,8,0.0,22,0.3873,0.5909090909090909,13
points,,0,KD850[bettingpros_experts] + chefpadro74[bettingpros_experts],"[""KD850[bettingpros_experts]"", ""chefpadro74[bettingpros_experts]""]",2,6,player_prop,18,0.0,0,0.0,0,,8,0.0,18,0.4375,0.6666666666666666,12
points,,0,1979jbusy[bettingpros_experts] + chefpadro74[bettingpros_experts],"[""1979jbusy[bettingpros_experts]"", ""chefpadro74[bettingpros_experts]""]",2,2,player_prop,11,0.0,0,0.0,0,,1,0.0,11,0.523,0.8181818181818182,9
rebounds,,0,KD850[bettingpros_experts] + chefpadro74[bettingpros_experts],"[""KD850[bettingpros_experts]"", ""chefpadro74[bettingpros_experts]""]",2,2,player_prop,11,0.0,0,0.0,0,,3,0.0,11,0.523,0.8181818181818182,9
points,,0,Propmaster71[bettingpros_experts] + chefpadro74[bettingpros_experts],"[""Propmaster71[bettingpros_experts]"", ""chefpadro74[bettingpros_experts]""]",2,6,player_prop,11,0.0,0,0.0,0,,4,0.0,11,0.2127,0.45454545454545453,5
rebounds,,0,Propmaster71[bettingpros_experts] + chefpadro74[bettingpros_experts],"[""Propmaster71[bettingpros_experts]"", ""chefpadro74[bettingpros_experts]""]",2,2,player_prop,11,0.0,0,0.0,0,,2,0.0,11,0.523,0.8181818181818182,9
assists,,0,KD850[bettingpros_experts] + parkerpaduck[bettingpros_experts],"[""KD850[bettingpros_experts]"", ""parkerpaduck[bettingpros_experts]""]",2,1,player_prop,9,0.0,0,0.0,0,,0,0.0,9,0.565,0.8888888888888888,8
points,,0,KD850[bettingpros_experts] + parkerpaduck[bettingpros_experts],"[""KD850[bettingpros_experts]"", ""parkerpaduck[bettingpros_experts]""]",2,1,player_prop,9,0.0,0,0.0,0,,3,0.0,9,0.565,0.8888888888888888,8
points,,0,Fizzy78[bettingpros_experts] + chefpadro74[bettingpros_experts],"[""Fizzy78[bettingpros_experts]"", ""chefpadro74[bettingpros_experts]""]",2,1,player_prop,8,0.0,0,0.0,0,,3,0.0,8,0.5291,0.875,7
rebounds,,0,chefpadro74[bettingpros_experts] + parkerpaduck[bettingpros_experts],"[""chefpadro74[bettingpros_experts]"", ""parkerpaduck[bettingpros_experts]""]",2,3,player_prop,8,0.0,0,0.0,0,,3,0.0,8,0.3057,0.625,5
points,,0,chefpadro74[bettingpros_experts] + craig.r.trujillo[bettingpros_experts],"[""chefpadro74[bettingpros_experts]"", ""craig.r.trujillo[bettingpros_experts]""]",2,3,player_prop,7,0.0,0,0.0,0,,5,0.0,7,0.2505,0.5714285714285714,4
points,,0,chefpadro74[bettingpros_experts] + gordyscott88[bettingpros_experts],"[""chefpadro74[bettingpros_experts]"", ""gordyscott88[bettingpros_experts]""]",2,4,player_prop,7,0.0,0,0.0,0,,2,0.0,7,0.1582,0.42857142857142855,3
points,,0,akelder15[bettingpros_experts] + chefpadro74[bettingpros_experts],"[""akelder15[bettingpros_experts]"", ""chefpadro74[bettingpros_experts]""]",2,2,player_prop,6,0.0,0,0.0,0,,3,0.0,6,0.3,0.6666666666666666,4
points,,0,chefpadro74[bettingpros_experts] + jjead76[bettingpros_experts],"[""chefpadro74[bettingpros_experts]"", ""jjead76[bettingpros_experts]""]",2,1,player_prop,6,0.0,0,0.0,0,,0,0.0,6,0.4365,0.8333333333333334,5
