avg_odds,bets_with_units,by_market,expert_name,losses,n,net_units,odds_count,odds_sum,pushes,roi,source_id,total_stake,units_missing_count,wilson_lower,win_pct,wins
-51.699969372128635,17221,"{""player_prop"": {""losses"": 8610, ""n"": 17069, ""net_units"": -1108.315, ""wilson_lower"": 0.4881, ""win_pct"": 0.4955767766125725, ""wins"": 8459}, ""spread"": {""losses"": 212, ""n"": 446, ""net_units"": -215.81, ""wilson_lower"": 0.4715, ""win_pct"": 0.5181818181818182, ""wins"": 228}, ""total"": {""losses"": 257, ""n"": 477, ""net_units"": -257.0, ""wilson_lower"": 0.4099, ""win_pct"": 0.4543524416135881, ""wins"": 214}}",BetQL Model,9079,17992,-1581.1249999999811,16325,-844002.0,12,-0.08865009640846637,betql,17835.570000000345,771,0.4877,0.4950500556173526,8901
-107.04619164619164,2095,"{""moneyline"": {""losses"": 3, ""n"": 4, ""net_units"": -4.83, ""wilson_lower"": 0.0456, ""win_pct"": 0.25, ""wins"": 1}, ""player_prop"": {""losses"": 1000, ""n"": 2061, ""net_units"": -162.452, ""wilson_lower"": 0.4932, ""win_pct"": 0.514798641436196, ""wins"": 1061}, ""spread"": {""losses"": 30, ""n"": 71, ""net_units"": 0.123, ""wilson_lower"": 0.4548, ""win_pct"": 0.5714285714285714, ""wins"": 40}, ""total"": {""losses"": 19, ""n"": 31, ""net_units"": -10.139, ""wilson_lower"": 0.2373, ""win_pct"": 0.3870967741935484, ""wins"": 12}}",OddsTrader AI,1052,2167,-177.2980000000001,2035,-217839.0,1,-0.07756259104848529,oddstrader,2285.8699999999876,72,0.4933,0.5143120960295475,1114
-126.44628099173553,1461,"{""moneyline"": {""losses"": 65, ""n"": 157, ""net_units"": -12.055, ""wilson_lower"": 0.5078, ""win_pct"": 0.5859872611464968, ""wins"": 92}, ""player_prop"": {""losses"": 423, ""n"": 964, ""net_units"": -28.349, ""wilson_lower"": 0.5239, ""win_pct"": 0.555672268907563, ""wins"": 529}, ""spread"": {""losses"": 94, ""n"": 180, ""net_units"": -21.698, ""wilson_lower"": 0.3999, ""win_pct"": 0.47191011235955055, ""wins"": 84}, ""total"": {""losses"": 71, ""n"": 161, ""net_units"": 8.26, ""wilson_lower"": 0.4818, ""win_pct"": 0.5590062111801242, ""wins"": 90}}",Fizzy78,653,1462,-53.842000000000326,1452,-183600.0,14,-0.03251289235637288,bettingpros_experts,1656.0199999999913,1,0.5233,0.5490331491712708,795
52.115591397849464,1146,"{""moneyline"": {""losses"": 133, ""n"": 242, ""net_units"": -3.177, ""wilson_lower"": 0.389, ""win_pct"": 0.45041322314049587, ""wins"": 109}, ""player_prop"": {""losses"": 292, ""n"": 477, ""net_units"": -32.718, ""wilson_lower"": 0.3452, ""win_pct"": 0.38784067085953877, ""wins"": 185}, ""spread"": {""losses"": 165, ""n"": 325, ""net_units"": -23.083, ""wilson_lower"": 0.4335, ""win_pct"": 0.48757763975155277, ""wins"": 157}, ""total"": {""losses"": 62, ""n"": 120, ""net_units"": -10.427, ""wilson_lower"": 0.3958, ""win_pct"": 0.48333333333333334, ""wins"": 58}}",Dimers AI Model,652,1164,-69.4050000000002,1116,58161.0,3,-0.06582354112726611,dimers,1054.409999999993,18,0.4101,0.4384151593453919,509
-5008.570416297608,1143,"{""player_prop"": {""losses"": 374, ""n"": 1158, ""net_units"": -72.811, ""wilson_lower"": 0.6414, ""win_pct"": 0.6693191865605659, ""wins"": 757}, ""spread"": {""losses"": 0, ""n"": 1, ""net_units"": 0.321, ""wilson_lower"": 0.2065, ""win_pct"": 1.0, ""wins"": 1}, ""total"": {""losses"": 2, ""n"": 2, ""net_units"": -2.03, ""wilson_lower"": 0.0, ""win_pct"": 0.0, ""wins"": 0}}",chefpadro74,376,1161,-74.52000000000007,1129,-5654676.0,27,-0.04668412414017757,bettingpros_experts,1596.2600000000045,18,0.6405,0.6684303350970018,758
-71.06451612903226,404,"{""player_prop"": {""losses"": 365, ""n"": 792, ""net_units"": -330.723, ""wilson_lower"": 0.5043, ""win_pct"": 0.5391414141414141, ""wins"": 427}, ""spread"": {""losses"": 0, ""n"": 1, ""net_units"": 0.955, ""wilson_lower"": 0.2065, ""win_pct"": 1.0, ""wins"": 1}}",Kyle Murray,365,793,-329.76800000000003,62,-4406.0,0,-0.8108185193381034,action,406.71,389,0.5049,0.5397225725094578,428
-81622.97444089457,645,"{""moneyline"": {""losses"": 14, ""n"": 32, ""net_units"": 2.217, ""wilson_lower"": 0.3933, ""win_pct"": 0.5625, ""wins"": 18}, ""player_prop"": {""losses"": 219, ""n"": 600, ""net_units"": 18.184, ""wilson_lower"": 0.5844, ""win_pct"": 0.6243567753001715, ""wins"": 364}, ""spread"": {""losses"": 17, ""n"": 39, ""net_units"": -2.453, ""wilson_lower"": 0.4098, ""win_pct"": 0.5641025641025641, ""wins"": 22}, ""total"": {""losses"": 4, ""n"": 8, ""net_units"": -3.214, ""wilson_lower"": 0.2152, ""win_pct"": 0.5, ""wins"": 4}}",KD850,254,679,14.734,626,-51095982.0,17,0.019372312870610173,bettingpros_experts,760.5700000000011,34,0.5787,0.6163141993957704,408
-103.36166924265842,650,"{""player_prop"": {""losses"": 307, ""n"": 651, ""net_units"": -14.749, ""wilson_lower"": 0.49, ""win_pct"": 0.5284178187403994, ""wins"": 344}}",Prop Bet Guy,307,651,-14.74900000000001,647,-66875.0,0,-0.021106182026330775,sportsline,698.800000000003,1,0.49,0.5284178187403994,344
-112.42229199372056,639,"{""moneyline"": {""losses"": 22, ""n"": 52, ""net_units"": -0.819, ""wilson_lower"": 0.4419, ""win_pct"": 0.5769230769230769, ""wins"": 30}, ""player_prop"": {""losses"": 246, ""n"": 560, ""net_units"": 20.575, ""wilson_lower"": 0.5193, ""win_pct"": 0.5607142857142857, ""wins"": 314}, ""spread"": {""losses"": 14, ""n"": 29, ""net_units"": -1.51, ""wilson_lower"": 0.3263, ""win_pct"": 0.5, ""wins"": 14}}",Mike Barner,282,641,18.246000000000002,637,-71613.0,1,0.026260416516745568,sportsline,694.8100000000005,2,0.5207,0.559375,358
-116.27756653992395,573,"{""moneyline"": {""losses"": 33, ""n"": 99, ""net_units"": 13.748, ""wilson_lower"": 0.5526, ""win_pct"": 0.6526315789473685, ""wins"": 62}, ""player_prop"": {""losses"": 106, ""n"": 316, ""net_units"": 34.311, ""wilson_lower"": 0.5949, ""win_pct"": 0.6501650165016502, ""wins"": 197}, ""spread"": {""losses"": 75, ""n"": 149, ""net_units"": -6.94, ""wilson_lower"": 0.4139, ""win_pct"": 0.49324324324324326, ""wins"": 73}, ""total"": {""losses"": 30, ""n"": 81, ""net_units"": 11.86, ""wilson_lower"": 0.5208, ""win_pct"": 0.6296296296296297, ""wins"": 51}}",carmenciorra,245,648,54.12500000000001,526,-61162.0,18,0.0924502519429498,bettingpros_experts,585.4500000000005,75,0.5725,0.6111111111111112,385
