avg_odds,bets_with_units,by_market,expert_name,losses,n,net_units,odds_count,odds_sum,pushes,roi,source_id,total_stake,units_missing_count,wilson_lower,win_pct,wins
-51.699969372128635,17221,"{""player_prop"": {""losses"": 8610, ""n"": 17069, ""net_units"": -1108.315, ""wilson_lower"": 0.4881, ""win_pct"": 0.4955767766125725, ""wins"": 8459}, ""spread"": {""losses"": 212, ""n"": 446, ""net_units"": -215.81, ""wilson_lower"": 0.4715, ""win_pct"": 0.5181818181818182, ""wins"": 228}, ""total"": {""losses"": 257, ""n"": 477, ""net_units"": -257.0, ""wilson_lower"": 0.4099, ""win_pct"": 0.4543524416135881, ""wins"": 214}}",BetQL Model,9079,17992,-1581.1249999999811,16325,-844002.0,12,-0.08865009640846637,betql,17835.570000000345,771,0.4877,0.4950500556173526,8901
-107.09436758893281,2084,"{""player_prop"": {""losses"": 1000, ""n"": 2061, ""net_units"": -162.452, ""wilson_lower"": 0.4932, ""win_pct"": 0.514798641436196, ""wins"": 1061}, ""spread"": {""losses"": 26, ""n"": 64, ""net_units"": 7.723, ""wilson_lower"": 0.4642, ""win_pct"": 0.5873015873015873, ""wins"": 37}, ""total"": {""losses"": 19, ""n"": 31, ""net_units"": -10.139, ""wilson_lower"": 0.2373, ""win_pct"": 0.3870967741935484, ""wins"": 12}}",OddsTrader AI,1045,2156,-164.86800000000008,2024,-216759.0,1,-0.07344473202393163,oddstrader,2244.789999999981,72,0.494,0.5150812064965197,1110
-70.22950819672131,403,"{""player_prop"": {""losses"": 365, ""n"": 791, ""net_units"": -331.625, ""wilson_lower"": 0.5037, ""win_pct"": 0.538558786346397, ""wins"": 426}, ""spread"": {""losses"": 0, ""n"": 1, ""net_units"": 0.955, ""wilson_lower"": 0.2065, ""win_pct"": 1.0, ""wins"": 1}}",Kyle Murray,365,792,-330.67,61,-4284.0,0,-0.815241241586746,action,405.60999999999996,389,0.5043,0.5391414141414141,427
-37.99444444444445,577,"{""player_prop"": {""losses"": 291, ""n"": 616, ""net_units"": -19.418, ""wilson_lower"": 0.4881, ""win_pct"": 0.5275974025974026, ""wins"": 325}}",EV Model Rating Star,291,616,-19.41800000000003,540,-20517.0,0,-0.032683632936107196,covers,594.1200000000007,39,0.4881,0.5275974025974026,325
-32.45454545454545,298,"{""player_prop"": {""losses"": 288, ""n"": 532, ""net_units"": -279.518, ""wilson_lower"": 0.4147, ""win_pct"": 0.45660377358490567, ""wins"": 242}}",Ryan Minion,288,532,-279.51800000000003,22,-714.0,2,-0.9363459734691143,action,298.52000000000004,234,0.4147,0.45660377358490567,242
130.68067226890756,480,"{""player_prop"": {""losses"": 292, ""n"": 477, ""net_units"": -32.718, ""wilson_lower"": 0.3452, ""win_pct"": 0.38784067085953877, ""wins"": 185}, ""spread"": {""losses"": 5, ""n"": 5, ""net_units"": -5.05, ""wilson_lower"": -0.0, ""win_pct"": 0.0, ""wins"": 0}}",Dimers AI Model,297,482,-37.76799999999999,476,62204.0,0,-0.09357548128143492,dimers,403.6100000000004,2,0.3415,0.38381742738589214,185
-99.23456790123457,262,"{""player_prop"": {""losses"": 216, ""n"": 466, ""net_units"": -175.098, ""wilson_lower"": 0.4911, ""win_pct"": 0.5364806866952789, ""wins"": 250}}",Joe Dellera,216,466,-175.098,81,-8038.0,0,-0.6555522276301011,action,267.1,204,0.4911,0.5364806866952789,250
-95.90361445783132,276,"{""player_prop"": {""losses"": 237, ""n"": 441, ""net_units"": -201.911, ""wilson_lower"": 0.4166, ""win_pct"": 0.46258503401360546, ""wins"": 204}}",The Degenerates,237,441,-201.91100000000003,83,-7960.0,0,-0.7210849612513838,action,280.0100000000001,165,0.4166,0.46258503401360546,204
16.270833333333332,278,"{""player_prop"": {""losses"": 199, ""n"": 378, ""net_units"": -119.688, ""wilson_lower"": 0.4237, ""win_pct"": 0.47354497354497355, ""wins"": 179}}",sXeBets,199,378,-119.68800000000003,144,2343.0,0,-0.4343918992487205,juicereel_sxebets,275.53000000000014,100,0.4237,0.47354497354497355,179
-69.73684210526316,154,"{""player_prop"": {""losses"": 142, ""n"": 331, ""net_units"": -129.965, ""wilson_lower"": 0.5172, ""win_pct"": 0.5709969788519638, ""wins"": 189}, ""total"": {""losses"": 1, ""n"": 1, ""net_units"": -1.0, ""wilson_lower"": 0.0, ""win_pct"": 0.0, ""wins"": 0}}",Allan Lem,143,332,-130.96499999999997,19,-1325.0,0,-0.8448264740033542,action,155.02,178,0.5155,0.5692771084337349,189
-76.16,185,"{""player_prop"": {""losses"": 161, ""n"": 316, ""net_units"": -140.535, ""wilson_lower"": 0.4358, ""win_pct"": 0.49050632911392406, ""wins"": 155}}",Bryan Fonseca,161,316,-140.53500000000003,50,-3808.0,0,-0.7494400597269625,action,187.52000000000004,131,0.4358,0.49050632911392406,155
-83.3015873015873,186,"{""player_prop"": {""losses"": 138, ""n"": 290, ""net_units"": -112.203, ""wilson_lower"": 0.4667, ""win_pct"": 0.5241379310344828, ""wins"": 152}, ""spread"": {""losses"": 6, ""n"": 14, ""net_units"": -2.239, ""wilson_lower"": 0.3259, ""win_pct"": 0.5714285714285714, ""wins"": 8}, ""total"": {""losses"": 6, ""n"": 8, ""net_units"": -6.154, ""wilson_lower"": 0.0715, ""win_pct"": 0.25, ""wins"": 2}}",Buckets Podcast,150,312,-120.596,63,-5248.0,0,-0.6395630038184131,action,188.56000000000003,126,0.4639,0.5192307692307693,162
-48.0,154,"{""player_prop"": {""losses"": 144, ""n"": 308, ""net_units"": -134.211, ""wilson_lower"": 0.4767, ""win_pct"": 0.5324675324675324, ""wins"": 164}}",The Propfessor,144,308,-134.211,15,-720.0,0,-0.8703132092601,action,154.20999999999998,154,0.4767,0.5324675324675324,164
-97.45901639344262,174,"{""player_prop"": {""losses"": 135, ""n"": 303, ""net_units"": -100.667, ""wilson_lower"": 0.4982, ""win_pct"": 0.5544554455445545, ""wins"": 168}}",Markus Markets,135,303,-100.66700000000002,61,-5945.0,0,-0.5660219285915096,action,177.85000000000005,129,0.4982,0.5544554455445545,168
-73.62295081967213,160,"{""player_prop"": {""losses"": 124, ""n"": 284, ""net_units"": -91.309, ""wilson_lower"": 0.5052, ""win_pct"": 0.5633802816901409, ""wins"": 160}, ""spread"": {""losses"": 1, ""n"": 2, ""net_units"": -0.095, ""wilson_lower"": 0.0945, ""win_pct"": 0.5, ""wins"": 1}}",Jim Turvey,125,286,-91.404,61,-4491.0,0,-0.5595934859801641,action,163.33999999999997,126,0.505,0.5629370629370629,161
