atomic_stat,avg_odds,bets_with_units,expert_name,losses,market_type,n,net_units,odds_count,odds_sum,pushes,roi,source_id,total_stake,units_missing_count,wilson_lower,win_pct,wins
points,-94.52272727272727,6987,BetQL Model,3472,player_prop,7145,-352.1669999999908,6776,-640486.0,0,-0.047682471597022276,betql,7385.670000000237,158,0.5025,0.5140657802659202,3673
rebounds,-32.27218045112782,3429,BetQL Model,1714,player_prop,3517,-150.7579999999971,3325,-107305.0,0,-0.0421758506760359,betql,3574.51,88,0.4961,0.5126528291157236,1803
threes,29.05917576611483,2854,BetQL Model,1586,player_prop,2855,-247.0819999999991,2839,82499.0,0,-0.08879664769133434,betql,2782.559999999998,1,0.4263,0.4444833625218914,1269
assists,-7.1020408163265305,1922,BetQL Model,1052,player_prop,1992,-223.00699999999904,1862,-13224.0,0,-0.11363066606880677,betql,1962.5600000000143,70,0.45,0.4718875502008032,940
pts_reb_ast,-108.8782894736842,1543,BetQL Model,786,player_prop,1560,-135.3009999999986,1520,-165495.0,0,-0.0823284228716775,betql,1643.4299999999712,17,0.4714,0.49615384615384617,774
points,-7420.302013422819,601,chefpadro74,191,player_prop,610,-41.32199999999996,596,-4422500.0,14,-0.04831852198316176,bettingpros_experts,855.2000000000005,9,0.641,0.6795302013422819,405
pts_reb,-112.1694214876033,484,OddsTrader AI,246,player_prop,484,-42.824000000000154,484,-54290.0,0,-0.08258890688883781,oddstrader,518.5199999999996,0,0.4474,0.49173553719008267,238
,,263,BetQL Model,257,total,477,-257.0,0,0.0,6,-0.9771863117870723,betql,263.0,214,0.4099,0.4543524416135881,214
,3.0,223,BetQL Model,212,spread,446,-215.81,3,9.0,6,-0.9641261615439599,betql,223.84,223,0.4715,0.5181818181818182,228
pts_reb_ast,-113.97094430992736,413,OddsTrader AI,222,player_prop,415,-59.98400000000011,413,-47070.0,0,-0.13580565555027316,oddstrader,441.6899999999997,2,0.4176,0.4650602409638554,193
points,-137.71573604060913,398,Fizzy78,169,player_prop,398,-7.83000000000001,394,-54260.0,1,-0.01684849267316508,bettingpros_experts,464.7300000000002,0,0.5252,0.5743073047858942,228
points,-81.66457680250784,343,EV Model Rating Star,174,player_prop,367,-23.861000000000004,319,-26051.0,0,-0.06592711297764753,covers,361.9300000000005,24,0.4748,0.5258855585831063,193
reb_ast,-118.13636363636364,356,OddsTrader AI,162,player_prop,356,-11.090000000000002,352,-41584.0,0,-0.027805636345401674,oddstrader,398.8399999999999,0,0.493,0.5449438202247191,194
rebounds,-3494.2844036697247,334,chefpadro74,103,player_prop,339,0.012999999999987466,327,-1142631.0,11,2.8424620093992444e-05,bettingpros_experts,457.35000000000076,5,0.6338,0.6859756097560976,225
,-77.56451612903226,317,Dimers AI Model,165,spread,325,-23.083000000000037,310,-24045.0,3,-0.07131866773774954,dimers,323.6600000000003,8,0.4335,0.48757763975155277,157
points,-109.56507936507937,316,Mike Barner,137,player_prop,317,19.19099999999999,315,-34513.0,0,0.056652398523985195,sportsline,338.75000000000006,1,0.5128,0.5678233438485805,180
pts_ast,-112.22295081967214,305,OddsTrader AI,146,player_prop,305,-9.187000000000014,305,-34228.0,0,-0.02809394208128193,oddstrader,327.01000000000033,0,0.4653,0.521311475409836,159
points,-109.20111731843575,220,OddsTrader AI,121,player_prop,262,-34.972000000000115,179,-19547.0,0,-0.15017176228100323,oddstrader,232.88000000000054,42,0.4777,0.5381679389312977,141
points,-96.53623188405797,163,The Degenerates,129,player_prop,245,-97.88900000000002,69,-6661.0,0,-0.5898348999758979,action,165.96,82,0.4118,0.47346938775510206,116
,131.1140350877193,237,Dimers AI Model,133,moneyline,242,-3.177000000000005,228,29894.0,0,-0.014990798848676464,dimers,211.93000000000012,5,0.389,0.45041322314049587,109
points,-102.17596566523605,234,Prop Bet Guy,121,player_prop,234,-27.62999999999999,233,-23807.0,0,-0.10977353992848617,sportsline,251.7000000000002,0,0.4197,0.4829059829059829,113
pts_reb,-79.66666666666667,95,Kyle Murray,88,player_prop,219,-81.718,12,-956.0,0,-0.8538083794796781,action,95.71000000000001,124,0.5321,0.5981735159817352,131
,-148.9014778325123,204,Matt Severance,89,moneyline,204,-15.910000000000007,203,-30227.0,0,-0.06469057493697654,sportsline,245.93999999999997,0,0.4951,0.5637254901960784,115
points,-108.5909090909091,110,Joe Dellera,86,player_prop,194,-64.66,44,-4778.0,0,-0.5739902352418996,action,112.65,84,0.4864,0.5567010309278351,108
rebounds,-105.20618556701031,195,Fizzy78,76,player_prop,196,14.407,194,-20410.0,4,0.06562357656919009,bettingpros_experts,219.54000000000013,1,0.5336,0.6041666666666666,116
points,-85.41176470588235,119,Kyle Murray,100,player_prop,192,-83.413,34,-2904.0,0,-0.6930292455965436,action,120.36000000000001,73,0.4096,0.4791666666666667,92
,-107.55555555555556,180,Fizzy78,94,spread,180,-21.69800000000003,180,-19360.0,2,-0.11312236066941257,bettingpros_experts,191.81000000000003,0,0.3999,0.47191011235955055,84
points,-128999.98159509203,170,KD850,75,player_prop,178,-17.477000000000004,163,-21026997.0,3,-0.0857219933294095,bettingpros_experts,203.87999999999997,8,0.4973,0.5714285714285714,100
pts_ast,-126.5,80,Kyle Murray,78,player_prop,173,-77.231,2,-253.0,0,-0.9625,action,80.24,93,0.4747,0.5491329479768786,95
points,-101.82692307692308,98,Sandy Plashkes,73,player_prop,172,-51.449,52,-5295.0,0,-0.512083208918085,action,100.47,74,0.5009,0.5755813953488372,99
points,26.763157894736842,130,sXeBets,91,player_prop,171,-40.547000000000004,76,2034.0,0,-0.2519073061630217,juicereel_sxebets,160.96000000000012,41,0.3946,0.4678362573099415,80
points,-334.1515151515151,149,carmenciorra,60,player_prop,170,6.35400000000001,132,-44108.0,5,0.037909432611419436,bettingpros_experts,167.60999999999996,21,0.5606,0.6363636363636364,105
