atomic_stat,avg_odds,bets_with_units,direction,expert_name,losses,market_type,n,net_units,odds_count,odds_sum,pushes,roi,source_id,total_stake,units_missing_count,wilson_lower,win_pct,wins
points,-91.66216515386319,4613,UNDER,BetQL Model,2231,player_prop,4691,-120.37599999999854,4517,-414038.0,0,-0.024626337431721185,betql,4888.10000000009,78,0.5101,0.5244084416968663,2460
rebounds,-26.360597719229258,2627,OVER,BetQL Model,1369,player_prop,2695,-214.73199999999767,2543,-67035.0,0,-0.07879408343515869,betql,2725.230000000002,68,0.4732,0.4920222634508349,1326
points,-100.24258521469677,2374,OVER,BetQL Model,1241,player_prop,2454,-231.79100000000176,2259,-226448.0,0,-0.09280660802299989,betql,2497.5699999999774,80,0.4745,0.49429502852485735,1213
threes,46.002420135527586,2074,OVER,BetQL Model,1224,player_prop,2075,-274.5339999999995,2066,95041.0,0,-0.1389897783020537,betql,1975.2099999999998,1,0.3891,0.41012048192771083,851
assists,5.160262417994376,1108,OVER,BetQL Model,638,player_prop,1158,-175.5779999999995,1067,5506.0,0,-0.15711959050721208,betql,1117.480000000001,50,0.4206,0.44905008635578586,520
pts_reb_ast,-107.12921890067503,1055,OVER,BetQL Model,545,player_prop,1072,-108.84299999999963,1037,-111093.0,0,-0.09698468283033491,betql,1122.2699999999966,17,0.4618,0.4916044776119403,527
assists,-23.559748427672957,814,UNDER,BetQL Model,414,player_prop,834,-47.42900000000003,795,-18730.0,0,-0.05612368059828656,betql,845.0800000000004,20,0.4697,0.5035971223021583,420
rebounds,-51.49616368286445,802,UNDER,BetQL Model,345,player_prop,822,63.973999999999904,782,-40270.0,0,0.07532733609645809,betql,849.2799999999997,20,0.5463,0.5802919708029197,477
threes,-16.22509702457956,780,UNDER,BetQL Model,362,player_prop,780,27.452000000000027,773,-12542.0,0,0.034002601102372014,betql,807.3499999999995,0,0.5008,0.5358974358974359,418
pts_reb_ast,-112.63354037267081,488,UNDER,BetQL Model,241,player_prop,488,-26.458000000000013,483,-54402.0,0,-0.05076751861232642,betql,521.1599999999995,0,0.4619,0.5061475409836066,247
points,-10200.523255813954,433,OVER,chefpadro74,119,player_prop,440,-22.497000000000003,430,-4386225.0,12,-0.034818609546214324,bettingpros_experts,646.1200000000001,7,0.6777,0.7219626168224299,309
pts_reb,-115.68681318681318,364,OVER,OddsTrader AI,199,player_prop,364,-60.66300000000016,364,-42110.0,0,-0.15538678278688575,oddstrader,390.39999999999975,0,0.4029,0.4532967032967033,165
points,-148.07339449541286,331,OVER,Fizzy78,137,player_prop,331,-5.181000000000008,327,-48420.0,0,-0.013180523048743271,bettingpros_experts,393.0800000000002,0,0.5323,0.5861027190332326,194
points,-109.53184713375796,315,OVER,Mike Barner,137,player_prop,316,18.282999999999987,314,-34393.0,0,0.05414618255049454,sportsline,337.66,1,0.5113,0.5664556962025317,179
pts_reb_ast,-114.96141479099678,311,OVER,OddsTrader AI,180,player_prop,313,-70.15900000000009,311,-35753.0,0,-0.21137959085294228,oddstrader,331.9100000000001,2,0.3714,0.4249201277955272,133
reb_ast,-135.04761904761904,298,OVER,OddsTrader AI,141,player_prop,298,-25.74699999999999,294,-39704.0,0,-0.07583799705449185,oddstrader,339.5000000000001,0,0.4702,0.5268456375838926,157
,,159,UNDER,BetQL Model,154,total,288,-154.0,0,0.0,5,-0.9685534591194969,betql,159.0,129,0.3988,0.4558303886925795,129
points,-102.2648401826484,220,OVER,Prop Bet Guy,111,player_prop,220,-20.666000000000007,219,-22396.0,0,-0.08729776538672746,sportsline,236.7300000000002,0,0.43,0.4954545454545455,109
pts_ast,-115.1767441860465,215,OVER,OddsTrader AI,112,player_prop,215,-24.52899999999999,215,-24763.0,0,-0.10648578250488365,oddstrader,230.3500000000004,0,0.4132,0.4790697674418605,103
rebounds,-5511.6435643564355,204,OVER,chefpadro74,50,player_prop,207,12.364,202,-1113352.0,10,0.04235552053715187,bettingpros_experts,291.90999999999997,3,0.6811,0.7461928934010152,147
,,104,OVER,BetQL Model,103,total,189,-103.0,0,0.0,1,-0.9903846153846154,betql,104.0,85,0.3827,0.4521276595744681,85
