atomic_stat,avg_odds,bets_with_units,direction,expert_name,losses,market_type,n,net_units,odds_count,odds_sum,pushes,roi,source_id,total_stake,units_missing_count,wilson_lower,win_pct,wins
points,-10200.523255813954,433,OVER,chefpadro74,119,player_prop,440,-22.497000000000003,430,-4386225.0,12,-0.034818609546214324,bettingpros_experts,646.1200000000001,7,0.6777,0.7219626168224299,309
points,-148.07339449541286,327,OVER,Fizzy78,133,player_prop,327,-1.181000000000013,327,-48420.0,0,-0.0030353654775367852,bettingpros_experts,389.08000000000015,0,0.5392,0.5932721712538226,194
points,-111.33333333333333,288,OVER,Mike Barner,125,player_prop,289,16.816999999999982,288,-32064.0,0,0.05439754164644986,sportsline,309.15000000000015,1,0.5098,0.5674740484429066,164
points,-102.38647342995169,207,OVER,Prop Bet Guy,104,player_prop,207,-16.761000000000006,207,-21194.0,0,-0.07522215241001703,sportsline,222.82000000000014,0,0.4301,0.4975845410628019,103
rebounds,-5511.6435643564355,204,OVER,chefpadro74,50,player_prop,207,12.364,202,-1113352.0,10,0.04235552053715187,bettingpros_experts,291.90999999999997,3,0.6811,0.7461928934010152,147
points,-218.52409638554218,168,UNDER,chefpadro74,72,player_prop,170,-18.825000000000003,166,-36275.0,2,-0.09003730629424149,bettingpros_experts,209.07999999999993,2,0.4958,0.5714285714285714,96
points,-77624.62676056338,148,OVER,KD850,67,player_prop,155,-16.671,142,-11022697.0,2,-0.09468931046234236,bettingpros_experts,176.06000000000003,7,0.4829,0.5620915032679739,86
points,-391.6666666666667,125,OVER,carmenciorra,45,player_prop,144,12.157999999999989,111,-43475.0,5,0.08452447163515016,bettingpros_experts,143.8399999999999,19,0.5946,0.6762589928057554,94
rebounds,-109.58646616541354,133,OVER,Fizzy78,50,player_prop,133,12.051999999999996,133,-14575.0,2,0.07932078452020527,bettingpros_experts,151.94000000000008,0,0.5329,0.6183206106870229,81
rebounds,-234.232,130,UNDER,chefpadro74,53,player_prop,132,-12.351000000000004,125,-29279.0,1,-0.07465546421663452,bettingpros_experts,165.43999999999986,2,0.5098,0.5954198473282443,78
,-98.40816326530613,108,UNDER,Dimers AI Model,57,total,111,-9.113999999999995,98,-9644.0,0,-0.08215251487290429,dimers,110.93999999999993,3,0.3955,0.4864864864864865,54
pts_reb,-115.72115384615384,104,OVER,Prop Bet Guy,55,player_prop,104,-14.330000000000002,104,-12035.0,0,-0.127525140161965,sportsline,112.36999999999996,0,0.378,0.47115384615384615,49
points,-99.35714285714286,98,OVER,Zack Cimini,51,player_prop,98,-10.12300000000001,98,-9737.0,0,-0.09723369513015095,sportsline,104.10999999999994,0,0.3833,0.47959183673469385,47
,-110.89473684210526,95,UNDER,Fizzy78,37,total,95,15.388999999999958,95,-10535.0,0,0.1527444168734489,bettingpros_experts,100.74999999999989,0,0.51,0.6105263157894737,58
rebounds,-98.60240963855422,85,OVER,KD850,29,player_prop,96,15.416999999999998,83,-8184.0,3,0.16062721400291716,bettingpros_experts,95.98000000000006,11,0.5881,0.6881720430107527,64
assists,-240.34117647058824,89,OVER,KD850,28,player_prop,95,6.229000000000001,85,-20429.0,4,0.054269036417494365,bettingpros_experts,114.77999999999996,6,0.5913,0.6923076923076923,63
threes,-77.33333333333333,90,OVER,Fizzy78,49,player_prop,90,-17.982,90,-6960.0,1,-0.18158133898818538,bettingpros_experts,99.03000000000002,0,0.3503,0.449438202247191,40
points,-354.8974358974359,78,OVER,parkerpaduck,30,player_prop,78,-16.941000000000013,78,-27682.0,0,-0.15002656748140283,bettingpros_experts,112.92000000000003,0,0.5044,0.6153846153846154,48
assists,-119.16666666666667,78,OVER,Fizzy78,35,player_prop,78,-5.855999999999996,78,-9295.0,1,-0.06450049564930053,bettingpros_experts,90.79,0,0.4347,0.5454545454545454,42
pts_reb_ast,-118.06060606060606,66,UNDER,Alex Selesnick,28,player_prop,66,4.648,66,-7792.0,0,0.0651436580238262,sportsline,71.35000000000001,0,0.4556,0.5757575757575758,38
points,-87.16417910447761,67,UNDER,Fizzy78,32,player_prop,67,-2.6490000000000022,67,-5840.0,1,-0.0369713886950454,bettingpros_experts,71.64999999999999,0,0.3971,0.5151515151515151,34
