atomic_stat,avg_odds,bets_with_units,expert_name,losses,market_type,n,net_units,odds_count,odds_sum,pushes,roi,source_id,total_stake,units_missing_count,wilson_lower,win_pct,wins
points,-94.52272727272727,6987,BetQL Model,3472,player_prop,7145,-352.1669999999908,6776,-640486.0,0,-0.047682471597022276,betql,7385.670000000237,158,0.5025,0.5140657802659202,3673
rebounds,-32.27218045112782,3429,BetQL Model,1714,player_prop,3517,-150.7579999999971,3325,-107305.0,0,-0.0421758506760359,betql,3574.51,88,0.4961,0.5126528291157236,1803
threes,29.05917576611483,2854,BetQL Model,1586,player_prop,2855,-247.0819999999991,2839,82499.0,0,-0.08879664769133434,betql,2782.559999999998,1,0.4263,0.4444833625218914,1269
assists,-7.1020408163265305,1922,BetQL Model,1052,player_prop,1992,-223.00699999999904,1862,-13224.0,0,-0.11363066606880677,betql,1962.5600000000143,70,0.45,0.4718875502008032,940
pts_reb_ast,-108.8782894736842,1543,BetQL Model,786,player_prop,1560,-135.3009999999986,1520,-165495.0,0,-0.0823284228716775,betql,1643.4299999999712,17,0.4714,0.49615384615384617,774
pts_reb,-112.1694214876033,484,OddsTrader AI,246,player_prop,484,-42.824000000000154,484,-54290.0,0,-0.08258890688883781,oddstrader,518.5199999999996,0,0.4474,0.49173553719008267,238
,,263,BetQL Model,257,total,477,-257.0,0,0.0,6,-0.9771863117870723,betql,263.0,214,0.4099,0.4543524416135881,214
,3.0,223,BetQL Model,212,spread,446,-215.81,3,9.0,6,-0.9641261615439599,betql,223.84,223,0.4715,0.5181818181818182,228
pts_reb_ast,-113.97094430992736,413,OddsTrader AI,222,player_prop,415,-59.98400000000011,413,-47070.0,0,-0.13580565555027316,oddstrader,441.6899999999997,2,0.4176,0.4650602409638554,193
points,-81.66457680250784,343,EV Model Rating Star,174,player_prop,367,-23.861000000000004,319,-26051.0,0,-0.06592711297764753,covers,361.9300000000005,24,0.4748,0.5258855585831063,193
reb_ast,-118.13636363636364,356,OddsTrader AI,162,player_prop,356,-11.090000000000002,352,-41584.0,0,-0.027805636345401674,oddstrader,398.8399999999999,0,0.493,0.5449438202247191,194
pts_ast,-112.22295081967214,305,OddsTrader AI,146,player_prop,305,-9.187000000000014,305,-34228.0,0,-0.02809394208128193,oddstrader,327.01000000000033,0,0.4653,0.521311475409836,159
points,-109.20111731843575,220,OddsTrader AI,121,player_prop,262,-34.972000000000115,179,-19547.0,0,-0.15017176228100323,oddstrader,232.88000000000054,42,0.4777,0.5381679389312977,141
points,-101.8970588235294,162,The Degenerates,129,player_prop,244,-99.33600000000003,68,-6929.0,0,-0.6005077983315199,action,165.42000000000002,82,0.4096,0.4713114754098361,115
pts_reb,-79.66666666666667,95,Kyle Murray,88,player_prop,219,-81.718,12,-956.0,0,-0.8538083794796781,action,95.71000000000001,124,0.5321,0.5981735159817352,131
points,-108.5909090909091,110,Joe Dellera,86,player_prop,194,-64.66,44,-4778.0,0,-0.5739902352418996,action,112.65,84,0.4864,0.5567010309278351,108
points,-85.41176470588235,119,Kyle Murray,100,player_prop,192,-83.413,34,-2904.0,0,-0.6930292455965436,action,120.36000000000001,73,0.4096,0.4791666666666667,92
pts_ast,-126.5,80,Kyle Murray,78,player_prop,173,-77.231,2,-253.0,0,-0.9625,action,80.24,93,0.4747,0.5491329479768786,95
points,-101.82692307692308,98,Sandy Plashkes,73,player_prop,172,-51.449,52,-5295.0,0,-0.512083208918085,action,100.47,74,0.5009,0.5755813953488372,99
points,63.375,110,sXeBets,83,player_prop,151,-50.399,56,3549.0,0,-0.46996456546064896,juicereel_sxebets,107.24000000000001,41,0.3732,0.4503311258278146,68
steals,166.25531914893617,141,Dimers AI Model,104,player_prop,141,-32.346,141,23442.0,0,-0.30417528681587336,dimers,106.34000000000007,0,0.1968,0.2624113475177305,37
pts_reb_ast,-110.0,63,Kyle Murray,62,player_prop,139,-61.045,1,-110.0,0,-0.9681998413957178,action,63.05,76,0.471,0.5539568345323741,77
pts_reb,,91,Ryan Minion,89,player_prop,134,-89.0,0,0.0,2,-0.978021978021978,action,91.0,43,0.2517,0.32575757575757575,43
points,-90.78947368421052,79,Jim Turvey,55,player_prop,126,-31.026,38,-3450.0,0,-0.3828479763079961,action,81.03999999999999,47,0.4763,0.5634920634920635,71
points,-88.13333333333334,77,Buckets Podcast,60,player_prop,123,-44.171,30,-2644.0,0,-0.5652079334612924,action,78.15,46,0.4248,0.5121951219512195,63
pts_reb_ast,,61,Ryan Minion,61,player_prop,123,-61.0,0,0.0,0,-1.0,action,61.0,62,0.4169,0.5040650406504065,62
points,-114.8076923076923,68,Markus Markets,54,player_prop,120,-42.713,26,-2985.0,0,-0.6122849770642201,action,69.76,52,0.4608,0.55,66
rebounds,25.13,109,EV Model Rating Star,57,player_prop,116,-1.7630000000000008,100,2513.0,0,-0.01639085161770175,covers,107.56000000000003,7,0.4188,0.5086206896551724,59
points,-111.0,60,Cam Is Money,50,player_prop,114,-39.803,16,-1776.0,0,-0.6546546052631578,action,60.800000000000004,54,0.4698,0.5614035087719298,64
points,-115.11538461538461,77,Bryan Fonseca,65,player_prop,112,-54.80200000000001,26,-2993.0,0,-0.6956334094947956,action,78.78000000000002,35,0.3324,0.41964285714285715,47
assists,109.14953271028037,110,Dimers AI Model,65,player_prop,112,-11.170000000000002,107,11679.0,0,-0.11039731172168413,dimers,101.18000000000002,2,0.3324,0.41964285714285715,47
assists,23.88888888888889,103,EV Model Rating Star,47,player_prop,111,9.858,99,2365.0,0,0.09570873786407766,covers,103.00000000000001,8,0.4836,0.5765765765765766,64
blocks,157.89908256880733,109,Dimers AI Model,67,player_prop,109,-1.103999999999998,109,17211.0,0,-0.012982126058325468,dimers,85.04000000000002,0,0.2993,0.3853211009174312,42
pts_reb,-112.66666666666667,62,The Degenerates,60,player_prop,106,-58.354000000000006,6,-676.0,0,-0.935760102629891,action,62.36000000000001,44,0.3436,0.4339622641509434,46
