atomic_stat,avg_odds,bets_with_units,expert_name,losses,market_type,n,net_units,odds_count,odds_sum,pushes,roi,source_id,total_stake,units_missing_count,wilson_lower,win_pct,wins
points,-7420.302013422819,601,chefpadro74,191,player_prop,610,-41.32199999999996,596,-4422500.0,14,-0.04831852198316176,bettingpros_experts,855.2000000000005,9,0.641,0.6795302013422819,405
points,-137.71573604060913,394,Fizzy78,165,player_prop,394,-3.830000000000013,394,-54260.0,1,-0.008312894753977408,bettingpros_experts,460.7300000000002,0,0.5308,0.5801526717557252,228
rebounds,-3494.2844036697247,334,chefpadro74,103,player_prop,339,0.012999999999987466,327,-1142631.0,11,2.8424620093992444e-05,bettingpros_experts,457.35000000000076,5,0.6338,0.6859756097560976,225
,-77.82295081967213,312,Dimers AI Model,160,spread,320,-18.033000000000012,305,-23736.0,3,-0.05659897680549886,dimers,318.61000000000035,8,0.4406,0.4952681388012618,157
points,-111.36332179930795,289,Mike Barner,125,player_prop,290,17.72499999999998,289,-32184.0,0,0.05713318720990192,sportsline,310.2400000000002,1,0.5114,0.5689655172413793,165
,131.1140350877193,237,Dimers AI Model,133,moneyline,242,-3.177000000000005,228,29894.0,0,-0.014990798848676464,dimers,211.93000000000012,5,0.389,0.45041322314049587,109
points,-102.28506787330316,221,Prop Bet Guy,114,player_prop,221,-23.724999999999994,221,-22605.0,0,-0.09977290886917016,sportsline,237.79000000000022,0,0.4191,0.4841628959276018,107
,-148.9014778325123,204,Matt Severance,89,moneyline,204,-15.910000000000007,203,-30227.0,0,-0.06469057493697654,sportsline,245.93999999999997,0,0.4951,0.5637254901960784,115
rebounds,-105.20618556701031,194,Fizzy78,75,player_prop,194,15.407,194,-20410.0,4,0.07049967969250476,bettingpros_experts,218.54000000000016,0,0.5343,0.6052631578947368,115
,-107.55555555555556,180,Fizzy78,94,spread,180,-21.69800000000003,180,-19360.0,2,-0.11312236066941257,bettingpros_experts,191.81000000000003,0,0.3999,0.47191011235955055,84
points,-128999.98159509203,169,KD850,75,player_prop,177,-17.477000000000004,163,-21026997.0,2,-0.08614451892744483,bettingpros_experts,202.87999999999997,8,0.4973,0.5714285714285714,100
points,-334.1515151515151,149,carmenciorra,60,player_prop,169,6.35400000000001,132,-44108.0,5,0.037909432611419436,bettingpros_experts,167.60999999999996,20,0.5581,0.6341463414634146,104
,-115.47169811320755,160,Fizzy78,70,total,160,9.259999999999954,159,-18360.0,0,0.05416788534659226,bettingpros_experts,170.95000000000013,0,0.4851,0.5625,90
,-199.87261146496814,157,Fizzy78,65,moneyline,157,-12.054999999999996,157,-31380.0,0,-0.06146433487992658,bettingpros_experts,196.12999999999994,0,0.5078,0.5859872611464968,92
,-27.47328244274809,137,carmenciorra,74,spread,145,-5.940000000000012,131,-3599.0,1,-0.045333129817599085,bettingpros_experts,131.0300000000001,8,0.4059,0.4861111111111111,70
,-110.19847328244275,134,Zack Cimini,61,spread,138,2.246999999999998,131,-14436.0,3,0.015931650595575712,sportsline,141.04,4,0.464,0.5481481481481482,74
,-95.33644859813084,117,Dimers AI Model,62,total,120,-10.426999999999987,107,-10201.0,0,-0.08670380841510059,dimers,120.25999999999989,3,0.3958,0.48333333333333334,58
threes,-80.6896551724138,116,Fizzy78,61,player_prop,116,-19.05400000000001,116,-9360.0,1,-0.14874316939890714,bettingpros_experts,128.10000000000002,0,0.3808,0.46956521739130436,54
pts_reb,-116.01818181818182,110,Prop Bet Guy,56,player_prop,110,-10.910000000000004,110,-12762.0,0,-0.09172692113670765,sportsline,118.93999999999996,0,0.3994,0.4909090909090909,54
assists,-129.26605504587155,109,Fizzy78,46,player_prop,109,-3.686999999999999,109,-14090.0,3,-0.02911862265045016,bettingpros_experts,126.61999999999999,0,0.471,0.5660377358490566,60
points,-99.95098039215686,102,Zack Cimini,54,player_prop,102,-12.397000000000007,102,-10195.0,0,-0.11438457279940964,sportsline,108.37999999999992,0,0.3766,0.47058823529411764,48
rebounds,-96.03333333333333,92,KD850,35,player_prop,103,9.809000000000001,90,-8643.0,3,0.09469060720146728,bettingpros_experts,103.59000000000006,11,0.5525,0.65,65
pts_reb_ast,-113.25252525252525,99,Alex Selesnick,44,player_prop,99,3.2840000000000007,99,-11212.0,0,0.03076923076923077,sportsline,106.73000000000002,0,0.4574,0.5555555555555556,55
assists,-232.752688172043,97,KD850,30,player_prop,103,7.664,93,-21646.0,5,0.06161266982876438,bettingpros_experts,124.38999999999997,6,0.5968,0.6938775510204082,68
,-90.68604651162791,92,carmenciorra,33,moneyline,99,13.748000000000005,86,-7799.0,4,0.13728779708408229,bettingpros_experts,100.14000000000003,7,0.5526,0.6526315789473685,62
pts_ast,-115.25806451612904,94,Prop Bet Guy,41,player_prop,94,4.626999999999996,93,-10719.0,0,0.04563116370808677,sportsline,101.39999999999995,0,0.463,0.5638297872340425,53
points,-27.032258064516128,93,severianosmith,41,player_prop,93,5.685999999999998,93,-2514.0,4,0.060258584145824454,bettingpros_experts,94.36000000000004,0,0.4363,0.5393258426966292,48
points,-118.40229885057471,87,Alex Selesnick,35,player_prop,87,9.796,87,-10301.0,0,0.1039804691646322,sportsline,94.21,0,0.4926,0.5977011494252874,52
threes,-312.56470588235294,86,chefpadro74,31,player_prop,88,-7.054999999999999,85,-26568.0,1,-0.060646436860655024,bettingpros_experts,116.33,2,0.5389,0.6436781609195402,56
pts_ast,-109.08045977011494,87,Fizzy78,41,player_prop,87,-4.654999999999999,87,-9490.0,3,-0.04970104633781765,bettingpros_experts,93.65999999999997,0,0.4068,0.5119047619047619,43
pts_reb_ast,-115.48148148148148,81,Prop Bet Guy,31,player_prop,81,12.404999999999998,81,-9354.0,0,0.14160958904109588,sportsline,87.59999999999998,0,0.5084,0.6172839506172839,50
assists,-634.0126582278481,79,chefpadro74,27,player_prop,81,-8.429000000000004,79,-50087.0,1,-0.07552190663919009,bettingpros_experts,111.60999999999997,2,0.5536,0.6625,53
,3.2903225806451615,65,carmenciorra,28,total,79,13.86,62,204.0,0,0.22958423057810168,bettingpros_experts,60.370000000000005,14,0.5356,0.6455696202531646,51
points,-354.45569620253167,79,parkerpaduck,30,player_prop,79,-16.46600000000001,79,-28002.0,0,-0.14388325760223705,bettingpros_experts,114.44000000000003,0,0.51,0.620253164556962,49
pts_reb_ast,-261.2985074626866,69,KD850,28,player_prop,72,-2.0270000000000015,67,-17507.0,3,-0.024740632247040182,bettingpros_experts,81.92999999999998,3,0.4764,0.5942028985507246,41
rebounds,8.305084745762711,62,Propmaster71,24,player_prop,69,15.416000000000002,59,490.0,0,0.2549363320654871,bettingpros_experts,60.469999999999985,7,0.5345,0.6521739130434783,45
,-109.81538461538462,67,Matt Severance,35,spread,68,-9.289000000000007,65,-7138.0,2,-0.130079820753396,sportsline,71.40999999999998,1,0.3543,0.4696969696969697,31
points,42.30357142857143,61,Propmaster71,31,player_prop,67,2.1359999999999975,56,2369.0,2,0.03809523809523806,bettingpros_experts,56.069999999999986,6,0.4038,0.5230769230769231,34
points,-124.20967741935483,62,Matt Severance,19,player_prop,62,17.336,62,-7701.0,0,0.2528219337902873,sportsline,68.57,0,0.5703,0.6935483870967742,43
reb_ast,-112.1,60,Mike Barner,24,player_prop,61,6.226999999999997,60,-6726.0,0,0.09462087828597472,sportsline,65.81,1,0.4812,0.6065573770491803,37
points,-203.7704918032787,61,craig.r.trujillo,18,player_prop,62,6.254999999999998,61,-12430.0,1,0.07892744479495267,bettingpros_experts,79.24999999999999,1,0.5811,0.7049180327868853,43
rebounds,-104.71666666666667,60,Mike Barner,30,player_prop,60,-6.382,60,-6283.0,0,-0.09615790266686756,sportsline,66.36999999999999,0,0.3773,0.5,30
,-203.28333333333333,60,mypickswithnoresearch,14,moneyline,60,15.053,60,-12197.0,0,0.19564595788926445,bettingpros_experts,76.93999999999997,0,0.6456,0.7666666666666667,46
points,-112.27586206896552,58,Larry Hartstein,26,player_prop,59,1.0279999999999998,58,-6512.0,0,0.01633820724729815,sportsline,62.92,1,0.4329,0.559322033898305,33
points,-22.672727272727272,57,gordyscott88,28,player_prop,58,-2.0640000000000005,55,-1247.0,1,-0.03491794958551852,bettingpros_experts,59.11000000000002,1,0.3826,0.5087719298245614,29
reb_ast,-78.84210526315789,57,KD850,21,player_prop,58,6.240000000000001,57,-4494.0,3,0.09898477157360408,bettingpros_experts,63.04,1,0.4861,0.6181818181818182,34
