avg_odds,bets_with_units,by_market,expert_name,losses,n,net_units,odds_count,odds_sum,pushes,roi,source_id,total_stake,units_missing_count,wilson_lower,win_pct,wins
-126.44628099173553,1453,"{""moneyline"": {""losses"": 65, ""n"": 157, ""net_units"": -12.055, ""wilson_lower"": 0.5078, ""win_pct"": 0.5859872611464968, ""wins"": 92}, ""player_prop"": {""losses"": 416, ""n"": 956, ""net_units"": -21.349, ""wilson_lower"": 0.5275, ""win_pct"": 0.559322033898305, ""wins"": 528}, ""spread"": {""losses"": 94, ""n"": 180, ""net_units"": -21.698, ""wilson_lower"": 0.3999, ""win_pct"": 0.47191011235955055, ""wins"": 84}, ""total"": {""losses"": 70, ""n"": 160, ""net_units"": 9.26, ""wilson_lower"": 0.4851, ""win_pct"": 0.5625, ""wins"": 90}}",Fizzy78,645,1453,-45.84200000000024,1452,-183600.0,14,-0.027816409995024622,bettingpros_experts,1648.0199999999916,0,0.526,0.551772063933287,794
-5008.570416297608,1143,"{""player_prop"": {""losses"": 374, ""n"": 1158, ""net_units"": -72.811, ""wilson_lower"": 0.6414, ""win_pct"": 0.6693191865605659, ""wins"": 757}, ""spread"": {""losses"": 0, ""n"": 1, ""net_units"": 0.321, ""wilson_lower"": 0.2065, ""win_pct"": 1.0, ""wins"": 1}, ""total"": {""losses"": 2, ""n"": 2, ""net_units"": -2.03, ""wilson_lower"": 0.0, ""win_pct"": 0.0, ""wins"": 0}}",chefpadro74,376,1161,-74.52000000000007,1129,-5654676.0,27,-0.04668412414017757,bettingpros_experts,1596.2600000000045,18,0.6405,0.6684303350970018,758
-6.3171875,666,"{""moneyline"": {""losses"": 133, ""n"": 242, ""net_units"": -3.177, ""wilson_lower"": 0.389, ""win_pct"": 0.45041322314049587, ""wins"": 109}, ""spread"": {""losses"": 160, ""n"": 320, ""net_units"": -18.033, ""wilson_lower"": 0.4406, ""win_pct"": 0.4952681388012618, ""wins"": 157}, ""total"": {""losses"": 62, ""n"": 120, ""net_units"": -10.427, ""wilson_lower"": 0.3958, ""win_pct"": 0.48333333333333334, ""wins"": 58}}",Dimers AI Model,355,682,-31.637000000000096,640,-4043.0,3,-0.04861247695144468,dimers,650.7999999999979,16,0.4398,0.47717231222385864,324
-81622.97444089457,642,"{""moneyline"": {""losses"": 14, ""n"": 32, ""net_units"": 2.217, ""wilson_lower"": 0.3933, ""win_pct"": 0.5625, ""wins"": 18}, ""player_prop"": {""losses"": 218, ""n"": 596, ""net_units"": 19.184, ""wilson_lower"": 0.584, ""win_pct"": 0.6241379310344828, ""wins"": 362}, ""spread"": {""losses"": 16, ""n"": 38, ""net_units"": -1.453, ""wilson_lower"": 0.4219, ""win_pct"": 0.5789473684210527, ""wins"": 22}, ""total"": {""losses"": 4, ""n"": 8, ""net_units"": -3.214, ""wilson_lower"": 0.2152, ""win_pct"": 0.5, ""wins"": 4}}",KD850,252,674,16.734,626,-51095982.0,16,0.022089047876763836,bettingpros_experts,757.5700000000011,32,0.5793,0.6170212765957447,406
-116.27756653992395,570,"{""moneyline"": {""losses"": 33, ""n"": 99, ""net_units"": 13.748, ""wilson_lower"": 0.5526, ""win_pct"": 0.6526315789473685, ""wins"": 62}, ""player_prop"": {""losses"": 106, ""n"": 315, ""net_units"": 34.311, ""wilson_lower"": 0.5936, ""win_pct"": 0.6490066225165563, ""wins"": 196}, ""spread"": {""losses"": 74, ""n"": 145, ""net_units"": -5.94, ""wilson_lower"": 0.4059, ""win_pct"": 0.4861111111111111, ""wins"": 70}, ""total"": {""losses"": 28, ""n"": 79, ""net_units"": 13.86, ""wilson_lower"": 0.5356, ""win_pct"": 0.6455696202531646, ""wins"": 51}}",carmenciorra,242,641,57.124999999999964,526,-61162.0,18,0.09807708816207385,bettingpros_experts,582.4500000000005,71,0.5727,0.6115569823434992,381
-104.12520325203252,617,"{""player_prop"": {""losses"": 287, ""n"": 617, ""net_units"": -3.744, ""wilson_lower"": 0.4954, ""win_pct"": 0.5348460291734197, ""wins"": 330}}",Prop Bet Guy,287,617,-3.744000000000027,615,-64037.0,0,-0.005640253088279622,sportsline,663.8000000000025,0,0.4954,0.5348460291734197,330
-114.73781512605042,595,"{""moneyline"": {""losses"": 22, ""n"": 52, ""net_units"": -0.819, ""wilson_lower"": 0.4419, ""win_pct"": 0.5769230769230769, ""wins"": 30}, ""player_prop"": {""losses"": 222, ""n"": 516, ""net_units"": 27.071, ""wilson_lower"": 0.5267, ""win_pct"": 0.5697674418604651, ""wins"": 294}, ""spread"": {""losses"": 14, ""n"": 29, ""net_units"": -1.51, ""wilson_lower"": 0.3263, ""win_pct"": 0.5, ""wins"": 14}}",Mike Barner,258,597,24.742000000000004,595,-68269.0,1,0.03816207545423698,sportsline,648.34,2,0.527,0.5671140939597316,338
-133.76657824933687,380,"{""moneyline"": {""losses"": 89, ""n"": 204, ""net_units"": -15.91, ""wilson_lower"": 0.4951, ""win_pct"": 0.5637254901960784, ""wins"": 115}, ""player_prop"": {""losses"": 31, ""n"": 97, ""net_units"": 24.541, ""wilson_lower"": 0.5823, ""win_pct"": 0.6804123711340206, ""wins"": 66}, ""spread"": {""losses"": 35, ""n"": 68, ""net_units"": -9.289, ""wilson_lower"": 0.3543, ""win_pct"": 0.4696969696969697, ""wins"": 31}, ""total"": {""losses"": 1, ""n"": 1, ""net_units"": -1.05, ""wilson_lower"": 0.0, ""win_pct"": 0.0, ""wins"": 0}}",Matt Severance,159,381,2.5029999999999792,377,-50430.0,2,0.005721012091152153,sportsline,437.51000000000016,1,0.5302,0.5804749340369393,220
-22.514195583596216,323,"{""moneyline"": {""losses"": 9, ""n"": 15, ""net_units"": -3.492, ""wilson_lower"": 0.1982, ""win_pct"": 0.4, ""wins"": 6}, ""player_prop"": {""losses"": 115, ""n"": 245, ""net_units"": -3.377, ""wilson_lower"": 0.4313, ""win_pct"": 0.4956140350877193, ""wins"": 113}, ""spread"": {""losses"": 15, ""n"": 27, ""net_units"": -4.655, ""wilson_lower"": 0.2759, ""win_pct"": 0.4444444444444444, ""wins"": 12}, ""total"": {""losses"": 20, ""n"": 41, ""net_units"": -3.35, ""wilson_lower"": 0.3648, ""win_pct"": 0.5121951219512195, ""wins"": 21}}",severianosmith,159,328,-14.873999999999999,317,-7137.0,17,-0.04562996594778663,bettingpros_experts,325.9699999999998,5,0.4337,0.4887459807073955,152
-106.76612903225806,251,"{""moneyline"": {""losses"": 4, ""n"": 10, ""net_units"": 0.743, ""wilson_lower"": 0.3127, ""win_pct"": 0.6, ""wins"": 6}, ""player_prop"": {""losses"": 56, ""n"": 104, ""net_units"": -14.497, ""wilson_lower"": 0.3688, ""win_pct"": 0.46153846153846156, ""wins"": 48}, ""spread"": {""losses"": 61, ""n"": 138, ""net_units"": 2.247, ""wilson_lower"": 0.464, ""win_pct"": 0.5481481481481482, ""wins"": 74}, ""total"": {""losses"": 0, ""n"": 6, ""net_units"": 2.857, ""wilson_lower"": 0.6097, ""win_pct"": 1.0, ""wins"": 6}}",Zack Cimini,121,258,-8.650000000000013,248,-26478.0,3,-0.03252491069749954,sportsline,265.9500000000003,7,0.4643,0.5254901960784314,134
