atomic_stat,avg_odds,bets_with_units,losses,market_type,n,net_units,odds_count,odds_sum,pushes,rating_bucket,roi,source_id,total_stake,units_missing_count,wilson_lower,win_pct,wins
points,-94.5119765105857,6493,3145,player_prop,6503,-183.42500000000067,6471,-611587.0,0,unrated,-0.02666878941070523,betql,6877.890000000198,10,0.5042,0.5163770567430417,3358
rebounds,-34.094883720930234,3233,1582,player_prop,3236,-77.8410000000004,3225,-109956.0,0,unrated,-0.023032402955353214,betql,3379.630000000001,3,0.4939,0.5111248454882571,1654
threes,29.030442477876107,2825,1564,player_prop,2825,-232.43899999999917,2825,82011.0,0,unrated,-0.0844026536622206,betql,2753.93,0,0.4281,0.4463716814159292,1261
points,-91.4186046511628,1342,1086,player_prop,2188,-851.5199999999993,473,-43241.0,1,unrated,-0.6239978895223587,action,1364.6199999999972,846,0.4825,0.5034293552812071,1101
points,-18966.299326773693,1993,757,player_prop,2066,-26.508000000000134,1931,-36623924.0,45,unrated,-0.01069962502068642,bettingpros_experts,2477.470000000014,73,0.6041,0.6254329539831767,1264
assists,-8.404788418708241,1803,960,player_prop,1830,-158.31999999999945,1796,-15095.0,0,unrated,-0.08585776418399244,betql,1843.9800000000128,27,0.4526,0.47540983606557374,870
pts_reb_ast,-108.86767610269915,1519,766,player_prop,1519,-114.18899999999948,1519,-165370.0,0,unrated,-0.07051663661290013,betql,1619.3199999999722,0,0.4706,0.4957208689927584,753
pts_reb,-67.48571428571428,647,609,player_prop,1170,-575.3330000000002,70,-4724.0,2,unrated,-0.8860409961036761,action,649.3300000000002,523,0.4501,0.4785958904109589,559
rebounds,-1270.4610591900312,997,370,player_prop,1042,22.617,963,-1223454.0,30,unrated,0.01866658963544977,bettingpros_experts,1211.6299999999999,45,0.6043,0.6343873517786561,642
points,-108.19586507072906,924,425,player_prop,929,-0.20900000000001795,919,-99432.0,0,unrated,-0.0002102509934108114,sportsline,994.0500000000043,5,0.5104,0.542518837459634,504
pts_reb_ast,-99.06666666666666,390,364,player_prop,788,-340.5639999999999,45,-4458.0,0,unrated,-0.867502165163788,action,392.58000000000004,398,0.5032,0.5380710659898477,424
,-84.35463258785943,641,322,spread,657,-40.742000000000125,626,-52806.0,4,unrated,-0.060361201238573685,bettingpros_experts,674.9700000000007,16,0.4686,0.5068912710566615,331
,-170.31958762886597,592,234,moneyline,609,7.24400000000002,582,-99126.0,5,unrated,0.010296354203681357,bettingpros_experts,703.5500000000002,17,0.5731,0.6125827814569537,370
assists,-224.17554240631165,523,197,player_prop,556,-4.189000000000006,507,-113657.0,20,unrated,-0.006556786877034815,bettingpros_experts,638.8800000000006,33,0.5908,0.6324626865671642,339
assists,-11.592105263157896,269,229,player_prop,516,-193.48999999999998,76,-881.0,0,unrated,-0.7178792713241567,action,269.53000000000003,247,0.5131,0.5562015503875969,287
pts_ast,-100.65384615384616,248,237,player_prop,506,-228.87400000000002,26,-2617.0,0,unrated,-0.9158989955580453,action,249.89000000000007,258,0.4881,0.5316205533596838,269
rebounds,-6.36936936936937,297,235,player_prop,498,-171.41100000000006,111,-707.0,0,unrated,-0.5723429830712216,action,299.48999999999984,201,0.4842,0.5281124497991968,263
pts_reb,-112.1694214876033,484,246,player_prop,484,-42.824000000000154,484,-54290.0,0,unrated,-0.08258890688883781,oddstrader,518.5199999999996,0,0.4474,0.49173553719008267,238
threes,-101.19463087248322,464,204,player_prop,488,-6.911000000000026,447,-45234.0,6,unrated,-0.013198754798418724,bettingpros_experts,523.6099999999999,24,0.5322,0.5767634854771784,278
,-2456.478672985782,445,209,total,469,1.092999999999975,422,-1036634.0,0,unrated,0.0023285540808282517,bettingpros_experts,469.3900000000009,24,0.5091,0.5543710021321961,260
pts_reb_ast,-113.97094430992736,413,222,player_prop,415,-59.98400000000011,413,-47070.0,0,unrated,-0.13580565555027316,oddstrader,441.6899999999997,2,0.4176,0.4650602409638554,193
,-110.0803324099723,368,178,spread,377,-12.57100000000005,361,-39739.0,6,unrated,-0.03246977993594386,sportsline,387.1600000000007,9,0.4694,0.5202156334231806,193
