atomic_stat,avg_odds,bets_with_units,direction,losses,market_type,n,net_units,odds_count,odds_sum,pushes,rating_bucket,roi,source_id,total_stake,units_missing_count,wilson_lower,win_pct,wins
points,-91.88303167420814,4425,UNDER,2098,player_prop,4426,-42.66300000000046,4420,-406123.0,0,unrated,-0.009085933340432267,betql,4695.500000000083,1,0.5113,0.5259828287392679,2328
rebounds,-28.69727752945957,2468,OVER,1262,player_prop,2471,-156.4359999999991,2461,-70624.0,0,unrated,-0.06091815714358,betql,2567.9699999999993,3,0.4696,0.48927559692432215,1209
points,-100.17747440273038,2068,OVER,1047,player_prop,2077,-140.76200000000063,2051,-205464.0,0,unrated,-0.06449901255046225,betql,2182.3899999999585,9,0.4744,0.49590755897929706,1030
threes,46.022351797862,2058,OVER,1210,player_prop,2058,-264.01599999999945,2058,94714.0,0,unrated,-0.13472266163188215,betql,1959.7,0,0.391,0.41205053449951407,848
points,-95.19491525423729,710,OVER,587,player_prop,1112,-469.366,236,-22466.0,1,unrated,-0.6514809982511174,action,720.4599999999999,402,0.4424,0.47164716471647167,524
assists,4.342967244701349,1044,OVER,584,player_prop,1067,-134.13099999999991,1038,4508.0,0,unrated,-0.12726625804125452,betql,1053.940000000001,23,0.423,0.4526710402999063,483
pts_reb_ast,-107.11196911196912,1036,OVER,530,player_prop,1036,-91.73099999999978,1036,-110968.0,0,unrated,-0.08315294245621671,betql,1103.1599999999971,0,0.4581,0.48841698841698844,506
threes,-16.561929595827902,767,UNDER,354,player_prop,767,31.577,767,-12703.0,0,unrated,0.03975800460823693,betql,794.2299999999996,0,0.5031,0.5384615384615384,413
rebounds,-51.481675392670155,765,UNDER,320,player_prop,765,78.59499999999991,764,-39332.0,0,unrated,0.09683241751472282,betql,811.6599999999999,0,0.5464,0.5816993464052288,445
assists,-25.861477572559366,759,UNDER,376,player_prop,763,-24.189,758,-19603.0,0,unrated,-0.030617437091792786,betql,790.0400000000009,4,0.4718,0.5072083879423329,387
pts_reb,-12.538461538461538,429,OVER,422,player_prop,672,-415.57899999999995,26,-326.0,1,unrated,-0.9696423154996615,action,428.59000000000003,243,0.3354,0.3710879284649776,249
points,-85.06201550387597,382,PLAYER_OVER,311,player_prop,658,-246.209,129,-10973.0,0,unrated,-0.6340853485796698,action,388.29,276,0.4892,0.5273556231003039,347
