atomic_stat,avg_odds,bets_with_units,direction,losses,market_type,n,net_units,odds_count,odds_sum,pushes,rating_bucket,roi,source_id,total_stake,units_missing_count,wilson_lower,win_pct,wins
points,-17558.14606741573,1561,OVER,564,player_prop,1627,-1.9940000000000182,1513,-26565475.0,35,unrated,-0.0010048579894777246,bettingpros_experts,1984.3600000000004,66,0.6219,0.6457286432160804,1028
points,-107.29838709677419,744,OVER,349,player_prop,746,-9.39900000000003,744,-79830.0,0,unrated,-0.011758597825679003,sportsline,799.3300000000027,2,0.4963,0.532171581769437,397
rebounds,-1718.4171511627908,709,OVER,253,player_prop,746,23.67199999999999,688,-1182271.0,21,unrated,0.02700063874441097,bettingpros_experts,876.7200000000001,37,0.6156,0.6510344827586206,472
points,-24236.95421686747,423,UNDER,186,player_prop,429,-18.455999999999996,415,-10058336.0,9,unrated,-0.03812829253176326,bettingpros_experts,484.0499999999997,6,0.5093,0.5571428571428572,234
assists,-257.7853260869565,381,OVER,133,player_prop,412,14.429000000000018,368,-94865.0,11,unrated,0.030418467376409825,bettingpros_experts,474.3500000000006,31,0.6208,0.6683291770573566,268
threes,-77.23103448275862,302,OVER,143,player_prop,322,-9.715000000000016,290,-22397.0,3,unrated,-0.029763181275083546,bettingpros_experts,326.40999999999985,20,0.4969,0.5517241379310345,176
rebounds,-150.87179487179486,285,UNDER,115,player_prop,290,-0.07000000000001116,273,-41188.0,9,unrated,-0.00021089419137144865,bettingpros_experts,331.9199999999997,5,0.5324,0.5907473309608541,166
,-4159.487804878048,254,UNDER,110,total,263,14.728,246,-1023234.0,0,unrated,0.054250773537645416,bettingpros_experts,271.4800000000004,9,0.5214,0.5817490494296578,153
pts_reb_ast,-267.6304347826087,236,OVER,92,player_prop,244,-13.641000000000002,230,-61555.0,10,unrated,-0.04659925528644143,bettingpros_experts,292.73,8,0.543,0.6068376068376068,142
,-75.88571428571429,187,OVER,95,total,202,-9.545000000000023,175,-13280.0,0,unrated,-0.049246723764317504,bettingpros_experts,193.82000000000008,15,0.461,0.5297029702970297,107
pts_reb,-116.9364161849711,173,OVER,92,player_prop,173,-25.166999999999998,173,-20230.0,0,unrated,-0.1344678350074801,sportsline,187.16000000000017,0,0.3954,0.4682080924855491,81
rebounds,-87.41818181818182,166,OVER,84,player_prop,166,-16.207000000000004,165,-14424.0,0,unrated,-0.08994394805483105,sportsline,180.18999999999997,0,0.4189,0.4939759036144578,82
threes,-145.45859872611464,158,UNDER,57,player_prop,159,6.803999999999995,157,-22837.0,3,unrated,0.03521739130434782,bettingpros_experts,193.1999999999999,1,0.5567,0.6346153846153846,99
pts_reb,-274126.3287671233,147,OVER,66,player_prop,148,-13.071000000000003,146,-40022444.0,6,unrated,-0.07654154711014821,bettingpros_experts,170.76999999999992,1,0.4533,0.5352112676056338,76
pts_ast,-104.20863309352518,142,OVER,70,player_prop,142,-15.77600000000001,139,-14485.0,6,unrated,-0.10185292788430511,bettingpros_experts,154.88999999999993,0,0.4029,0.4852941176470588,66
pts_reb_ast,-116.32089552238806,134,UNDER,51,player_prop,134,21.21299999999999,134,-15587.0,0,unrated,0.14651885619560712,sportsline,144.77999999999994,0,0.535,0.6194029850746269,83
assists,-137.02898550724638,139,UNDER,62,player_prop,139,-16.618000000000002,138,-18910.0,9,unrated,-0.10282779530969618,bettingpros_experts,161.61,0,0.4378,0.5230769230769231,68
points,-119.2695652173913,115,UNDER,45,player_prop,115,14.23399999999999,115,-13716.0,0,unrated,0.11323786793953851,sportsline,125.69999999999999,0,0.5174,0.6086956521739131,70
,-98.40816326530613,108,UNDER,57,total,111,-9.113999999999995,98,-9644.0,0,unrated,-0.08215251487290429,dimers,110.93999999999993,3,0.3955,0.4864864864864865,54
pts_reb_ast,-113.46666666666667,105,OVER,48,player_prop,105,0.7959999999999983,105,-11914.0,0,unrated,0.0070311809910785115,sportsline,113.21,0,0.4477,0.5428571428571428,57
pts_reb_ast,-183.86458333333334,99,UNDER,44,player_prop,102,-8.630000000000004,96,-17651.0,5,unrated,-0.07564866760168308,bettingpros_experts,114.07999999999998,3,0.4474,0.5463917525773195,53
reb_ast,-91.74226804123711,98,OVER,38,player_prop,99,8.505999999999998,97,-8899.0,2,unrated,0.077538742023701,bettingpros_experts,109.69999999999999,1,0.5088,0.6082474226804123,59
reb_ast,-97.8125,96,OVER,44,player_prop,97,-0.6289999999999998,96,-9390.0,0,unrated,-0.006008788689338935,sportsline,104.68,1,0.4474,0.5463917525773195,53
pts_ast,-115.53846153846153,92,OVER,35,player_prop,92,14.724,91,-10514.0,0,unrated,0.1482331621866506,sportsline,99.32999999999997,0,0.5175,0.6195652173913043,57
assists,-59.08139534883721,87,OVER,31,player_prop,87,19.626,86,-5081.0,0,unrated,0.2125175961017866,sportsline,92.35000000000004,0,0.5389,0.6436781609195402,56
pts_ast,-107.5,59,UNDER,25,player_prop,59,1.7859999999999991,56,-6020.0,3,unrated,0.02824161922833647,bettingpros_experts,63.24000000000002,0,0.4241,0.5535714285714286,31
pts_reb,-86.08333333333333,49,UNDER,15,player_prop,50,12.674999999999995,48,-4132.0,3,unrated,0.2409237787492871,bettingpros_experts,52.61,1,0.5383,0.6808510638297872,32
,-62.48571428571429,35,MIN,16,spread,36,1.6039999999999992,35,-2187.0,0,unrated,0.04401756311745332,bettingpros_experts,36.440000000000005,1,0.3958,0.5555555555555556,20
,-217.84848484848484,33,BOS,12,moneyline,35,2.566,33,-7189.0,0,unrated,0.06512690355329949,bettingpros_experts,39.4,2,0.4915,0.6571428571428571,23
,-271.47222222222223,36,CLE,11,moneyline,36,2.72,36,-9773.0,1,unrated,0.058709259658968276,bettingpros_experts,46.33,0,0.5202,0.6857142857142857,24
,-150.75757575757575,33,MIN,15,moneyline,36,-4.548,33,-4975.0,1,unrated,-0.11435755594669346,bettingpros_experts,39.77000000000001,3,0.4086,0.5714285714285714,20
,-261.7241379310345,32,DET,10,moneyline,34,3.455,29,-7590.0,1,unrated,0.08737986848760747,bettingpros_experts,39.540000000000006,2,0.5266,0.696969696969697,23
steals,72.16129032258064,32,OVER,21,player_prop,33,-7.134999999999999,31,2237.0,0,unrated,-0.24276964954066005,bettingpros_experts,29.39,1,0.2219,0.36363636363636365,12
pts_ast,-118.46875,32,UNDER,15,player_prop,32,-0.7140000000000005,32,-3791.0,0,unrated,-0.020570440795159906,sportsline,34.71000000000001,0,0.3645,0.53125,17
,-527.9666666666667,31,OKC,5,moneyline,31,4.3,30,-15839.0,0,unrated,0.0901089689857502,bettingpros_experts,47.720000000000006,0,0.6737,0.8387096774193549,26
,-132.41935483870967,31,DEN,12,spread,31,3.6979999999999995,31,-4105.0,0,unrated,0.1077191960384503,bettingpros_experts,34.330000000000005,0,0.4382,0.6129032258064516,19
,-98.85714285714286,30,WAS,18,spread,31,-6.7989999999999995,28,-2768.0,0,unrated,-0.22103381014304294,dimers,30.759999999999994,1,0.2642,0.41935483870967744,13
,-93.1,30,PHI,12,moneyline,31,0.4620000000000002,30,-2793.0,1,unrated,0.013291139240506337,bettingpros_experts,34.75999999999999,1,0.4232,0.6,18
,-95.35714285714286,28,PHI,9,spread,29,8.122999999999998,28,-2670.0,0,unrated,0.27139993317741384,bettingpros_experts,29.930000000000007,1,0.5077,0.6896551724137931,20
,-110.96551724137932,29,AWAY,8,spread,29,11.531999999999998,29,-3218.0,0,unrated,0.3777268260727153,sportsline,30.53,0,0.5428,0.7241379310344828,21
,-74.1923076923077,27,DET,15,spread,27,-4.0760000000000005,26,-1929.0,0,unrated,-0.14510501957992167,bettingpros_experts,28.090000000000003,0,0.2759,0.4444444444444444,12
