atomic_stat,avg_odds,bets_with_units,losses,market_type,n,net_units,odds_count,odds_sum,pushes,rating_bucket,roi,source_id,total_stake,units_missing_count,wilson_lower,win_pct,wins
points,-94.5119765105857,6493,3145,player_prop,6503,-183.42500000000067,6471,-611587.0,0,unrated,-0.02666878941070523,betql,6877.890000000198,10,0.5042,0.5163770567430417,3358
rebounds,-34.094883720930234,3233,1582,player_prop,3236,-77.8410000000004,3225,-109956.0,0,unrated,-0.023032402955353214,betql,3379.630000000001,3,0.4939,0.5111248454882571,1654
threes,29.030442477876107,2825,1564,player_prop,2825,-232.43899999999917,2825,82011.0,0,unrated,-0.0844026536622206,betql,2753.93,0,0.4281,0.4463716814159292,1261
points,-92.27947598253274,1327,1079,player_prop,2173,-851.8889999999991,458,-42264.0,1,unrated,-0.6314919830097634,action,1349.009999999997,846,0.4822,0.5032228360957642,1093
assists,-8.404788418708241,1803,960,player_prop,1830,-158.31999999999945,1796,-15095.0,0,unrated,-0.08585776418399244,betql,1843.9800000000128,27,0.4526,0.47540983606557374,870
pts_reb_ast,-108.86767610269915,1519,766,player_prop,1519,-114.18899999999948,1519,-165370.0,0,unrated,-0.07051663661290013,betql,1619.3199999999722,0,0.4706,0.4957208689927584,753
pts_reb,-68.53731343283582,644,607,player_prop,1167,-574.1830000000001,67,-4592.0,2,unrated,-0.888580581262187,action,646.1800000000002,523,0.4504,0.47896995708154505,558
pts_reb_ast,-97.21951219512195,386,364,player_prop,784,-344.24099999999993,41,-3986.0,0,unrated,-0.8866477784932386,action,388.25000000000006,398,0.5007,0.5357142857142857,420
assists,-8.364864864864865,267,228,player_prop,513,-193.89999999999998,74,-619.0,0,unrated,-0.723669478241397,action,267.94000000000005,246,0.5123,0.5555555555555556,285
pts_ast,-99.28,247,236,player_prop,505,-227.72400000000002,25,-2482.0,0,unrated,-0.9155101712631661,action,248.74000000000007,258,0.4891,0.5326732673267327,269
rebounds,-3.8440366972477062,295,235,player_prop,496,-173.06600000000003,109,-419.0,0,unrated,-0.5824392542235988,action,297.1399999999998,201,0.4822,0.5262096774193549,261
pts_reb,-112.1694214876033,484,246,player_prop,484,-42.824000000000154,484,-54290.0,0,unrated,-0.08258890688883781,oddstrader,518.5199999999996,0,0.4474,0.49173553719008267,238
pts_reb_ast,-113.97094430992736,413,222,player_prop,415,-59.98400000000011,413,-47070.0,0,unrated,-0.13580565555027316,oddstrader,441.6899999999997,2,0.4176,0.4650602409638554,193
reb_ast,-118.13636363636364,356,162,player_prop,356,-11.090000000000002,352,-41584.0,0,unrated,-0.027805636345401674,oddstrader,398.8399999999999,0,0.493,0.5449438202247191,194
,,207,203,total,350,-203.0,0,0.0,4,unrated,-0.9806763285024155,betql,207.0,143,0.3626,0.41329479768786126,143
reb_ast,21.341463414634145,191,175,player_prop,336,-159.35900000000007,41,875.0,0,unrated,-0.8328142147896527,action,191.35000000000002,145,0.4263,0.4791666666666667,161
,3.0,152,143,spread,314,-146.81,3,9.0,4,unrated,-0.9605469772310913,betql,152.84,162,0.4831,0.5387096774193548,167
pts_ast,-112.22295081967214,305,146,player_prop,305,-9.187000000000014,305,-34228.0,0,unrated,-0.02809394208128193,oddstrader,327.01000000000033,0,0.4653,0.521311475409836,159
points,-92.39263803680981,223,132,player_prop,270,-47.132000000000055,163,-15060.0,0,3_star,-0.2047437011294527,betql,230.20000000000022,47,0.4517,0.5111111111111111,138
points,-109.20111731843575,220,121,player_prop,262,-34.972000000000115,179,-19547.0,0,unrated,-0.15017176228100323,oddstrader,232.88000000000054,42,0.4777,0.5381679389312977,141
points,-77.22033898305085,204,104,player_prop,223,-12.193999999999999,177,-13668.0,0,unrated,-0.05772307692307686,covers,211.2500000000002,19,0.4681,0.5336322869955157,119
points,-97.64285714285714,158,110,player_prop,212,-65.65200000000006,84,-8202.0,0,4_star,-0.40611159223060733,betql,161.6600000000002,54,0.4148,0.4811320754716981,102
