atomic_stat,avg_odds,bets_with_units,losses,market_type,n,net_units,odds_count,odds_sum,pushes,rating_bucket,roi,source_id,total_stake,units_missing_count,wilson_lower,win_pct,wins
points,-18995.752593360994,1984,750,player_prop,2056,-20.45000000000015,1928,-36623811.0,44,unrated,-0.008284685283239022,bettingpros_experts,2468.4100000000135,72,0.6059,0.6272365805168986,1262
rebounds,-1273.1103017689907,994,368,player_prop,1036,23.601999999999997,961,-1223459.0,30,unrated,0.019527733651045806,bettingpros_experts,1208.6399999999996,42,0.604,0.6341948310139165,638
points,-108.90104772991852,859,394,player_prop,861,4.834999999999983,859,-93546.0,0,unrated,0.005226857507324048,sportsline,925.0300000000036,2,0.509,0.5423925667828107,467
,-84.3152,636,318,spread,649,-37.69600000000006,625,-52697.0,4,unrated,-0.05626856537250163,bettingpros_experts,669.9300000000007,13,0.4685,0.5069767441860465,327
,-170.31958762886597,592,234,moneyline,609,7.24400000000002,582,-99126.0,5,unrated,0.010296354203681357,bettingpros_experts,703.5500000000002,17,0.5731,0.6125827814569537,370
assists,-224.85177865612647,520,195,player_prop,551,-2.1890000000000036,506,-113775.0,20,unrated,-0.003442040379898109,bettingpros_experts,635.9600000000006,31,0.5909,0.632768361581921,336
threes,-101.19463087248322,460,200,player_prop,481,-2.9110000000000156,447,-45234.0,6,unrated,-0.00560227863205099,bettingpros_experts,519.6100000000001,21,0.5341,0.5789473684210527,275
,-2462.0285035629454,441,205,total,465,5.182999999999972,421,-1036514.0,0,unrated,0.011139050075220206,bettingpros_experts,465.3000000000009,24,0.5137,0.5591397849462365,260
,-110.08055555555555,366,177,spread,372,-12.52600000000005,360,-39629.0,6,unrated,-0.032525771857391465,sportsline,385.1100000000007,6,0.4653,0.5163934426229508,189
pts_reb_ast,-242.96319018404907,335,136,player_prop,346,-22.27100000000001,326,-79206.0,15,unrated,-0.05474545856788187,bettingpros_experts,406.8099999999998,11,0.5354,0.5891238670694864,195
,-77.82295081967213,312,160,spread,320,-18.033000000000012,305,-23736.0,3,unrated,-0.05659897680549886,dimers,318.61000000000035,8,0.4406,0.4952681388012618,157
,-136.61855670103094,292,129,moneyline,293,-18.48000000000002,291,-39756.0,0,unrated,-0.05363673303535153,sportsline,344.5400000000001,1,0.5025,0.5597269624573379,164
,131.1140350877193,237,133,moneyline,242,-3.177000000000005,228,29894.0,0,unrated,-0.014990798848676464,dimers,211.93000000000012,5,0.389,0.45041322314049587,109
pts_reb_ast,-115.06694560669456,239,99,player_prop,239,22.008999999999997,239,-27501.0,0,unrated,0.0853095081204697,sportsline,257.99000000000024,0,0.5224,0.5857740585774058,140
pts_ast,-105.15384615384616,201,95,player_prop,201,-13.990000000000009,195,-20505.0,9,unrated,-0.0641360656489249,bettingpros_experts,218.1300000000003,0,0.4351,0.5052083333333334,97
pts_reb,-206322.55670103093,196,81,player_prop,198,-0.396000000000007,194,-40026576.0,9,unrated,-0.00177276390008061,bettingpros_experts,223.3800000000002,2,0.5001,0.5714285714285714,108
pts_reb,-117.22404371584699,183,96,player_prop,183,-24.169,183,-21452.0,0,unrated,-0.1219732525864243,sportsline,198.1500000000002,0,0.4043,0.47540983606557374,87
rebounds,-88.34319526627219,170,86,player_prop,170,-16.666999999999998,169,-14930.0,0,unrated,-0.09026754766031195,sportsline,184.64,0,0.4199,0.49411764705882355,84
pts_ast,-116.30081300813008,124,50,player_prop,124,14.009999999999991,123,-14305.0,0,unrated,0.10452103849597139,sportsline,134.03999999999988,0,0.5088,0.5967741935483871,74
