atomic_stat,avg_odds,bets_with_units,direction,expert_name,losses,market_type,n,net_units,odds_count,odds_sum,pushes,roi,source_id,total_stake,units_missing_count,wilson_lower,win_pct,wins
,-110.33962264150944,371,,UnitVacuum,170,spread,371,26.873999999999942,371,-40936.0,4,0.029039159751037314,juicereel_unitvacuum,925.4399999999989,0,0.4857,0.5367847411444142,197
,-110.73571428571428,140,,UnitVacuum,65,total,140,-15.191000000000027,140,-15503.0,2,-0.05508376241931983,juicereel_unitvacuum,275.7800000000001,0,0.446,0.5289855072463768,73
,-111.03846153846153,130,HOME,Bruce Marshall,72,spread,130,-19.806000000000004,130,-14435.0,0,-0.1523538461538462,sportsline,130.0,0,0.3635,0.4461538461538462,58
,-109.71717171717172,99,AWAY,Bruce Marshall,53,spread,99,-11.298999999999992,99,-10862.0,0,-0.11413131313131306,sportsline,99.0,0,0.3696,0.46464646464646464,46
,66.20408163265306,98,,UnitVacuum,52,moneyline,98,8.328999999999997,98,6488.0,0,0.06194407258664283,juicereel_unitvacuum,134.46000000000004,0,0.3736,0.46938775510204084,46
,-111.95505617977528,89,HOME,Larry Hartstein,44,spread,89,-5.653000000000002,89,-9964.0,2,-0.0635168539325843,sportsline,89.0,0,0.3917,0.4942528735632184,43
,-110.0,79,,nukethebooks,38,spread,79,-2.3670000000000027,79,-8690.0,0,-0.02674576271186442,juicereel_nukethebooks,88.50000000000006,0,0.4105,0.5189873417721519,41
,-111.1025641025641,78,AWAY,Larry Hartstein,41,spread,78,-7.403000000000001,78,-8666.0,0,-0.09491025641025642,sportsline,78.0,0,0.3674,0.47435897435897434,37
,-151.27777777777777,72,HOME,Matt Severance,36,moneyline,72,-15.597999999999997,72,-10892.0,0,-0.17046994535519122,sportsline,91.5,0,0.3875,0.5,36
,-110.18867924528301,53,AWAY,Zack Cimini,27,spread,53,-4.013000000000001,53,-5840.0,1,-0.11147222222222225,sportsline,36.0,0,0.351,0.4807692307692308,25
,-109.88,50,OVER,Bruce Marshall,25,total,50,-3.2090000000000023,50,-5494.0,1,-0.06418000000000004,sportsline,50.0,0,0.3557,0.4897959183673469,24
,-109.24242424242425,33,UNDER,Bob Konarski,15,total,33,1.6110000000000002,33,-3605.0,0,0.047022767075306476,sportsline,34.260000000000005,0,0.3799,0.5454545454545454,18
,-109.48484848484848,33,UNDER,Bruce Marshall,20,total,33,-8.068,33,-3613.0,0,-0.24448484848484847,sportsline,33.0,0,0.2468,0.3939393939393939,13
,-110.60606060606061,33,OVER,Chip Patterson,14,total,33,3.2429999999999994,33,-3650.0,0,0.09460326721120182,sportsline,34.28000000000001,0,0.4081,0.5757575757575758,19
,-114.23333333333333,30,,nukethebooks,12,total,30,0.5020000000000006,30,-3427.0,0,0.024251207729468635,juicereel_nukethebooks,20.699999999999992,0,0.4232,0.6,18
,-98.68,25,OVER,Dimers AI Model,25,total,25,-25.779999999999994,25,-2467.0,0,-1.0,dimers,25.779999999999994,0,0.0,0.0,0
,-109.88,25,OVER,Eric Cohen,18,total,25,-11.935000000000002,25,-2747.0,0,-0.46675791943684,sportsline,25.570000000000007,0,0.1428,0.28,7
,-109.20833333333333,24,AWAY,Micah Roberts,10,spread,24,2.7220000000000004,24,-2621.0,0,0.11341666666666668,sportsline,24.0,0,0.3883,0.5833333333333334,14
,-110.45454545454545,22,HOME,Zack Cimini,12,spread,22,-1.016,22,-2430.0,0,-0.07525925925925926,sportsline,13.5,0,0.2692,0.45454545454545453,10
,-111.9,20,HOME,Matt Severance,12,spread,20,-3.341,20,-2238.0,0,-0.19091428571428573,sportsline,17.5,0,0.2188,0.4,8
,-111.63157894736842,19,HOME,Bob Konarski,8,spread,19,1.851,19,-2121.0,0,0.09742105263157895,sportsline,19.0,0,0.3628,0.5789473684210527,11
,-109.33333333333333,18,AWAY,Bob Konarski,9,spread,18,-0.8030000000000006,18,-1968.0,0,-0.04461111111111114,sportsline,18.0,0,0.2903,0.5,9
,-109.88235294117646,17,OVER,Micah Roberts,8,total,17,0.08999999999999964,17,-1868.0,0,0.005113636363636343,sportsline,17.6,0,0.3096,0.5294117647058824,9
,-113.125,16,HOME,Thomas Casale,8,spread,16,-0.9580000000000003,16,-1810.0,0,-0.05987500000000002,sportsline,16.0,0,0.28,0.5,8
,-111.33333333333333,15,UNDER,Micah Roberts,4,total,15,6.2059999999999995,15,-1670.0,0,0.39961365099806817,sportsline,15.530000000000001,0,0.4805,0.7333333333333333,11
,-46.23076923076923,13,HOME,Bob Konarski,9,moneyline,13,-5.099,13,-601.0,0,-0.39223076923076927,sportsline,13.0,0,0.1268,0.3076923076923077,4
