avg_odds,bets_with_units,by_market,expert_name,losses,n,net_units,odds_count,odds_sum,pushes,roi,source_id,total_stake,units_missing_count,wilson_lower,win_pct,wins
-82.07377049180327,610,"{""moneyline"": {""losses"": 52, ""n"": 98, ""net_units"": 8.329, ""wilson_lower"": 0.3736, ""win_pct"": 0.46938775510204084, ""wins"": 46}, ""player_prop"": {""losses"": 1, ""n"": 1, ""net_units"": -1.14, ""wilson_lower"": 0.0, ""win_pct"": 0.0, ""wins"": 0}, ""spread"": {""losses"": 170, ""n"": 371, ""net_units"": 26.874, ""wilson_lower"": 0.4857, ""win_pct"": 0.5367847411444142, ""wins"": 197}, ""total"": {""losses"": 65, ""n"": 140, ""net_units"": -15.191, ""wilson_lower"": 0.446, ""win_pct"": 0.5289855072463768, ""wins"": 73}}",UnitVacuum,288,610,18.871999999999957,610,-50065.0,6,0.01411708382579559,juicereel_unitvacuum,1336.8199999999927,0,0.4833,0.5231788079470199,316
-98.17210682492582,337,"{""moneyline"": {""losses"": 50, ""n"": 103, ""net_units"": -2.171, ""wilson_lower"": 0.4193, ""win_pct"": 0.5145631067961165, ""wins"": 53}, ""player_prop"": {""losses"": 0, ""n"": 2, ""net_units"": 1.666, ""wilson_lower"": 0.3424, ""win_pct"": 1.0, ""wins"": 2}, ""spread"": {""losses"": 91, ""n"": 190, ""net_units"": -2.398, ""wilson_lower"": 0.4476, ""win_pct"": 0.5185185185185185, ""wins"": 98}, ""total"": {""losses"": 19, ""n"": 40, ""net_units"": 0.351, ""wilson_lower"": 0.375, ""win_pct"": 0.525, ""wins"": 21}}",Bob Konarski,160,337,-0.7360000000000123,337,-33084.0,1,-0.0020980615735462123,sportsline,350.8000000000005,0,0.4704,0.5238095238095238,176
-110.29523809523809,315,"{""moneyline"": {""losses"": 3, ""n"": 3, ""net_units"": -3.0, ""wilson_lower"": 0.0, ""win_pct"": 0.0, ""wins"": 0}, ""spread"": {""losses"": 125, ""n"": 229, ""net_units"": -31.105, ""wilson_lower"": 0.3909, ""win_pct"": 0.45414847161572053, ""wins"": 104}, ""total"": {""losses"": 45, ""n"": 83, ""net_units"": -11.277, ""wilson_lower"": 0.3481, ""win_pct"": 0.45121951219512196, ""wins"": 37}}",Bruce Marshall,173,315,-45.38200000000008,315,-34743.0,1,-0.14406984126984154,sportsline,315.0,0,0.395,0.44904458598726116,141
-103.09583333333333,240,"{""moneyline"": {""losses"": 7, ""n"": 22, ""net_units"": 6.358, ""wilson_lower"": 0.4732, ""win_pct"": 0.6818181818181818, ""wins"": 15}, ""player_prop"": {""losses"": 2, ""n"": 2, ""net_units"": -2.0, ""wilson_lower"": 0.0, ""win_pct"": 0.0, ""wins"": 0}, ""spread"": {""losses"": 80, ""n"": 182, ""net_units"": 12.127, ""wilson_lower"": 0.4852, ""win_pct"": 0.5580110497237569, ""wins"": 101}, ""total"": {""losses"": 12, ""n"": 32, ""net_units"": 6.296, ""wilson_lower"": 0.4525, ""win_pct"": 0.625, ""wins"": 20}}",Micah Roberts,103,240,20.650999999999957,240,-24743.0,1,0.08281933025867226,sportsline,249.35000000000034,0,0.5057,0.5690376569037657,136
-106.19653179190752,173,"{""moneyline"": {""losses"": 6, ""n"": 7, ""net_units"": -5.225, ""wilson_lower"": 0.0257, ""win_pct"": 0.14285714285714285, ""wins"": 1}, ""player_prop"": {""losses"": 4, ""n"": 13, ""net_units"": 3.962, ""wilson_lower"": 0.4237, ""win_pct"": 0.6923076923076923, ""wins"": 9}, ""spread"": {""losses"": 44, ""n"": 87, ""net_units"": -6.067, ""wilson_lower"": 0.3855, ""win_pct"": 0.4883720930232558, ""wins"": 42}, ""total"": {""losses"": 19, ""n"": 40, ""net_units"": -0.012, ""wilson_lower"": 0.375, ""win_pct"": 0.525, ""wins"": 21}}",Chip Patterson,85,173,-7.0120000000000005,173,-18372.0,1,-0.03905101358877252,sportsline,179.56000000000017,0,0.4318,0.5058139534883721,87
-111.55688622754491,167,"{""spread"": {""losses"": 85, ""n"": 167, ""net_units"": -13.056, ""wilson_lower"": 0.4098, ""win_pct"": 0.48484848484848486, ""wins"": 80}}",Larry Hartstein,85,167,-13.056000000000004,167,-18630.0,2,-0.0781796407185629,sportsline,167.0,0,0.4098,0.48484848484848486,80
-51.94444444444444,144,"{""moneyline"": {""losses"": 14, ""n"": 32, ""net_units"": 20.291, ""wilson_lower"": 0.3933, ""win_pct"": 0.5625, ""wins"": 18}, ""player_prop"": {""losses"": 1, ""n"": 3, ""net_units"": 0.283, ""wilson_lower"": 0.2077, ""win_pct"": 0.6666666666666666, ""wins"": 2}, ""spread"": {""losses"": 38, ""n"": 79, ""net_units"": -2.367, ""wilson_lower"": 0.4105, ""win_pct"": 0.5189873417721519, ""wins"": 41}, ""total"": {""losses"": 12, ""n"": 30, ""net_units"": 0.502, ""wilson_lower"": 0.4232, ""win_pct"": 0.6, ""wins"": 18}}",nukethebooks,65,144,18.70900000000001,144,-7480.0,0,0.12887648963284415,juicereel_nukethebooks,145.1700000000002,0,0.4671,0.5486111111111112,79
-118.39516129032258,124,"{""moneyline"": {""losses"": 13, ""n"": 36, ""net_units"": 5.443, ""wilson_lower"": 0.4757, ""win_pct"": 0.6388888888888888, ""wins"": 23}, ""player_prop"": {""losses"": 1, ""n"": 2, ""net_units"": -0.083, ""wilson_lower"": 0.0945, ""win_pct"": 0.5, ""wins"": 1}, ""spread"": {""losses"": 34, ""n"": 80, ""net_units"": 7.892, ""wilson_lower"": 0.4657, ""win_pct"": 0.575, ""wins"": 46}, ""total"": {""losses"": 0, ""n"": 1, ""net_units"": 0.93, ""wilson_lower"": 0.2065, ""win_pct"": 1.0, ""wins"": 1}}",Thomas Casale,50,124,14.784999999999998,124,-14681.0,0,0.11451475486019676,sportsline,129.10999999999996,0,0.5088,0.5967741935483871,74
-140.92929292929293,99,"{""moneyline"": {""losses"": 37, ""n"": 73, ""net_units"": -16.598, ""wilson_lower"": 0.3817, ""win_pct"": 0.4931506849315068, ""wins"": 36}, ""spread"": {""losses"": 12, ""n"": 20, ""net_units"": -3.341, ""wilson_lower"": 0.2188, ""win_pct"": 0.4, ""wins"": 8}, ""total"": {""losses"": 2, ""n"": 6, ""net_units"": 1.134, ""wilson_lower"": 0.3, ""win_pct"": 0.6666666666666666, ""wins"": 4}}",Matt Severance,51,99,-18.804999999999993,99,-13952.0,0,-0.16281385281385274,sportsline,115.5,0,0.3888,0.48484848484848486,48
-112.20238095238095,84,"{""moneyline"": {""losses"": 5, ""n"": 8, ""net_units"": -1.749, ""wilson_lower"": 0.1368, ""win_pct"": 0.375, ""wins"": 3}, ""player_prop"": {""losses"": 1, ""n"": 1, ""net_units"": -0.5, ""wilson_lower"": 0.0, ""win_pct"": 0.0, ""wins"": 0}, ""spread"": {""losses"": 39, ""n"": 75, ""net_units"": -5.029, ""wilson_lower"": 0.3634, ""win_pct"": 0.47297297297297297, ""wins"": 35}}",Zack Cimini,45,84,-7.278000000000004,84,-9425.0,1,-0.12996428571428578,sportsline,56.0,0,0.3549,0.4578313253012048,38
