atomic_stat,avg_odds,bets_with_units,direction,losses,market_type,n,net_units,odds_count,odds_sum,pushes,rating_bucket,roi,source_id,total_stake,units_missing_count,wilson_lower,win_pct,wins
,-110.33962264150944,371,,170,spread,371,26.873999999999942,371,-40936.0,4,unrated,0.029039159751037314,juicereel_unitvacuum,925.4399999999989,0,0.4857,0.5367847411444142,197
,-111.35777126099707,341,HOME,180,spread,341,-33.78000000000002,341,-37973.0,2,unrated,-0.10236363636363643,sportsline,330.0,0,0.4165,0.4690265486725664,159
,-109.41042345276873,307,AWAY,155,spread,307,-17.30000000000005,307,-33589.0,1,unrated,-0.05975820379965475,sportsline,289.5,0,0.4379,0.4934640522875817,151
,-110.73571428571428,140,,65,total,140,-15.191000000000027,140,-15503.0,2,unrated,-0.05508376241931983,juicereel_unitvacuum,275.7800000000001,0,0.446,0.5289855072463768,73
,-110.05072463768116,138,OVER,71,total,138,-11.384000000000002,138,-15187.0,1,unrated,-0.08088099467140321,sportsline,140.75,0,0.3997,0.48175182481751827,66
,-109.50450450450451,111,UNDER,55,total,111,-3.893,111,-12155.0,0,unrated,-0.03449406344143188,sportsline,112.85999999999993,0,0.4129,0.5045045045045045,56
,-125.96153846153847,104,HOME,56,moneyline,104,-25.381999999999998,104,-13100.0,0,unrated,-0.20804918032786884,sportsline,122.0,0,0.3688,0.46153846153846156,48
,66.20408163265306,98,,52,moneyline,98,8.328999999999997,98,6488.0,0,unrated,0.06194407258664283,juicereel_unitvacuum,134.46000000000004,0,0.3736,0.46938775510204084,46
,-110.0,79,,38,spread,79,-2.3670000000000027,79,-8690.0,0,unrated,-0.02674576271186442,juicereel_nukethebooks,88.50000000000006,0,0.4105,0.5189873417721519,41
,-114.23333333333333,30,,12,total,30,0.5020000000000006,30,-3427.0,0,unrated,0.024251207729468635,juicereel_nukethebooks,20.699999999999992,0,0.4232,0.6,18
,-70.60714285714286,28,AWAY,13,moneyline,28,1.7960000000000007,28,-1977.0,0,unrated,0.0677735849056604,sportsline,26.5,0,0.3581,0.5357142857142857,15
,-98.68,25,OVER,25,total,25,-25.779999999999994,25,-2467.0,0,unrated,-1.0,dimers,25.779999999999994,0,0.0,0.0,0
,-115.47368421052632,19,OVER,10,team_total,19,-2.337,19,-2194.0,0,unrated,-0.11484029484029486,sportsline,20.349999999999998,0,0.2733,0.47368421052631576,9
,-89.33333333333333,12,UNDER,0,total,12,11.633999999999999,12,-1072.0,0,unrated,0.9435523114355231,dimers,12.329999999999998,0,0.7575,1.0,12
,-112.5,12,FLA,5,spread,12,1.2989999999999997,12,-1350.0,0,unrated,0.10220298977183316,sportsline,12.710000000000003,0,0.3195,0.5833333333333334,7
,-110.81818181818181,11,MSU,2,spread,11,6.446999999999999,11,-1219.0,0,unrated,0.5567357512953366,sportsline,11.580000000000002,0,0.523,0.8181818181818182,9
,-110.8,10,MIZZ,3,spread,10,3.495,10,-1108.0,0,unrated,0.3319088319088319,sportsline,10.53,0,0.3968,0.7,7
,-111.8,10,HOU,3,spread,10,2.4939999999999998,10,-1118.0,1,unrated,0.23595080416272463,sportsline,10.570000000000002,0,0.3542,0.6666666666666666,6
points,-115.375,8,OVER,6,player_prop,8,-3.29,8,-923.0,0,unrated,-0.47000000000000003,sportsline,7.0,0,0.0715,0.25,2
,-110.71428571428571,7,ALA,4,spread,7,-1.3600000000000003,7,-775.0,0,unrated,-0.18453188602442339,sportsline,7.37,0,0.1582,0.42857142857142855,3
,-110.85714285714286,7,ISU,2,spread,7,2.65,7,-776.0,0,unrated,0.3595658073270014,sportsline,7.369999999999999,0,0.3589,0.7142857142857143,5
,-111.42857142857143,7,MICH,3,spread,7,0.6259999999999997,7,-780.0,0,unrated,0.08482384823848234,sportsline,7.38,0,0.2505,0.5714285714285714,4
,-116.85714285714286,7,UNDER,3,team_total,7,0.4690000000000001,7,-818.0,0,unrated,0.06228419654714476,sportsline,7.53,0,0.2505,0.5714285714285714,4
,-110.66666666666667,6,ARIZ,1,spread,6,3.707,6,-664.0,0,unrated,0.5865506329113923,sportsline,6.32,0,0.4365,0.8333333333333334,5
,-111.5,6,AUB,5,spread,6,-4.332000000000001,6,-669.0,0,unrated,-0.6843601895734598,sportsline,6.33,0,0.0301,0.16666666666666666,1
,-111.83333333333333,6,BYU,3,spread,6,-0.3400000000000004,6,-671.0,0,unrated,-0.053543307086614235,sportsline,6.3500000000000005,0,0.1876,0.5,3
,-110.85714285714286,7,PUR,4,spread,7,-2.3000000000000003,7,-776.0,1,unrated,-0.3129251700680273,sportsline,7.35,0,0.0968,0.3333333333333333,2
,-111.0,6,STMY,3,spread,6,-0.31000000000000016,6,-666.0,0,unrated,-0.049050632911392424,sportsline,6.320000000000001,0,0.1876,0.5,3
,-112.33333333333333,6,TAMU,5,spread,6,-4.347,6,-674.0,0,unrated,-0.6845669291338584,sportsline,6.35,0,0.0301,0.16666666666666666,1
,-110.0,6,UNM,4,spread,6,-2.2800000000000002,6,-660.0,0,unrated,-0.3624801271860096,sportsline,6.29,0,0.0968,0.3333333333333333,2
,-10.4,5,,2,total,5,2.191,5,-52.0,0,unrated,0.183500837520938,juicereel_sxebets,11.940000000000001,0,0.2307,0.6,3
,21.6,5,NEB,4,moneyline,5,-2.9630000000000005,5,108.0,0,unrated,-0.5973790322580647,sportsline,4.96,0,0.0362,0.2,1
,-112.0,5,HOME,1,player_prop,5,2.187,5,-560.0,0,unrated,0.486,sportsline,4.5,0,0.3755,0.8,4
,-111.4,5,ARK,1,spread,5,2.7409999999999997,5,-557.0,0,unrated,0.5191287878787879,sportsline,5.279999999999999,0,0.3755,0.8,4
,-111.2,5,CLEM,1,spread,5,2.743,5,-556.0,0,unrated,0.5214828897338402,sportsline,5.260000000000001,0,0.3755,0.8,4
,-110.6,5,MD,3,spread,5,-1.2400000000000002,5,-553.0,0,unrated,-0.23619047619047623,sportsline,5.25,0,0.1176,0.4,2
,-111.0,5,MIO,3,spread,5,-1.2650000000000001,5,-555.0,0,unrated,-0.24003795066413666,sportsline,5.27,0,0.1176,0.4,2
,-111.2,5,MISS,1,spread,5,2.7399999999999998,5,-556.0,0,unrated,0.5199240986717267,sportsline,5.27,0,0.3755,0.8,4
,-112.8,5,NAVY,1,spread,5,2.703,5,-564.0,0,unrated,0.51,sportsline,5.3,0,0.3755,0.8,4
,-110.0,5,NEB,3,spread,5,-1.2400000000000002,5,-550.0,0,unrated,-0.23619047619047623,sportsline,5.25,0,0.1176,0.4,2
,-109.4,5,STJOS,2,spread,5,0.7719999999999998,5,-547.0,0,unrated,0.1476099426386233,sportsline,5.23,0,0.2307,0.6,3
,-113.4,5,TENN,3,spread,5,-1.3070000000000002,5,-567.0,0,unrated,-0.2466037735849057,sportsline,5.3,0,0.1176,0.4,2
,-111.6,5,TEX,4,spread,5,-3.2800000000000002,5,-558.0,0,unrated,-0.6212121212121212,sportsline,5.28,0,0.0362,0.2,1
,164.0,4,UCLA,1,moneyline,4,3.234,4,656.0,0,unrated,0.796551724137931,juicereel_nukethebooks,4.0600000000000005,0,0.3006,0.75,3
,-119.5,4,LOU,3,moneyline,4,-2.341,4,-478.0,0,unrated,-0.5381609195402299,sportsline,4.35,0,0.0456,0.25,1
,-51.25,4,OSU,4,moneyline,4,-4.03,4,-205.0,0,unrated,-1.0,sportsline,4.03,0,0.0,0.0,0
,-116.5,4,XAV,0,moneyline,4,3.697,4,-466.0,0,unrated,0.8597674418604649,sportsline,4.300000000000001,0,0.5101,1.0,4
