sport,pattern_id,sources_combo,market_type,direction,stat_type,n,wins,losses,pushes,win_rate,wilson_lower,units,roi,avg_odds,roi_eligible_count,confidence_bucket,recommendation
MLB,MLB|moneyline,action|covers,moneyline,,,3831,1931,1900,0,0.504,0.4882,-1460.61,-0.5923,-88.2,14,strong,
MLB,MLB|player_prop,bettingpros_props,player_prop,UNDER,,5,4,1,0,0.8,0.3755,2.52,0.5046,-84.6,0,insufficient_sample,
MLB,MLB|spread,action|covers,spread,team,,1066,503,541,22,0.4818,0.4516,-460.51,-0.6946,-80.8,5,strong,
MLB,MLB|total,action,total,over,,2417,1192,1138,87,0.5116,0.4913,-1062.18,-0.8121,-77.4,12,strong,
NBA,NBA|1st_half_spread,sportsline,1st_half_spread,LAC,,1,0,1,0,0.0,0.0,-1.04,-1.04,-108.0,0,insufficient_sample,
NBA,NBA|moneyline,action,moneyline,,,2380,1205,1169,6,0.5076,0.4875,-453.71,-0.2277,-42.8,452,strong,
NBA,NBA|player_prop,action|betql,player_prop,OVER,,34486,17727,16573,186,0.5168,0.5115,-4277.5,-0.1383,-2896.2,20747,strong,
NBA,NBA|spread,action|betql,spread,ORL,,5443,2776,2615,52,0.5149,0.5016,-1290.55,-0.3148,-90.6,1522,strong,
NBA,NBA|team_total,sportsline,team_total,UNDER,,20,13,7,0,0.65,0.4329,5.16,0.2578,-88.7,0,insufficient_sample,
NBA,NBA|total,sportscapping,total,UNDER,,3296,1656,1621,19,0.5053,0.4882,-1037.57,-0.4569,-914.3,659,strong,
