sport,pattern_id,sources_combo,market_type,direction,stat_type,n,wins,losses,pushes,win_rate,wilson_lower,units,roi,avg_odds,roi_eligible_count,confidence_bucket,recommendation
NBA,NBA|betql|player_prop,betql,player_prop,OVER,,16088,7949,8130,9,0.4944,0.4866,-1024.48,-0.0647,-51.1,15513,strong,needs_more_sample
NBA,NBA|action|player_prop,action,player_prop,OVER,,5673,2864,2800,9,0.5056,0.4926,-2543.17,-0.8238,-62.0,504,strong,needs_more_sample
NBA,NBA|bettingpros_experts|player_prop,bettingpros_experts,player_prop,UNDER,,5066,3004,1924,138,0.6096,0.5959,-67.24,-0.0138,-16607.1,33,strong,keep
MLB,MLB|action|moneyline,action,moneyline,team,,2735,1368,1367,0,0.5002,0.4815,-1363.19,-0.995,107.5,6,strong,needs_more_sample
MLB,MLB|action|total,action,total,over,,2151,1068,1008,75,0.5145,0.4929,-1006.14,-0.9273,-57.0,4,strong,needs_more_sample
NBA,NBA|oddstrader|player_prop,oddstrader,player_prop,OVER,,1960,1013,947,0,0.5168,0.4947,-157.18,-0.0832,-109.5,1820,strong,needs_more_sample
NBA,NBA|sportsline|player_prop,sportsline,player_prop,OVER,,1900,1016,884,0,0.5347,0.5123,-32.64,-0.0173,-105.6,114,strong,promote_candidate
NBA,NBA|action|spread,action,spread,,,1375,728,641,6,0.5318,0.5053,-326.79,-0.3314,-102.8,635,strong,promote_candidate
MLB,MLB|sportsline|moneyline,sportsline,moneyline,Pittsburgh,,1087,562,525,0,0.517,0.4873,-89.54,-0.0824,-89.0,0,strong,needs_more_sample
NBA,NBA|action|total,action,total,UNDER,,1059,576,479,4,0.546,0.5158,-251.94,-0.3456,-102.2,456,strong,promote_candidate
NBA,NBA|action|betql|player_prop,action|betql,player_prop,OVER,,961,494,452,15,0.5222,0.4903,-207.58,-0.2817,-80.8,532,strong,needs_more_sample
MLB,MLB|action|spread,action,spread,team,,887,403,467,17,0.4632,0.4303,-466.34,-0.9635,108.3,3,strong,investigate_data_quality
NBA,NBA|betql|total,betql,total,OVER,,803,357,436,10,0.4502,0.4159,-436.0,-0.9776,,0,strong,demote_candidate
NBA,NBA|covers|player_prop,covers,player_prop,OVER,,578,287,291,0,0.4965,0.4559,-61.23,-0.1132,-50.0,498,strong,investigate_data_quality
