sport,pattern_id,sources_combo,market_type,direction,stat_type,n,wins,losses,pushes,win_rate,wilson_lower,units,roi,avg_odds,roi_eligible_count,confidence_bucket,recommendation
NBA,NBA|action|dimers|sportsline|spread,action|dimers|sportsline,spread,,,76,54,22,0,0.7105,0.6004,-3.1,-0.0738,-101.2,18,actionable,keep
NBA,NBA|bettingpros_experts|player_prop,bettingpros_experts,player_prop,UNDER,,5066,3004,1924,138,0.6096,0.5959,-67.24,-0.0138,-16607.1,33,strong,keep
NBA,NBA|bettingpros_experts|moneyline,bettingpros_experts,moneyline,,,523,321,197,5,0.6197,0.5771,6.76,0.0131,-194.1,0,strong,keep
NBA,NBA|bettingpros_experts|sportsline|player_prop,bettingpros_experts|sportsline,player_prop,OVER,,76,49,27,0,0.6447,0.5326,5.57,0.0774,-195.2,6,actionable,keep
NBA,NBA|bettingpros_experts|total,bettingpros_experts,total,UNDER,,383,220,163,0,0.5744,0.5244,16.8,0.0465,-87.0,1,strong,keep
NBA,NBA|action|total,action,total,UNDER,,1059,576,479,4,0.546,0.5158,-251.94,-0.3456,-102.2,456,strong,promote_candidate
NBA,NBA|sportsline|player_prop,sportsline,player_prop,OVER,,1900,1016,884,0,0.5347,0.5123,-32.64,-0.0173,-105.6,114,strong,promote_candidate
NBA,NBA|sportsline|moneyline,sportsline,moneyline,AWAY,,232,133,99,0,0.5733,0.5089,-11.66,-0.0512,-138.7,1,strong,promote_candidate
NBA,NBA|action|spread,action,spread,,,1375,728,641,6,0.5318,0.5053,-326.79,-0.3314,-102.8,635,strong,promote_candidate
MLB,MLB|sportsline|spread,sportsline,spread,N.Y. Yankees,,177,99,73,5,0.5756,0.5009,6.03,0.0341,-83.5,0,strong,promote_candidate
NBA,NBA|juicereel_nukethebooks|player_prop,juicereel_nukethebooks,player_prop,OVER,,126,74,52,0,0.5873,0.5,-23.08,-0.2715,-94.3,37,actionable,needs_more_sample
