sport,pattern_id,sources_combo,market_type,direction,stat_type,n,wins,losses,pushes,win_rate,wilson_lower,units,roi,avg_odds,roi_eligible_count,confidence_bucket,recommendation
MLB,MLB|B (3 sources)|moneyline,B (3 sources),moneyline,team,,2,0,2,0,0.0,0.0,-2.1,-1.05,-110.0,2,insufficient_sample,
MLB,MLB|C (2 sources)|moneyline,C (2 sources),moneyline,,,4,0,4,0,0.0,0.0,-4.43,-1.1075,-133.7,3,insufficient_sample,
MLB,MLB|C (2 sources)|spread,C (2 sources),spread,team,,2,1,1,0,0.5,0.0945,-0.2,-0.0985,-122.5,2,insufficient_sample,
MLB,MLB|C (2 sources)|total,C (2 sources),total,under,,192,89,93,10,0.489,0.4174,-50.12,-0.3341,-79.4,3,strong,
MLB,MLB|D (1 source)|moneyline,D (1 source),moneyline,team,,3825,1931,1894,0,0.5048,0.489,-1454.08,-0.5911,-88.1,9,strong,
MLB,MLB|D (1 source)|player_prop,D (1 source),player_prop,UNDER,,5,4,1,0,0.8,0.3755,2.52,0.5046,-84.6,0,insufficient_sample,
MLB,MLB|D (1 source)|spread,D (1 source),spread,team,,1064,502,540,22,0.4818,0.4515,-460.31,-0.6964,-80.3,3,strong,
MLB,MLB|D (1 source)|total,D (1 source),total,over,,2225,1103,1045,77,0.5135,0.4924,-1012.06,-0.874,-74.8,9,strong,
NBA,NBA|A (4+ sources)|moneyline,A (4+ sources),moneyline,IND,,28,8,20,0,0.2857,0.1525,-14.76,-0.5904,21.3,12,watchlist,
NBA,NBA|A (4+ sources)|player_prop,A (4+ sources),player_prop,OVER,,3,1,1,1,0.5,0.0945,0.05,0.017,43.7,3,insufficient_sample,
NBA,NBA|A (4+ sources)|spread,A (4+ sources),spread,,,194,77,115,2,0.401,0.3343,-71.46,-0.4254,-68.7,84,strong,
NBA,NBA|A (4+ sources)|total,A (4+ sources),total,UNDER,,22,15,7,0,0.6818,0.4732,-2.23,-0.1717,-184.6,6,insufficient_sample,
NBA,NBA|B (3 sources)|moneyline,B (3 sources),moneyline,,,101,37,64,0,0.3663,0.2789,-46.25,-0.5506,-11.4,26,actionable,
NBA,NBA|B (3 sources)|player_prop,B (3 sources),player_prop,UNDER,,91,42,48,1,0.4667,0.3671,-8.17,-0.0951,-42.0,70,actionable,
NBA,NBA|B (3 sources)|spread,B (3 sources),spread,,,474,260,210,4,0.5532,0.508,-84.15,-0.2411,-80.5,175,strong,
NBA,NBA|B (3 sources)|total,B (3 sources),total,UNDER,,119,49,69,1,0.4153,0.3304,-61.66,-0.7805,-75.9,19,actionable,
NBA,NBA|C (2 sources)|moneyline,C (2 sources),moneyline,,,411,218,193,0,0.5304,0.4821,-73.42,-0.2259,-34.4,101,strong,
NBA,NBA|C (2 sources)|player_prop,C (2 sources),player_prop,OVER,,1838,966,848,24,0.5325,0.5095,-251.93,-0.1663,-61.9,1130,strong,
NBA,NBA|C (2 sources)|spread,C (2 sources),spread,ORL,,1563,771,772,20,0.4997,0.4748,-398.87,-0.3349,-90.2,498,strong,
NBA,NBA|C (2 sources)|total,C (2 sources),total,UNDER,,538,257,279,2,0.4795,0.4375,-201.56,-0.5522,-5704.9,97,strong,
NBA,NBA|D (1 source)|1st_half_spread,D (1 source),1st_half_spread,LAC,,1,0,1,0,0.0,0.0,-1.04,-1.04,-108.0,0,insufficient_sample,
NBA,NBA|D (1 source)|moneyline,D (1 source),moneyline,,,1840,942,892,6,0.5136,0.4908,-319.27,-0.2048,-47.0,313,strong,
NBA,NBA|D (1 source)|player_prop,D (1 source),player_prop,OVER,,32554,16718,15676,160,0.5161,0.5106,-4017.45,-0.137,-3037.4,19544,strong,
NBA,NBA|D (1 source)|spread,D (1 source),spread,,,3212,1668,1518,26,0.5235,0.5062,-736.07,-0.3079,-94.0,765,strong,
NBA,NBA|D (1 source)|team_total,D (1 source),team_total,UNDER,,20,13,7,0,0.65,0.4329,5.16,0.2578,-88.7,0,insufficient_sample,
NBA,NBA|D (1 source)|total,D (1 source),total,UNDER,,2617,1335,1266,16,0.5133,0.494,-772.12,-0.4256,-91.7,537,strong,
