sport,pattern_id,sources_combo,market_type,direction,stat_type,n,wins,losses,pushes,win_rate,wilson_lower,units,roi,avg_odds,roi_eligible_count,confidence_bucket,recommendation
NBA,NBA|bettingpros_props|oddstrader|player_prop,bettingpros_props|oddstrader,player_prop,OVER,,30,3,27,0,0.1,0.0346,-25.66,-0.8552,-79.2,30,watchlist,demote_candidate
NBA,NBA|action|bettingpros_experts|dimers|spread,action|bettingpros_experts|dimers,spread,team,,30,8,22,0,0.2667,0.1418,-19.24,-0.7127,-105.3,9,watchlist,demote_candidate
NBA,NBA|action|dimers|sportsline|moneyline,action|dimers|sportsline,moneyline,,,38,10,28,0,0.2632,0.1497,-25.66,-0.7775,-129.8,7,watchlist,demote_candidate
NBA,NBA|action|dimers|oddstrader|spread,action|dimers|oddstrader,spread,,,49,17,32,0,0.3469,0.2292,-25.38,-0.6508,-71.8,13,watchlist,demote_candidate
NBA,NBA|betql|dimers|player_prop,betql|dimers,player_prop,OVER,,32,12,20,0,0.375,0.2293,-7.51,-0.2348,40.1,32,watchlist,demote_candidate
NBA,NBA|bettingpros_experts|oddstrader|total,bettingpros_experts|oddstrader,total,under,,31,12,19,0,0.3871,0.2373,-8.38,-0.2793,-66.7,13,watchlist,demote_candidate
NBA,NBA|action|juicereel_nukethebooks|player_prop,action|juicereel_nukethebooks,player_prop,UNDER,,31,12,19,0,0.3871,0.2373,-16.1,-0.7317,-93.9,5,watchlist,demote_candidate
NBA,NBA|covers|oddstrader|player_prop,covers|oddstrader,player_prop,UNDER,,30,14,16,0,0.4667,0.3023,-7.91,-0.3166,-46.1,22,watchlist,demote_candidate
NBA,NBA|action|betql|total,action|betql,total,UNDER,,165,63,102,0,0.3818,0.3112,-92.23,-0.8162,-110.8,24,strong,demote_candidate
NBA,NBA|dimers|player_prop,dimers,player_prop,OVER,,422,158,264,0,0.3744,0.3296,-32.47,-0.0769,140.2,422,strong,demote_candidate
NBA,NBA|bettingpros_experts|oddstrader|spread,bettingpros_experts|oddstrader,spread,CHA,,34,17,17,0,0.5,0.3407,-3.2,-0.0971,-86.8,4,watchlist,demote_candidate
NBA,NBA|dimers|moneyline,dimers,moneyline,team,,248,100,148,0,0.4032,0.3441,-13.22,-0.054,190.9,56,strong,demote_candidate
NBA,NBA|dimers|total,dimers,total,UNDER,,101,46,55,0,0.4554,0.3617,-7.23,-0.0723,-41.3,16,actionable,demote_candidate
NBA,NBA|action|dimers|total,action|dimers,total,UNDER,,101,47,54,0,0.4653,0.3711,-35.62,-0.4879,-73.7,24,actionable,demote_candidate
NBA,NBA|action|bettingpros_experts|spread,action|bettingpros_experts,spread,,,90,42,45,3,0.4828,0.3807,-18.15,-0.2298,-116.2,25,actionable,demote_candidate
MLB,MLB|sportsline|total,sportsline,total,OVER,,68,33,33,2,0.5,0.3827,-2.81,-0.0414,-76.6,0,watchlist,demote_candidate
NBA,NBA|action|dimers|moneyline,action|dimers,moneyline,,,139,65,74,0,0.4676,0.3867,-41.68,-0.3789,-58.4,40,actionable,demote_candidate
NBA,NBA|action|betql|spread,action|betql,spread,ORL,,189,87,102,0,0.4603,0.3908,-65.8,-0.4874,-90.0,66,strong,demote_candidate
NBA,NBA|action|oddstrader|spread,action|oddstrader,spread,,,61,32,29,0,0.5246,0.4016,-18.85,-0.4713,-109.4,19,watchlist,demote_candidate
MLB,MLB|action|sportsline|total,action|sportsline,total,UNDER,,188,85,93,10,0.4775,0.4054,-52.98,-0.3604,-80.5,0,strong,demote_candidate
NBA,NBA|action|sportsline|moneyline,action|sportsline,moneyline,,,58,31,27,0,0.5345,0.408,-12.55,-0.2789,-89.9,14,watchlist,demote_candidate
NBA,NBA|oddstrader|moneyline,oddstrader,moneyline,IND,,309,144,165,0,0.466,0.4112,-166.83,-1.005,-77.5,0,strong,demote_candidate
NBA,NBA|betql|juicereel_sxebets|player_prop,betql|juicereel_sxebets,player_prop,OVER,,45,25,20,0,0.5556,0.4118,-5.58,-0.1801,-1.6,16,watchlist,demote_candidate
NBA,NBA|betql|total,betql,total,OVER,,803,357,436,10,0.4502,0.4159,-436.0,-0.9776,,0,strong,demote_candidate
NBA,NBA|action|bettingpros_experts|total,action|bettingpros_experts,total,over,,61,33,28,0,0.541,0.4172,-10.83,-0.2355,-82.1,11,watchlist,demote_candidate
