sport,date,event_key,matchup_key,market_type,selection,line,sources,source_count,signal_id
MLB,2026-04-27,MLB:20260427:CHC@SDP:2240,,moneyline,CHC,,action|sportsline,2,f70dbdbe938a83cabd147050d275bd7c210d0fb687c39a4a8a9017d48c3bae0e
MLB,2026-04-27,MLB:20260427:BOS@TOR:2007,,total,OVER,0.5,covers|oddstrader,2,83f0c67c930c7cd3607247020cd32b69c3646e0999e90ff47d68091c3f5758f9
MLB,2026-04-27,MLB:20260427:LAA@CHW:2040,,total,UNDER,9.0,action|oddstrader,2,4ee94a0d86b118f41a6cc59ddacda60b77df794e63f3e4e752eab9fadd6c3d87
MLB,2026-04-27,MLB:20260427:MIA@LAD:2310,,spread,LAD,-1.5,action|covers,2,88ef4610f845550c21adf37e87c509220d841fb46b03f8f27f04db89e9d4a64f
MLB,2026-04-27,MLB:2026:04:27:TOR@BOS,MLB:2026:04:27:BOS-TOR,total,total_conflict,,action|covers|oddstrader,3,ce8db5a54c4e0baafab5cdbb73069cf2cf7e5f0417c289023c74b982cfa2ca2f
MLB,2026-04-27,MLB:2026:04:27:SDP@CHC,MLB:2026:04:27:CHC-SDP,moneyline,moneyline_conflict,,action|covers|sportsline,3,ab79ddeab4acbea9078b7a2fce8210efd83586e2a469963371bec8ea75c7cf17
MLB,2026-04-27,MLB:2026:04:27:SDP@CHC,MLB:2026:04:27:CHC-SDP,total,total_conflict,,action|covers,2,ac140eb597fc0731d7a1a300a02ecedd48fde3665157a0fb5da92973797d7ebc
MLB,2026-04-27,MLB:2026:04:27:STL@PIT,MLB:2026:04:27:PIT-STL,moneyline,moneyline_conflict,,action|covers,2,03608289e8269f7f2d33d33d2aea8fa584df4652ed41619bbc0c0ba0b3ecf78a
MLB,2026-04-27,MLB:2026:04:27:SEA@MIN,MLB:2026:04:27:MIN-SEA,moneyline,moneyline_conflict,,action|covers,2,00922720e71be7a8b311a3debe2b5cac685ed0261c871dcfbff6d50818092397
MLB,2026-04-27,MLB:2026:04:27:TEX@NYY,MLB:2026:04:27:NYY-TEX,spread,spread_conflict,,action|covers,2,6e8fe346ee1ef3cc36491489146bd238b364386f708766714f2f9ccec6d61afb
MLB,2026-04-27,MLB:2026:04:27:TEX@NYY,MLB:2026:04:27:NYY-TEX,moneyline,moneyline_conflict,,action|covers,2,9894ae4803a68bf4c0a24302fbfe2b1e53e9f0bc550005f316904429dd81c9a6
MLB,2026-04-27,MLB:2026:04:27:TBR@CLE,MLB:2026:04:27:CLE-TBR,total,total_conflict,,action|oddstrader,2,35bdaa2604fd2ac426c047d8ab1d7a38c557d4013ab86255beeb90cbb5fce094
