sport,severity,issue_type,file,source,date,event_key,matchup_key,market_type,selection,line,player_key,pick_id,details,count
MLB,WARN,missing player_key on prop,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:MIA@LAD,MLB:2026:04:27:LAD-MIA,player_prop,,,,ad28f391683af60fa94797ee9a84b9856dc83687d6c8a3fff92436310bf2b6a0,,1
MLB,WARN,null selection,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:MIA@LAD,MLB:2026:04:27:LAD-MIA,player_prop,,,,ad28f391683af60fa94797ee9a84b9856dc83687d6c8a3fff92436310bf2b6a0,,1
MLB,WARN,null line where line is required,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:MIA@LAD,MLB:2026:04:27:LAD-MIA,player_prop,,,,ad28f391683af60fa94797ee9a84b9856dc83687d6c8a3fff92436310bf2b6a0,market_type=player_prop,1
MLB,WARN,missing player_key on prop,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:MIA@LAD,MLB:2026:04:27:LAD-MIA,player_prop,,,,1fd150afb55668313ebe2ce66e47efa171d6426205e819a17ed8b76d58d9e65e,,1
MLB,WARN,null selection,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:MIA@LAD,MLB:2026:04:27:LAD-MIA,player_prop,,,,1fd150afb55668313ebe2ce66e47efa171d6426205e819a17ed8b76d58d9e65e,,1
MLB,WARN,null line where line is required,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:MIA@LAD,MLB:2026:04:27:LAD-MIA,player_prop,,,,1fd150afb55668313ebe2ce66e47efa171d6426205e819a17ed8b76d58d9e65e,market_type=player_prop,1
MLB,WARN,missing player_key on prop,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:MIA@LAD,MLB:2026:04:27:LAD-MIA,player_prop,,,,b62a52d2f2db9f5be039357bc77586dc542c3ce078e4d7e264febe7a0bb287fe,,1
MLB,WARN,null selection,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:MIA@LAD,MLB:2026:04:27:LAD-MIA,player_prop,,,,b62a52d2f2db9f5be039357bc77586dc542c3ce078e4d7e264febe7a0bb287fe,,1
MLB,WARN,null line where line is required,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:MIA@LAD,MLB:2026:04:27:LAD-MIA,player_prop,,,,b62a52d2f2db9f5be039357bc77586dc542c3ce078e4d7e264febe7a0bb287fe,market_type=player_prop,1
MLB,WARN,missing player_key on prop,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:MIA@LAD,MLB:2026:04:27:LAD-MIA,player_prop,,,,02fa3c60d6997062f85a9a7eb12bf08b492bd3c2d79c6e58ac4ba54d1fe00848,,1
MLB,WARN,null selection,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:MIA@LAD,MLB:2026:04:27:LAD-MIA,player_prop,,,,02fa3c60d6997062f85a9a7eb12bf08b492bd3c2d79c6e58ac4ba54d1fe00848,,1
MLB,WARN,null line where line is required,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:MIA@LAD,MLB:2026:04:27:LAD-MIA,player_prop,,,,02fa3c60d6997062f85a9a7eb12bf08b492bd3c2d79c6e58ac4ba54d1fe00848,market_type=player_prop,1
MLB,WARN,missing player_key on prop,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:CHC@SDP,MLB:2026:04:27:CHC-SDP,player_prop,,,,de665d45a5bc3c78fba4d18120f8f84474789fea9e20273ebaab0ced2693b4b6,,1
MLB,WARN,null selection,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:CHC@SDP,MLB:2026:04:27:CHC-SDP,player_prop,,,,de665d45a5bc3c78fba4d18120f8f84474789fea9e20273ebaab0ced2693b4b6,,1
MLB,WARN,null line where line is required,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:CHC@SDP,MLB:2026:04:27:CHC-SDP,player_prop,,,,de665d45a5bc3c78fba4d18120f8f84474789fea9e20273ebaab0ced2693b4b6,market_type=player_prop,1
MLB,WARN,null selection,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:CHC@SDP,MLB:2026:04:27:CHC-SDP,,,,,dbf0b4c77b0ebcfb788ce6da3e9df08c28d407dcf11d9e510fb2d00ee2ac04fc,,1
MLB,WARN,missing player_key on prop,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:CHC@SDP,MLB:2026:04:27:CHC-SDP,player_prop,,,,ec73116076803b236e0c030326400ca4c40ea9277bbe6fa77567d29f64f34573,,1
MLB,WARN,null selection,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:CHC@SDP,MLB:2026:04:27:CHC-SDP,player_prop,,,,ec73116076803b236e0c030326400ca4c40ea9277bbe6fa77567d29f64f34573,,1
MLB,WARN,null line where line is required,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:CHC@SDP,MLB:2026:04:27:CHC-SDP,player_prop,,,,ec73116076803b236e0c030326400ca4c40ea9277bbe6fa77567d29f64f34573,market_type=player_prop,1
MLB,WARN,null selection,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:CHC@SDP,MLB:2026:04:27:CHC-SDP,,,,,3be069f6f1c729a92e148d8469450c976180b39f248249d642128e3020944841,,1
MLB,WARN,missing player_key on prop,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:CHC@SDP,MLB:2026:04:27:CHC-SDP,player_prop,,,,431fc473c4624e4559f763fc494ed1ca83558fdc1ad6a7533e16fb5795775b62,,1
MLB,WARN,null selection,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:CHC@SDP,MLB:2026:04:27:CHC-SDP,player_prop,,,,431fc473c4624e4559f763fc494ed1ca83558fdc1ad6a7533e16fb5795775b62,,1
MLB,WARN,null line where line is required,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:CHC@SDP,MLB:2026:04:27:CHC-SDP,player_prop,,,,431fc473c4624e4559f763fc494ed1ca83558fdc1ad6a7533e16fb5795775b62,market_type=player_prop,1
MLB,WARN,missing player_key on prop,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:CHC@SDP,MLB:2026:04:27:CHC-SDP,player_prop,,,,bbd2bf18c51548af0fd7e0f63c215198bf8b44e18b1dbe2cd38feaab9b5693e1,,1
MLB,WARN,null selection,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:CHC@SDP,MLB:2026:04:27:CHC-SDP,player_prop,,,,bbd2bf18c51548af0fd7e0f63c215198bf8b44e18b1dbe2cd38feaab9b5693e1,,1
MLB,WARN,null line where line is required,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:CHC@SDP,MLB:2026:04:27:CHC-SDP,player_prop,,,,bbd2bf18c51548af0fd7e0f63c215198bf8b44e18b1dbe2cd38feaab9b5693e1,market_type=player_prop,1
MLB,WARN,missing player_key on prop,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:CHC@SDP,MLB:2026:04:27:CHC-SDP,player_prop,,,,4382178b243315a086da3ff535eae2194cb94822cd002821037e4111df88bc53,,1
MLB,WARN,null selection,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:CHC@SDP,MLB:2026:04:27:CHC-SDP,player_prop,,,,4382178b243315a086da3ff535eae2194cb94822cd002821037e4111df88bc53,,1
MLB,WARN,null line where line is required,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:CHC@SDP,MLB:2026:04:27:CHC-SDP,player_prop,,,,4382178b243315a086da3ff535eae2194cb94822cd002821037e4111df88bc53,market_type=player_prop,1
MLB,WARN,missing player_key on prop,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:NYY@TEX,MLB:2026:04:27:NYY-TEX,player_prop,,,,1032792781c6b0447642b272dc0808f7472a2efcdd7aac042ca9c4f9002f8687,,1
MLB,WARN,null selection,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:NYY@TEX,MLB:2026:04:27:NYY-TEX,player_prop,,,,1032792781c6b0447642b272dc0808f7472a2efcdd7aac042ca9c4f9002f8687,,1
MLB,WARN,null line where line is required,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:NYY@TEX,MLB:2026:04:27:NYY-TEX,player_prop,,,,1032792781c6b0447642b272dc0808f7472a2efcdd7aac042ca9c4f9002f8687,market_type=player_prop,1
MLB,WARN,missing player_key on prop,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:NYY@TEX,MLB:2026:04:27:NYY-TEX,player_prop,,,,4bc4dcc5a64e82dbacb10ce81cf93df8a00eb44c6c565e6a2dd65fc48a8af4e7,,1
MLB,WARN,null selection,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:NYY@TEX,MLB:2026:04:27:NYY-TEX,player_prop,,,,4bc4dcc5a64e82dbacb10ce81cf93df8a00eb44c6c565e6a2dd65fc48a8af4e7,,1
MLB,WARN,null line where line is required,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:NYY@TEX,MLB:2026:04:27:NYY-TEX,player_prop,,,,4bc4dcc5a64e82dbacb10ce81cf93df8a00eb44c6c565e6a2dd65fc48a8af4e7,market_type=player_prop,1
MLB,WARN,missing player_key on prop,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:NYY@TEX,MLB:2026:04:27:NYY-TEX,player_prop,,,,07358e7582de0eab01a3eb2c06bfdc11bf69430cecbcb807409cf0d7c4d51d30,,1
MLB,WARN,null selection,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:NYY@TEX,MLB:2026:04:27:NYY-TEX,player_prop,,,,07358e7582de0eab01a3eb2c06bfdc11bf69430cecbcb807409cf0d7c4d51d30,,1
MLB,WARN,null line where line is required,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:NYY@TEX,MLB:2026:04:27:NYY-TEX,player_prop,,,,07358e7582de0eab01a3eb2c06bfdc11bf69430cecbcb807409cf0d7c4d51d30,market_type=player_prop,1
MLB,WARN,missing player_key on prop,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:NYY@TEX,MLB:2026:04:27:NYY-TEX,player_prop,,,,362e26a1f7951574f68f472a6ac4d1829c7085326d66ef44f7c7ba5818432065,,1
MLB,WARN,null selection,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:NYY@TEX,MLB:2026:04:27:NYY-TEX,player_prop,,,,362e26a1f7951574f68f472a6ac4d1829c7085326d66ef44f7c7ba5818432065,,1
MLB,WARN,null line where line is required,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:NYY@TEX,MLB:2026:04:27:NYY-TEX,player_prop,,,,362e26a1f7951574f68f472a6ac4d1829c7085326d66ef44f7c7ba5818432065,market_type=player_prop,1
MLB,WARN,missing player_key on prop,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:NYY@TEX,MLB:2026:04:27:NYY-TEX,player_prop,,,,b0872eb7b6005139ba06a8cb0d26179a72a2e5e7453c98d430600eafb36a51d0,,1
MLB,WARN,null selection,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:NYY@TEX,MLB:2026:04:27:NYY-TEX,player_prop,,,,b0872eb7b6005139ba06a8cb0d26179a72a2e5e7453c98d430600eafb36a51d0,,1
MLB,WARN,null line where line is required,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:NYY@TEX,MLB:2026:04:27:NYY-TEX,player_prop,,,,b0872eb7b6005139ba06a8cb0d26179a72a2e5e7453c98d430600eafb36a51d0,market_type=player_prop,1
MLB,WARN,missing player_key on prop,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:NYY@TEX,MLB:2026:04:27:NYY-TEX,player_prop,,,,a117eb0758731f880fc9b7e58c12954bf81acff6b294041e340609c337b7f2f0,,1
MLB,WARN,null selection,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:NYY@TEX,MLB:2026:04:27:NYY-TEX,player_prop,,,,a117eb0758731f880fc9b7e58c12954bf81acff6b294041e340609c337b7f2f0,,1
MLB,WARN,null line where line is required,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:NYY@TEX,MLB:2026:04:27:NYY-TEX,player_prop,,,,a117eb0758731f880fc9b7e58c12954bf81acff6b294041e340609c337b7f2f0,market_type=player_prop,1
MLB,WARN,missing player_key on prop,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:NYY@TEX,MLB:2026:04:27:NYY-TEX,player_prop,,,,d6ba898a6e8ff37fde87466d873b21ff44fc42130b62a5a261027c962abe1693,,1
MLB,WARN,null selection,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:NYY@TEX,MLB:2026:04:27:NYY-TEX,player_prop,,,,d6ba898a6e8ff37fde87466d873b21ff44fc42130b62a5a261027c962abe1693,,1
MLB,WARN,null line where line is required,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:NYY@TEX,MLB:2026:04:27:NYY-TEX,player_prop,,,,d6ba898a6e8ff37fde87466d873b21ff44fc42130b62a5a261027c962abe1693,market_type=player_prop,1
MLB,WARN,missing player_key on prop,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:LAA@CHW,MLB:2026:04:27:CHW-LAA,player_prop,,,,31ec06c3dc38245edddbadafe51af1a81d71d2dcf834dc480b0101dbd811c4e9,,1
MLB,WARN,null selection,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:LAA@CHW,MLB:2026:04:27:CHW-LAA,player_prop,,,,31ec06c3dc38245edddbadafe51af1a81d71d2dcf834dc480b0101dbd811c4e9,,1
MLB,WARN,null line where line is required,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:LAA@CHW,MLB:2026:04:27:CHW-LAA,player_prop,,,,31ec06c3dc38245edddbadafe51af1a81d71d2dcf834dc480b0101dbd811c4e9,market_type=player_prop,1
MLB,WARN,missing player_key on prop,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:LAA@CHW,MLB:2026:04:27:CHW-LAA,player_prop,,,,130e5d3c029967073e73bcaf4199927bb62a7d61c143519aae41511da0d56c61,,1
MLB,WARN,null selection,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:LAA@CHW,MLB:2026:04:27:CHW-LAA,player_prop,,,,130e5d3c029967073e73bcaf4199927bb62a7d61c143519aae41511da0d56c61,,1
MLB,WARN,null line where line is required,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:LAA@CHW,MLB:2026:04:27:CHW-LAA,player_prop,,,,130e5d3c029967073e73bcaf4199927bb62a7d61c143519aae41511da0d56c61,market_type=player_prop,1
MLB,WARN,null selection,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:LAA@CHW,MLB:2026:04:27:CHW-LAA,,,,,493f6c6ffe6fbfd3cd36c77c77a62b417f244617aece94fba96b3a9c99dd4f7c,,1
MLB,WARN,missing player_key on prop,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:LAA@CHW,MLB:2026:04:27:CHW-LAA,player_prop,,,,5f38c051327b807d59aadde251cca83d0e9be23389b2c29d84873eb8bf5168db,,1
MLB,WARN,null selection,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:LAA@CHW,MLB:2026:04:27:CHW-LAA,player_prop,,,,5f38c051327b807d59aadde251cca83d0e9be23389b2c29d84873eb8bf5168db,,1
MLB,WARN,null line where line is required,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:LAA@CHW,MLB:2026:04:27:CHW-LAA,player_prop,,,,5f38c051327b807d59aadde251cca83d0e9be23389b2c29d84873eb8bf5168db,market_type=player_prop,1
MLB,WARN,missing player_key on prop,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:LAA@CHW,MLB:2026:04:27:CHW-LAA,player_prop,,,,17a0d2ed3c5ab312ae6f478ab3f1b1f680dc0a40a3d4ea78ac08766a81179a29,,1
MLB,WARN,null selection,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:LAA@CHW,MLB:2026:04:27:CHW-LAA,player_prop,,,,17a0d2ed3c5ab312ae6f478ab3f1b1f680dc0a40a3d4ea78ac08766a81179a29,,1
MLB,WARN,null line where line is required,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:LAA@CHW,MLB:2026:04:27:CHW-LAA,player_prop,,,,17a0d2ed3c5ab312ae6f478ab3f1b1f680dc0a40a3d4ea78ac08766a81179a29,market_type=player_prop,1
MLB,WARN,missing player_key on prop,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:LAA@CHW,MLB:2026:04:27:CHW-LAA,player_prop,,,,361a4da746cda2460007e263b65cbfbc16bb387de59bcbef851723b29b7af319,,1
MLB,WARN,null selection,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:LAA@CHW,MLB:2026:04:27:CHW-LAA,player_prop,,,,361a4da746cda2460007e263b65cbfbc16bb387de59bcbef851723b29b7af319,,1
MLB,WARN,null line where line is required,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:LAA@CHW,MLB:2026:04:27:CHW-LAA,player_prop,,,,361a4da746cda2460007e263b65cbfbc16bb387de59bcbef851723b29b7af319,market_type=player_prop,1
MLB,WARN,missing player_key on prop,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:LAA@CHW,MLB:2026:04:27:CHW-LAA,player_prop,,,,d8484257aa77d20cb615947fa00348fc6deb0b9951e4380ed83714882318ef11,,1
MLB,WARN,null selection,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:LAA@CHW,MLB:2026:04:27:CHW-LAA,player_prop,,,,d8484257aa77d20cb615947fa00348fc6deb0b9951e4380ed83714882318ef11,,1
