sport,date,source,event_key,matchup_key,game,market_type,selection,line,odds,player_name,player_key,stat_type,eligible_for_consensus,reason_if_ineligible
MLB,2026-04-26,action,MLB:2026:04:26:BOS@BAL,MLB:2026:04:26:BAL-BOS,BOS @ BAL,moneyline,BOS_ml,,+123,,,,True,
MLB,2026-04-26,action,MLB:2026:04:26:BOS@BAL,MLB:2026:04:26:BAL-BOS,BOS @ BAL,moneyline,BOS_ml,,+130,,,,True,
MLB,2026-04-26,action,MLB:2026:04:26:BOS@BAL,MLB:2026:04:26:BAL-BOS,BOS @ BAL,total,game_total,7.5,+100,,,,True,
MLB,2026-04-26,action,MLB:2026:04:26:PHI@ATL,MLB:2026:04:26:ATL-PHI,PHI @ ATL,spread,ATL_spread,-1.5,+119,,,,True,
MLB,2026-04-26,action,MLB:2026:04:26:PHI@ATL,MLB:2026:04:26:ATL-PHI,PHI @ ATL,spread,ATL_spread,-1.5,-105,,,,True,
MLB,2026-04-26,action,MLB:2026:04:26:PHI@ATL,MLB:2026:04:26:ATL-PHI,PHI @ ATL,total,game_total,8.0,-102,,,,True,
MLB,2026-04-26,action,MLB:2026:04:26:PHI@ATL,MLB:2026:04:26:ATL-PHI,PHI @ ATL,moneyline,PHI_ml,,+182,,,,True,
MLB,2026-04-26,action,MLB:2026:04:26:PHI@ATL,MLB:2026:04:26:ATL-PHI,PHI @ ATL,total,game_total,8.5,-120,,,,True,
MLB,2026-04-26,action,MLB:2026:04:26:PHI@ATL,MLB:2026:04:26:ATL-PHI,PHI @ ATL,spread,ATL_spread,-1.0,-125,,,,True,
MLB,2026-04-26,action,MLB:2026:04:26:PHI@ATL,MLB:2026:04:26:ATL-PHI,PHI @ ATL,total,game_total,8.5,-113,,,,True,
MLB,2026-04-26,action,MLB:2026:04:26:PHI@ATL,MLB:2026:04:26:ATL-PHI,PHI @ ATL,moneyline,ATL_ml,,-180,,,,True,
MLB,2026-04-26,action,MLB:2026:04:26:PHI@ATL,MLB:2026:04:26:ATL-PHI,PHI @ ATL,moneyline,ATL_ml,,-167,,,,True,
MLB,2026-04-26,action,MLB:2026:04:26:PHI@ATL,MLB:2026:04:26:ATL-PHI,PHI @ ATL,spread,ATL_spread,-1.5,+125,,,,True,
MLB,2026-04-26,action,MLB:2026:04:26:PHI@ATL,MLB:2026:04:26:ATL-PHI,PHI @ ATL,spread,ATL_spread,-1.5,+130,,,,True,
MLB,2026-04-26,action,MLB:2026:04:26:PHI@ATL,MLB:2026:04:26:ATL-PHI,PHI @ ATL,moneyline,ATL_ml,,-160,,,,True,
MLB,2026-04-26,action,MLB:2026:04:26:PHI@ATL,MLB:2026:04:26:ATL-PHI,PHI @ ATL,moneyline,ATL_ml,,-157,,,,True,
MLB,2026-04-26,action,MLB:2026:04:26:CLE@TOR,MLB:2026:04:26:CLE-TOR,CLE @ TOR,moneyline,CLE_ml,,+125,,,,True,
MLB,2026-04-26,action,MLB:2026:04:26:CLE@TOR,MLB:2026:04:26:CLE-TOR,CLE @ TOR,total,game_total,8.0,-120,,,,True,
MLB,2026-04-26,action,MLB:2026:04:26:CLE@TOR,MLB:2026:04:26:CLE-TOR,CLE @ TOR,moneyline,CLE_ml,,+115,,,,True,
MLB,2026-04-26,action,MLB:2026:04:26:COL@NYM,MLB:2026:04:26:COL-NYM,COL @ NYM,moneyline,COL_ml,,+205,,,,True,
