sport,date,player_name,player_key,team,opponent,stat_type,selection,line,odds,source,eligible_for_consensus,event_key,matchup_key
MLB,2026-04-27,,,,,,,,-120,action,False,MLB:2026:04:27:MIA@LAD,MLB:2026:04:27:LAD-MIA
MLB,2026-04-27,,,,,,,,-140,action,False,MLB:2026:04:27:MIA@LAD,MLB:2026:04:27:LAD-MIA
MLB,2026-04-27,,,,,,,,+115,action,False,MLB:2026:04:27:MIA@LAD,MLB:2026:04:27:LAD-MIA
MLB,2026-04-27,,,,,,,,-110,action,False,MLB:2026:04:27:MIA@LAD,MLB:2026:04:27:LAD-MIA
MLB,2026-04-27,,,,,,,,+134,action,False,MLB:2026:04:27:CHC@SDP,MLB:2026:04:27:CHC-SDP
MLB,2026-04-27,,,,,,,,+165,action,False,MLB:2026:04:27:CHC@SDP,MLB:2026:04:27:CHC-SDP
MLB,2026-04-27,,,,,,,,+145,action,False,MLB:2026:04:27:CHC@SDP,MLB:2026:04:27:CHC-SDP
MLB,2026-04-27,,,,,,,,-106,action,False,MLB:2026:04:27:CHC@SDP,MLB:2026:04:27:CHC-SDP
MLB,2026-04-27,,,,,,,,-124,action,False,MLB:2026:04:27:CHC@SDP,MLB:2026:04:27:CHC-SDP
MLB,2026-04-27,,,,,,,,-122,action,False,MLB:2026:04:27:NYY@TEX,MLB:2026:04:27:NYY-TEX
MLB,2026-04-27,,,,,,,,-110,action,False,MLB:2026:04:27:NYY@TEX,MLB:2026:04:27:NYY-TEX
MLB,2026-04-27,,,,,,,,+100,action,False,MLB:2026:04:27:NYY@TEX,MLB:2026:04:27:NYY-TEX
MLB,2026-04-27,,,,,,,,-129,action,False,MLB:2026:04:27:NYY@TEX,MLB:2026:04:27:NYY-TEX
MLB,2026-04-27,,,,,,,,-125,action,False,MLB:2026:04:27:NYY@TEX,MLB:2026:04:27:NYY-TEX
MLB,2026-04-27,,,,,,,,-102,action,False,MLB:2026:04:27:NYY@TEX,MLB:2026:04:27:NYY-TEX
MLB,2026-04-27,,,,,,,,-125,action,False,MLB:2026:04:27:NYY@TEX,MLB:2026:04:27:NYY-TEX
MLB,2026-04-27,,,,,,,,+195,action,False,MLB:2026:04:27:LAA@CHW,MLB:2026:04:27:CHW-LAA
MLB,2026-04-27,,,,,,,,-132,action,False,MLB:2026:04:27:LAA@CHW,MLB:2026:04:27:CHW-LAA
MLB,2026-04-27,,,,,,,,-118,action,False,MLB:2026:04:27:LAA@CHW,MLB:2026:04:27:CHW-LAA
MLB,2026-04-27,,,,,,,,+140,action,False,MLB:2026:04:27:LAA@CHW,MLB:2026:04:27:CHW-LAA
MLB,2026-04-27,,,,,,,,-120,action,False,MLB:2026:04:27:LAA@CHW,MLB:2026:04:27:CHW-LAA
MLB,2026-04-27,,,,,,,,-133,action,False,MLB:2026:04:27:LAA@CHW,MLB:2026:04:27:CHW-LAA
MLB,2026-04-27,,,,,,,,+124,action,False,MLB:2026:04:27:SEA@MIN,MLB:2026:04:27:MIN-SEA
MLB,2026-04-27,,,,,,,,+148,action,False,MLB:2026:04:27:SEA@MIN,MLB:2026:04:27:MIN-SEA
MLB,2026-04-27,,,,,,,,-115,action,False,MLB:2026:04:27:SEA@MIN,MLB:2026:04:27:MIN-SEA
MLB,2026-04-27,,,,,,,,+150,action,False,MLB:2026:04:27:BOS@TOR,MLB:2026:04:27:BOS-TOR
MLB,2026-04-27,,,,,,,,-120,action,False,MLB:2026:04:27:BOS@TOR,MLB:2026:04:27:BOS-TOR
MLB,2026-04-27,,,,,,,,+121,action,False,MLB:2026:04:27:BOS@TOR,MLB:2026:04:27:BOS-TOR
MLB,2026-04-27,,,,,,,,+160,action,False,MLB:2026:04:27:BOS@TOR,MLB:2026:04:27:BOS-TOR
MLB,2026-04-27,,,,,,,,+108,action,False,MLB:2026:04:27:BOS@TOR,MLB:2026:04:27:BOS-TOR
MLB,2026-04-27,,,,,,,,+110,action,False,MLB:2026:04:27:BOS@TOR,MLB:2026:04:27:BOS-TOR
MLB,2026-04-27,,,,,,,,+121,action,False,MLB:2026:04:27:STL@PIT,MLB:2026:04:27:PIT-STL
MLB,2026-04-27,,,,,,,,+450,action,False,MLB:2026:04:27:STL@PIT,MLB:2026:04:27:PIT-STL
MLB,2026-04-27,,,,,,,,+140,action,False,MLB:2026:04:27:STL@PIT,MLB:2026:04:27:PIT-STL
MLB,2026-04-27,,,,,,,,-120,action,False,MLB:2026:04:27:STL@PIT,MLB:2026:04:27:PIT-STL
MLB,2026-04-27,,,,,,,,-118,action,False,MLB:2026:04:27:STL@PIT,MLB:2026:04:27:PIT-STL
MLB,2026-04-27,,,,,,,,+114,action,False,MLB:2026:04:27:STL@PIT,MLB:2026:04:27:PIT-STL
MLB,2026-04-27,,,,,,,,-128,action,False,MLB:2026:04:27:STL@PIT,MLB:2026:04:27:PIT-STL
MLB,2026-04-27,,,,,,,,+110,action,False,MLB:2026:04:27:TBR@CLE,MLB:2026:04:27:CLE-TBR
MLB,2026-04-27,,,,,,,,+100,action,False,MLB:2026:04:27:TBR@CLE,MLB:2026:04:27:CLE-TBR
