sport,date,source,event_key,matchup_key,game,market_type,selection,line,odds,player_name,player_key,stat_type,eligible_for_consensus,reason_if_ineligible
NBA,2026-04-23,action,NBA:2026:04:23:NYK@ATL,NBA:2026:04:23:ATL-NYK,NYK @ ATL,spread,ATL,1.5,-108,,,,True,
NBA,2026-04-23,action,NBA:2026:04:23:NYK@ATL,NBA:2026:04:23:ATL-NYK,NYK @ ATL,player_prop,NBA:josh_hart::reb_ast::OVER,12.5,-130,Josh Hart,NBA:josh_hart,reb_ast,True,
NBA,2026-04-23,action,NBA:2026:04:23:NYK@ATL,NBA:2026:04:23:ATL-NYK,NYK @ ATL,player_prop,NBA:landry_shamet::points::OVER,3.5,102,Landry Shamet,NBA:landry_shamet,points,True,
NBA,2026-04-23,action,NBA:2026:04:23:NYK@ATL,NBA:2026:04:23:ATL-NYK,NYK @ ATL,moneyline,NYK,,-105,,,,True,
NBA,2026-04-23,action,NBA:2026:04:23:NYK@ATL,NBA:2026:04:23:ATL-NYK,NYK @ ATL,moneyline,NYK,,-116,,,,True,
NBA,2026-04-23,action,NBA:2026:04:23:NYK@ATL,NBA:2026:04:23:ATL-NYK,NYK @ ATL,player_prop,,,150,J Hart To Record 10 Rebounds Yes,NBA:j_hart_to_record_10_rebounds_yes,rebounds,False,unparsed_direction
NBA,2026-04-23,action,NBA:2026:04:23:NYK@ATL,NBA:2026:04:23:ATL-NYK,NYK @ ATL,player_prop,NBA:josh_hart::reb_ast::OVER,19.5,1200,Josh Hart,NBA:josh_hart,reb_ast,True,
NBA,2026-04-23,action,NBA:2026:04:23:NYK@ATL,NBA:2026:04:23:ATL-NYK,NYK @ ATL,player_prop,NBA:josh_hart::reb_ast::OVER,21.5,1900,Josh Hart,NBA:josh_hart,reb_ast,True,
NBA,2026-04-23,action,NBA:2026:04:23:NYK@ATL,NBA:2026:04:23:ATL-NYK,NYK @ ATL,player_prop,NBA:josh_hart::reb_ast::OVER,14.5,215,Josh Hart,NBA:josh_hart,reb_ast,True,
NBA,2026-04-23,action,NBA:2026:04:23:NYK@ATL,NBA:2026:04:23:ATL-NYK,NYK @ ATL,player_prop,NBA:josh_hart::reb_ast::OVER,17.5,550,Josh Hart,NBA:josh_hart,reb_ast,True,
NBA,2026-04-23,action,NBA:2026:04:23:NYK@ATL,NBA:2026:04:23:ATL-NYK,NYK @ ATL,player_prop,NBA:josh_hart::reb_ast::OVER,12.5,-106,Josh Hart,NBA:josh_hart,reb_ast,True,
NBA,2026-04-23,action,NBA:2026:04:23:NYK@ATL,NBA:2026:04:23:ATL-NYK,NYK @ ATL,player_prop,NBA:josh_hart::rebounds::OVER,8.5,110,Josh Hart,NBA:josh_hart,rebounds,True,
