sport,date,player_name,player_key,team,opponent,stat_type,selection,line,odds,source,eligible_for_consensus,event_key,matchup_key
NBA,2026-04-23,Josh Hart,NBA:josh_hart,,,reb_ast,NBA:josh_hart::reb_ast::OVER,12.5,-130,action,True,NBA:2026:04:23:NYK@ATL,NBA:2026:04:23:ATL-NYK
NBA,2026-04-23,Landry Shamet,NBA:landry_shamet,,,points,NBA:landry_shamet::points::OVER,3.5,102,action,True,NBA:2026:04:23:NYK@ATL,NBA:2026:04:23:ATL-NYK
NBA,2026-04-23,J Hart To Record 10 Rebounds Yes,NBA:j_hart_to_record_10_rebounds_yes,,,rebounds,,,150,action,False,NBA:2026:04:23:NYK@ATL,NBA:2026:04:23:ATL-NYK
NBA,2026-04-23,Josh Hart,NBA:josh_hart,,,reb_ast,NBA:josh_hart::reb_ast::OVER,19.5,1200,action,True,NBA:2026:04:23:NYK@ATL,NBA:2026:04:23:ATL-NYK
NBA,2026-04-23,Josh Hart,NBA:josh_hart,,,reb_ast,NBA:josh_hart::reb_ast::OVER,21.5,1900,action,True,NBA:2026:04:23:NYK@ATL,NBA:2026:04:23:ATL-NYK
NBA,2026-04-23,Josh Hart,NBA:josh_hart,,,reb_ast,NBA:josh_hart::reb_ast::OVER,14.5,215,action,True,NBA:2026:04:23:NYK@ATL,NBA:2026:04:23:ATL-NYK
NBA,2026-04-23,Josh Hart,NBA:josh_hart,,,reb_ast,NBA:josh_hart::reb_ast::OVER,17.5,550,action,True,NBA:2026:04:23:NYK@ATL,NBA:2026:04:23:ATL-NYK
NBA,2026-04-23,Josh Hart,NBA:josh_hart,,,reb_ast,NBA:josh_hart::reb_ast::OVER,12.5,-106,action,True,NBA:2026:04:23:NYK@ATL,NBA:2026:04:23:ATL-NYK
NBA,2026-04-23,Josh Hart,NBA:josh_hart,,,rebounds,NBA:josh_hart::rebounds::OVER,8.5,110,action,True,NBA:2026:04:23:NYK@ATL,NBA:2026:04:23:ATL-NYK
NBA,2026-04-23,Josh Hart,NBA:josh_hart,,,rebounds,NBA:josh_hart::rebounds::OVER,7.5,-140,action,True,NBA:2026:04:23:NYK@ATL,NBA:2026:04:23:ATL-NYK
NBA,2026-04-23,Josh Hart,NBA:josh_hart,,,reb_ast,NBA:josh_hart::reb_ast::OVER,12.5,-110,action,True,NBA:2026:04:23:NYK@ATL,NBA:2026:04:23:ATL-NYK
NBA,2026-04-23,Dyson Daniels,NBA:dyson_daniels,,,pts_reb_ast,NBA:dyson_daniels::pts_reb_ast::UNDER,21.5,-110,action,True,NBA:2026:04:23:NYK@ATL,NBA:2026:04:23:ATL-NYK
NBA,2026-04-23,Jalen Johnson,NBA:jalen_johnson,,,assists,NBA:jalen_johnson::assists::UNDER,6.5,-106,action,True,NBA:2026:04:23:NYK@ATL,NBA:2026:04:23:ATL-NYK
