sport,severity,issue_type,file,source,date,event_key,matchup_key,selection,player_key,details,count
NBA,WARN,null selection,out/normalized_action_nba.json,action,2026-04-23,NBA:2026:04:23:NYK@ATL,NBA:2026:04:23:ATL-NYK,,NBA:j_hart_to_record_10_rebounds_yes,,1
NBA,WARN,null line where line is required,out/normalized_action_nba.json,action,2026-04-23,NBA:2026:04:23:NYK@ATL,NBA:2026:04:23:ATL-NYK,,NBA:j_hart_to_record_10_rebounds_yes,market_type=player_prop,1
NBA,WARN,null selection,out/normalized_action_nba.json,action,2026-04-23,NBA:2026:04:23:DEN@MIN,NBA:2026:04:23:DEN-MIN,,NBA:n_jokic_to_record_16_rebounds_yes,,1
NBA,WARN,null line where line is required,out/normalized_action_nba.json,action,2026-04-23,NBA:2026:04:23:DEN@MIN,NBA:2026:04:23:DEN-MIN,,NBA:n_jokic_to_record_16_rebounds_yes,market_type=player_prop,1
NBA,WARN,null selection,out/normalized_action_nba.json,action,2026-04-23,NBA:2026:04:23:DEN@MIN,NBA:2026:04:23:DEN-MIN,,NBA:n_jokic_to_record_20_rebounds_yes,,1
NBA,WARN,null line where line is required,out/normalized_action_nba.json,action,2026-04-23,NBA:2026:04:23:DEN@MIN,NBA:2026:04:23:DEN-MIN,,NBA:n_jokic_to_record_20_rebounds_yes,market_type=player_prop,1
NBA,WARN,null selection,out/normalized_action_nba.json,action,2026-04-23,NBA:2026:04:23:DEN@MIN,NBA:2026:04:23:DEN-MIN,,,,1
NBA,WARN,null line where line is required,out/normalized_action_nba.json,action,2026-04-23,NBA:2026:04:23:DEN@MIN,NBA:2026:04:23:DEN-MIN,,,market_type=team_total,1
NBA,WARN,null selection,out/normalized_action_nba.json,action,2026-04-23,NBA:2026:04:23:CLE@TOR,NBA:2026:04:23:CLE-TOR,,NBA:b_ingram_to_score_25_points_yes,,1
NBA,WARN,null line where line is required,out/normalized_action_nba.json,action,2026-04-23,NBA:2026:04:23:CLE@TOR,NBA:2026:04:23:CLE-TOR,,NBA:b_ingram_to_score_25_points_yes,market_type=player_prop,1
NBA,WARN,null selection,out/normalized_action_nba.json,action,2026-04-23,NBA:2026:04:23:CLE@TOR,NBA:2026:04:23:CLE-TOR,,NBA:b_ingram_to_score_30_points_yes,,1
NBA,WARN,null line where line is required,out/normalized_action_nba.json,action,2026-04-23,NBA:2026:04:23:CLE@TOR,NBA:2026:04:23:CLE-TOR,,NBA:b_ingram_to_score_30_points_yes,market_type=player_prop,1
NBA,WARN,null line where line is required,out/normalized_oddstrader_prop_nba.json,oddstrader,2026-04-24,NBA:2026:04:24:CLE@TOR,NBA:2026:04:24:CLE-TOR,Evan Mobley,nba:evan_mobley,market_type=player_prop,1
NBA,WARN,null line where line is required,out/normalized_oddstrader_prop_nba.json,oddstrader,2026-04-25,NBA:2026:04:25:SAS@POR,NBA:2026:04:25:POR-SAS,Robert Williams,nba:robert_williams,market_type=player_prop,1
NBA,WARN,null line where line is required,out/normalized_oddstrader_prop_nba.json,oddstrader,2026-04-24,NBA:2026:04:24:DEN@MIN,NBA:2026:04:24:DEN-MIN,Rudy Gobert,nba:rudy_gobert,market_type=player_prop,1
NBA,WARN,unknown market type,out/normalized_sportsline_expert_pages_nba_canonical.jsonl,sportsline,2026-04-22,NBA:2026:04:22:ORL@DET,NBA:2026:04:22:DET-ORL,DET,,market_type=1st_half_spread,1
NBA,WARN,suspiciously low source coverage,out/normalized_bettingpros_experts_nba.json,bettingpros_experts_nba,,,,,,zero rows in requested range,1
NBA,WARN,suspiciously low source coverage,out/normalized_betql_model_nba.json,betql_model_nba,,,,,,zero rows in requested range,1
NBA,WARN,suspiciously low source coverage,out/normalized_juicereel_nba.json,juicereel_nba,,,,,,zero rows in requested range,1
NBA,WARN,suspiciously low source coverage,out/normalized_sportscapping_nba.json,sportscapping_nba,,,,,,zero rows in requested range,1
MLB,WARN,missing player_key on prop,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:MIA@LAD,MLB:2026:04:27:LAD-MIA,,,,1
MLB,WARN,null selection,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:MIA@LAD,MLB:2026:04:27:LAD-MIA,,,,1
MLB,WARN,null line where line is required,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:MIA@LAD,MLB:2026:04:27:LAD-MIA,,,market_type=player_prop,1
MLB,WARN,missing player_key on prop,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:MIA@LAD,MLB:2026:04:27:LAD-MIA,,,,1
MLB,WARN,null selection,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:MIA@LAD,MLB:2026:04:27:LAD-MIA,,,,1
MLB,WARN,null line where line is required,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:MIA@LAD,MLB:2026:04:27:LAD-MIA,,,market_type=player_prop,1
MLB,WARN,missing player_key on prop,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:MIA@LAD,MLB:2026:04:27:LAD-MIA,,,,1
MLB,WARN,null selection,out/normalized_action_mlb.json,action,2026-04-27,MLB:2026:04:27:MIA@LAD,MLB:2026:04:27:LAD-MIA,,,,1
