pick_id,date,sport,game_label,bet_label,market,selection,line,auto_tier,tier_reason,support_count,pattern_name,auto_included,wilson_score,confidence_score,gate_reason,source_list
33b3f391bbb4b269536c019913217cc1788f2a83e2d25c8fea4b27b7dd40a22e,2026-04-23,NBA,CLE @ TOR,Brandon Ingram OVER 20.0 points,player_prop,NBA:brandon_ingram::points::OVER,20.0,A,"A:, pattern 'Mike Barner points prop' (164-121, 57.5%), Wilson 0.594, 2 sources, record 164-121 (57.5%, n=285, pattern_hist), confidence 71/100, adj: recency +0.030, expert +0.015, stat +0.010, line_bucket +0.010",2,Mike Barner points prop,True,0.5941,71,,action|sportsline
381770cdb472f1a8f6144ee9829905c90aca98acd448e3b3ada45803c6dec707,2026-04-23,NBA,NYK @ ATL,Cj Mccollum OVER 18.5 points,player_prop,NBA:cj_mccollum::points::OVER,18.5,A,"A:, pattern 'Mike Barner points prop' (164-121, 57.5%), Wilson 0.580, 2 sources, record 15-0 (100.0%, n=15, combo_overall), confidence 63/100, adj: recency +0.030, expert +0.015, stat +0.010, line_bucket +0.010",2,Mike Barner points prop,True,0.5799,63,,sportsline|vegasinsider
966a1dd70e55e968481624f25e36ec44458b148753dbdc1870573a2bf488091c,2026-04-23,NBA,CLE @ TOR,Sandro Mamukelashvili OVER 4.5 rebounds,player_prop,NBA:sandro_mamukelashvili::rebounds::OVER,4.5,A,"A:, pattern 'Prop Bet Guy rebounds prop OVER' (28-18, 60.9%), Wilson 0.530, 1 source, record 28-18 (60.9%, n=46, pattern_hist), confidence 37/100, adj: stat +0.010, line_bucket +0.010",1,Prop Bet Guy rebounds prop OVER,True,0.5304,37,,sportsline
e71da636c941f7fc0e33ada6bbd41fa28e5b90e9955e86b855c488158cde48b5,2026-04-23,NBA,DEN @ MIN,Cameron Johnson OVER 11.5 points,player_prop,NBA:cameron_johnson::points::OVER,11.5,A,"A:, pattern 'Mike Barner points prop' (164-121, 57.5%), Wilson 0.527, 1 source, record 464-410 (53.1%, n=874, combo_market_stat), confidence 35/100, adj: recency -0.020, expert +0.015, stat +0.010, line_bucket +0.010",1,Mike Barner points prop,True,0.5271,35,,sportsline
47ea3ca1b51eecea8f878b4e0351899365cb03732363dc0dfad8227b698f3b3b,2026-04-23,NBA,NYK @ ATL,Josh Hart UNDER 4.5 assists,player_prop,NBA:josh_hart::assists::UNDER,4.5,A,"A:, pattern 'OddsTrader assists prop UNDER' (23-11, 67.6%), Wilson 0.489, 1 source, record 40-39 (50.6%, n=79, combo_market_stat), confidence 15/100, adj: recency -0.010, line_bucket +0.010",1,OddsTrader assists prop UNDER,True,0.4893,15,,oddstrader
d7b54230ce9f74ae6125b8ac2863b50d12362795480251f6087b7dd5f572e19e,2026-04-23,NBA,CLE @ TOR,Donovan Mitchell OVER 27.5 points,player_prop,NBA:donovan_mitchell::points::OVER,27.5,B,"B:, no pattern match, Wilson 0.545, 2 sources, record 18-13 (60.0%, n=31, combo_market_stat), confidence 45/100, adj: recency +0.030, stat +0.010, line_bucket +0.010",2,,True,0.5447,45,,action|covers
275b44d6c001fc21c64d07dcaedd084264fea111a79323fb80d57c69544fed21,2026-04-23,NBA,DEN @ MIN,Anthony Edwards OVER 5.5 rebounds,player_prop,NBA:anthony_edwards::rebounds::OVER,5.5,B,"B:, no pattern match, Wilson 0.545, 2 sources, record 21-14 (60.0%, n=35, combo_market_direction), confidence 45/100, adj: recency +0.030, stat +0.010, line_bucket +0.010",2,,True,0.5446,45,,action|covers
81813f9d267a2d6f070912f7591f85d44b8083f94577260509833b493b2f8fa7,2026-04-23,NBA,NYK @ ATL,Josh Hart OVER 7.5 rebounds,player_prop,NBA:josh_hart::rebounds::OVER,7.5,B,"B:, no pattern match, Wilson 0.537, 2 sources, record 9-8 (52.9%, n=17, combo_market_direction), confidence 40/100, adj: recency -0.010, stat +0.010, line_bucket +0.010",2,,True,0.5367,40,,action|sportsline
d5b0463b9952a27c9f65f54c2e0f97ae82cfb4fb06106ef434f7509164cb83be,2026-04-23,NBA,NYK @ ATL,Jalen Johnson UNDER 6.5 assists,player_prop,NBA:jalen_johnson::assists::UNDER,6.5,B,"B:, pattern 'action assists prop UNDER' (59-30, 66.3%), Wilson 0.536, 1 source, record 249-203 (55.2%, n=452, combo_market_stat), confidence 40/100, adj: recency +0.030, line_bucket +0.010",1,action assists prop UNDER,True,0.5357,40,,action
9e77a860d59c466d7034eb9200d2c78392c836112c641adb0cd01d86db6dbbbd,2026-04-23,NBA,DEN @ MIN,Julius Randle UNDER 4.5 assists,player_prop,NBA:julius_randle::assists::UNDER,4.5,B,"B:, pattern 'action assists prop UNDER' (59-30, 66.3%), Wilson 0.536, 1 source, record 249-203 (55.2%, n=452, combo_market_stat), confidence 40/100, adj: recency +0.030, line_bucket +0.010",1,action assists prop UNDER,True,0.5357,40,,action
